replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.05645,28.150236,-5.367875,0.00063784886,0.0010372095,0.0036013196,-0.0016104374,-0.0082369335,0.0011224422,-0.005350448,-0.0113403965,5.26875,0.55093205,6.477774,3.9246,-5.3760357,0.593793,-4.055289,-6.8243213,0.0002663039,0.0012963397,0.0023365617,-0.0023060092,-0.0006837674,0.0014984902,0.0016564104,-0.0030918275,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0325469612095575,0.042770245667051655,0.1589158998939442,0.0005708095760082518,16.27348060477876,15.914286323185818,36.72375602082237,1.1599293921981528,0.004609398,0.62957966,0.99942833,-0.99942946,5,16.27348060477876,2500,5,500.0,0.0,500,500,0.004036913294074777,0.0007288458338212326,0.005388060611755259,0.0020333116306276056,2.0184566470373886,0.23515596439121475,2.345515050309679,1.6348840042065598,2.0184566470373886,0.23515596439121475,2.345515050309679,1.6348840042065598,0.00026766612,0.0013172829,0.002122243,-0.0019070314,5,2.0184566470373886,0.036363184452056885,67.67903974372894,70.43953560199589,0.026398074813187122,0.03519546613097191,32.54433851502836,170.7608705861494,265.8756663668901,0
8300,0.013065877,0.013139071,-8.665248,3.2434535,0.03387543,3.3769877,3.1666198,3.2418346,0.03350336,3.368574,3.1659281,3.2182689,0.11535791,3.6664891,2.993743,-5.427006,0.29465652,-4.646013,-6.777603,0.0051154587,0.0077023148,0.020774674,-0.0064285416,-0.1297274,0.0055298447,-0.11968904,-0.14130136,0.367450088262558,-13.429267883300781,8300,17,500.0,0.0,500,500,0.005099262238276948,0.005179665237619373,0.03775449537168287,0.0006387540671140748,2.5496311191384735,1.8469442784518955,5.188192327795371,0.7695065030445623,0.006535415,0.5914418,0.9982822,-0.9981233,5,2.5496311191384735,5000,10,500.0,0.0,500,500,0.002460521272720194,0.0004741581942280552,0.0039342404722668735,0.001304920693569013,1.2302606363600965,0.18979625916421614,1.4785539830694554,0.9167191516321864,1.2302606363600965,0.18979625916421614,1.4785539830694554,0.9167191516321864,0.0050974376,0.00766286,0.019189406,-0.005585559,5,1.2302606363600965,0.0362995071336627,65.57718942686915,67.33617198374122,0.026492738164961338,0.027962815947830677,33.04178735613823,166.04590382799506,431.9270707340911,1
10800,0.002046325,0.0019428234,-8.373998,2.9614782,0.0423032,3.1986408,2.8876595,2.9631202,0.039054655,3.1963904,2.8893425,2.9604993,0.058080554,3.1733942,2.8357434,-5.4161854,0.30566177,-4.646936,-6.4128857,0.003647093,0.006149161,0.013695386,-0.011067645,-0.1233037,0.008242564,-0.11138283,-0.13960244,0.13518214225769043,-26.83415412902832,10800,22,500.0,0.0,500,500,0.007993108999359231,0.012681855971406785,0.09267636633179749,0.0005894148913658816,3.9965544996796174,4.041706387761894,11.868045418035859,0.7828960732740448,-0.0048242775,0.592835,0.9974215,-0.99789476,5,3.9965544996796174,7500,15,500.0,0.0,500,500,0.003000816427477194,0.00010334113123937677,0.0033080972632983543,0.0028531076874069206,1.5004082137385977,0.03918863100657171,1.552011674655659,1.4432072337411406,1.5004082137385977,0.03918863100657171,1.552011674655659,1.4432072337411406,0.0036531882,0.006156131,0.013433409,-0.010145983,5,1.5004082137385977,0.036308374255895615,69.89556896220893,67.85639660619199,0.0257045840844512,0.02629549242556095,33.01838094741106,170.8586549665779,602.7910508615896,2
13300,0.0004964146,0.00057022483,-8.374281,2.9299464,0.06803156,3.2493055,2.8300126,2.9299965,0.06450995,3.239857,2.8274152,2.9315403,0.07533161,3.268372,2.825221,-5.4473777,0.31647363,-4.8117943,-6.460248,0.0003831971,0.007848875,0.012355636,-0.015882792,-0.119289555,0.0046599284,-0.11206845,-0.12893222,0.049726057797670364,-40.34518051147461,13300,27,500.0,0.0,500,500,0.024041106240692812,0.038511784170397655,0.19119991876143178,0.0007796591887827412,12.020553120346406,10.584619582827335,27.56948428647522,1.6347941607452787,-0.005596748,0.5927614,0.9992982,-0.9976984,5,12.020553120346406,10000,20,500.0,0.0,500,500,0.008926323826048415,0.005418620718122663,0.0295915125946427,0.0016765346636645653,4.463161913024207,1.5630199515989138,7.4628355373198705,2.8790241449807916,4.463161913024207,1.5630199515989138,7.4628355373198705,2.8790241449807916,0.00038249098,0.007827585,0.0116324965,-0.014361283,5,4.463161913024207,0.036339571699500084,67.22876254748553,68.73068105615675,0.025865172035992146,0.026095963083207607,32.93489611521363,168.98264042567462,771.7789094299078,3
15800,0.00027161493,0.00028421928,-8.330109,2.8995395,0.08691484,3.2590544,2.7630517,2.896528,0.08816363,3.2740984,2.7587237,2.8958604,0.08953816,3.224202,2.757548,-5.436371,0.3643697,-4.56316,-6.3980994,0.008363146,0.019976687,0.035908442,-0.04079725,-0.09289806,0.0035532534,-0.08444977,-0.10140286,0.018296504393219948,-53.746097564697266,15800,32,500.0,0.0,500,500,0.0032341989343610245,0.003135758825754831,0.028138258472127923,0.0007294031382174401,1.6170994671805126,0.6953914057759908,2.5167011244527417,0.7489034831761652,0.010970026,0.60227364,0.99836344,-0.9991849,5,1.6170994671805126,12500,25,500.0,0.0,500,500,0.007321316793848801,0.0032107331531208675,0.01501682700031401,0.0018523477810673441,3.6606583969244006,0.5972255285963108,4.662262551681868,2.9627017530545596,3.6606583969244006,0.5972255285963108,4.662262551681868,2.9627017530545596,0.008445715,0.020079752,0.034506198,-0.037715048,5,3.6606583969244006,0.03658034931868315,71.24060392007232,66.64064808283001,0.025515406392514706,0.02582635171711445,32.76485102903098,170.73402513936162,942.5183147210628,4
18300,0.00071853155,0.0017019883,-8.222193,2.8613799,0.15366068,3.4436817,2.1678138,2.8612647,0.16651349,3.4675195,2.0406501,2.8586767,0.14094867,3.4550316,2.3155823,-5.3670053,0.5171293,-4.1419096,-7.315692,0.023009626,0.094563805,0.19420093,-0.2733601,-0.064541385,0.015280513,-0.018780941,-0.0965476,0.006741350516676903,-66.81495666503906,18300,37,500.0,0.0,500,500,0.033288388662136514,0.05166593534564133,0.23385259580960366,0.0005529419652994193,16.644194331068256,15.426870221857296,41.698162674290955,0.7987599736094153,0.027360547,0.6078274,0.99827147,-0.9989102,5,16.644194331068256,15000,30,500.0,0.0,500,500,0.0471324267829561,0.0231911545823795,0.09971340735536507,0.0022557218847446448,23.56621339147805,3.009306505689902,27.453539187825456,19.00582468571475,23.56621339147805,3.009306505689902,27.453539187825456,19.00582468571475,0.04139637,0.102839254,0.17265476,-0.240589,5,23.56621339147805,0.0363470995798707,75.84787008538842,71.91968586761504,0.025597449392080307,0.02597052790224552,32.562089749611914,180.41756077948958,1122.9410639535636,5
20800,0.0051582083,0.00061474723,-7.803969,2.9043198,0.3344413,4.898152,2.4858496,2.8878276,0.33330813,4.8705797,2.3764853,2.879858,0.3298977,4.8649163,2.3189595,-4.916011,1.2817231,2.2795544,-8.243544,0.076594904,0.30892143,1.0157363,-0.87022537,-0.025593663,0.06652691,0.2604454,-0.23078378,0.0025187847204506397,-77.27655792236328,20800,42,500.0,0.0,500,500,0.06856205179204361,0.1072430886639604,0.35265329001373164,8.505690659172271e-05,34.2810258960218,46.876876275186866,127.91272337412205,7.945424732568544,0.11199143,0.6342372,0.9994018,-0.9997379,5,34.2810258960218,17500,35,500.0,0.0,500,500,0.035911788528461365,0.05354574580158137,0.2680963360882152,0.0004087546541921938,17.955894264230686,4.784827221719794,26.785224111350747,12.888171101478074,17.955894264230686,4.784827221719794,26.785224111350747,12.888171101478074,0.13193475,0.33976415,0.8161489,-0.76537395,5,17.955894264230686,0.03580378741025925,77.40872104093432,77.40735635347664,0.025566167198121548,0.025645113550126553,32.15500253159553,187.058094994165,1310.0043791607022,6
23300,0.0009484852,0.0002049788,-4.2912855,2.8115826,0.23510022,4.7049303,2.2897196,2.809257,0.24129789,4.7003007,2.2019541,2.8036873,0.24151218,4.719378,2.210956,-1.4847691,3.1830041,7.0847263,-8.3535595,0.17192434,0.8517063,2.2475357,-2.316621,-0.014474053,0.2504124,0.6355071,-0.9356202,0.0010202644625678658,-65.32071685791016,23300,47,500.0,0.0,500,500,0.008383533335064098,0.006838049025091987,0.0619847730208063,0.0006512152625838959,4.19176666753205,1.8030319959153358,6.329275723716116,1.7330213091921736,0.2385766,0.72860086,0.9999999,-1.0,5,4.19176666753205,20000,40,500.0,0.0,500,500,0.012646336684541189,0.012043911514255087,0.09485004294399282,0.0017103028251738053,6.323168342270596,3.487381096799583,10.800620306501228,1.402055523244577,6.323168342270596,3.487381096799583,10.800620306501228,1.402055523244577,0.27389506,0.64941055,0.99999917,-0.9999944,5,6.323168342270596,0.03708336688578129,76.88534656912088,77.96465306170285,0.02549056988209486,0.026075754314661026,32.15881419181824,187.0974635137245,1497.1068793712184,7
25800,0.0018422023,0.0010245221,-0.63860786,2.8501878,0.54024225,5.419405,1.8079568,2.8520403,0.53751725,5.428512,2.0103528,2.8316197,0.53957134,5.3960896,1.9078512,2.2170238,6.979855,22.70088,-6.9722915,0.23220924,1.1860441,3.1912212,-3.1245646,-0.105344534,0.35531688,0.78339714,-1.1125746,0.0004991164314560592,-43.962669372558594,25800,52,500.0,0.0,500,500,0.003771060271030203,0.007732896653840013,0.07491081332664747,0.0004821889671817995,1.8855301355151028,0.37587413501679845,2.4160991882696083,1.2732741392474483,0.12359816,0.6558921,0.99989986,-0.9996618,5,1.8855301355151028,22500,45,500.0,0.0,500,500,0.0027653917490219433,0.0037743136535150065,0.02453190937852766,0.0005202641183511187,1.3826958745109725,0.030585175316522887,1.4185518430260997,1.3418833313054392,1.3826958745109725,0.030585175316522887,1.4185518430260997,1.3418833313054392,0.14019333,0.4551144,0.94864976,-0.9763789,5,1.3826958745109725,0.036282180808484554,66.16734591219574,67.40093866921961,0.025876564905047417,0.025996223092079163,31.675931812264025,165.332371362485,1662.4443690516055,8
28300,0.0014396836,0.00039696143,6.7050734,2.7994971,0.41129804,5.5699806,1.9600247,2.7942815,0.41001695,5.5616016,1.9738921,2.7844393,0.4120785,5.5662146,1.9698445,9.512302,7.815103,33.310284,-4.358555,-0.11164792,1.742742,3.6079304,-3.6724024,-0.3440903,0.3616111,0.7310338,-1.4314586,0.00035727405338548124,12.003186225891113,28300,57,500.0,0.0,500,500,0.002265127371566376,0.001814499913249978,0.019164131275537507,0.0007870576699871374,1.1325636857831873,0.07035709939817307,1.1983438949338632,0.9993893682015996,-0.01614946,0.6788529,0.99909335,-0.99961144,5,1.1325636857831873,25000,50,500.0,0.0,500,500,0.0020131871709969844,0.001930699287046032,0.019022761975311372,0.0008109936134085452,1.006593585498492,0.07448413027225126,1.148262942138592,0.9341950604227045,1.006593585498492,0.07448413027225126,1.148262942138592,0.9341950604227045,-0.010921243,0.5177551,0.9615454,-0.9858293,5,1.006593585498492,0.036381213925778866,82.26350015588105,84.3598762890324,0.025791633874177933,0.02644244022667408,31.980027937330306,198.69201967027038,1861.1416179332882,9
