replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.033388,22.066284,-4.6899843,0.0011332957,0.001043966,0.0034503452,-0.0025630088,-0.0023836342,0.0013989069,0.0010345101,-0.0071205036,4.6597834,0.57470423,6.095628,2.909758,-4.692377,0.6017377,-2.9687333,-5.8536563,1.7446002e-05,0.0012113956,0.0038939524,-0.0035832631,-0.0004118141,0.00072680676,0.0014338683,-0.0035766917,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.004559705986726774,0.006374493226408565,0.07189882749370426,0.00042975577471194226,2.2798529933633858,2.1935689834071423,6.591364926845817,0.7162765051986744,0.0038707985,0.63033336,0.9996405,-0.9993305,5,2.2798529933633858,2500,5,500.0,0.0,500,500,0.004443150657499307,0.001015428633027653,0.006661490814016654,0.0022527179146527754,2.2215753287496534,0.36135855285275187,2.7937067937575444,1.8621127117605736,2.2215753287496534,0.36135855285275187,2.7937067937575444,1.8621127117605736,9.643253e-05,0.0010802943,0.0024686735,-0.0011333225,5,2.2215753287496534,0.03644641023129225,68.66816512867808,69.62800476979464,0.02625687886029482,0.03414407651871443,31.826425494626164,170.2194427587092,267.7793679088354,0
8300,0.010653647,0.01110158,-7.6519165,2.8497376,0.0510804,3.0721564,2.7152774,2.8520741,0.047965556,3.0952284,2.713126,2.846049,0.10155706,3.1640048,2.639983,-4.8115063,0.35987723,-4.009655,-6.740336,-0.00039019543,0.01305124,0.035582863,-0.019038754,-0.13024943,0.008900617,-0.10402565,-0.17127609,0.3674490451812744,-11.813518524169922,8300,17,500.0,0.0,500,500,0.006418793636704791,0.009917674029092436,0.0644839721363594,0.0007702533300708972,3.2093968183523947,3.088727727656622,9.315604067820672,0.9578734425287297,0.0020789118,0.58985955,0.9986747,-0.9985964,5,3.2093968183523947,5000,10,500.0,0.0,500,500,0.003832658209665962,0.0006544119657135965,0.004958406207246385,0.0021878272544800137,1.9163291048329811,0.27273503873770744,2.2025345202516777,1.4570685613576297,1.9163291048329811,0.27273503873770744,2.2025345202516777,1.4570685613576297,-3.0832434e-05,0.012610477,0.030257199,-0.011354337,5,1.9163291048329811,0.03620690852403641,67.76169172953814,69.28859143331647,0.026142915710806847,0.02614862099289894,32.278109868988395,169.41689147707075,437.2015169514343,1
10800,0.0018049991,0.0018371358,-7.424153,2.620504,0.02963349,2.7009785,2.5437372,2.622324,0.02932531,2.7081156,2.5518498,2.6251767,0.04736088,2.8462155,2.527267,-4.8084345,0.26659587,-4.1968484,-5.9964643,-0.00069083646,0.011624128,0.015497563,-0.026505025,-0.11810859,0.0077403714,-0.09953958,-0.13890259,0.13516570627689362,-23.619853973388672,10800,22,500.0,0.0,500,500,0.008992150738661735,0.015561186115652931,0.12284928863412671,0.00045520479374306706,4.4960753693308675,5.293110127752185,14.706190514092377,0.8171306020036792,-0.0023570266,0.5935522,0.9966003,-0.99832934,5,4.4960753693308675,7500,15,500.0,0.0,500,500,0.0031977654769301204,0.0004725087964979965,0.0039428813269807884,0.0018760040622609788,1.5988827384650603,0.10165749806114142,1.7114579935086858,1.4409485346160917,1.5988827384650603,0.10165749806114142,1.7114579935086858,1.4409485346160917,-0.0001159189,0.01239012,0.013457647,-0.025471134,5,1.5988827384650603,0.03543781116604805,70.90847681183368,69.16550997458398,0.02541994769126177,0.026059361174702644,32.19571949355304,172.35662340000272,609.5632111057639,2
13300,0.00023167477,0.00028850327,-7.342622,2.5701199,0.030322306,2.6297085,2.458484,2.5691242,0.02967469,2.632124,2.4598515,2.5738645,0.033058714,2.6608262,2.4538398,-4.7754126,0.3294941,-4.015141,-5.847218,0.00023476916,0.01269259,0.025628762,-0.026837043,-0.11031764,0.007675156,-0.092349514,-0.13174221,0.04972793161869049,-35.328453063964844,13300,27,500.0,0.0,500,500,0.005235546989660922,0.01270668716034271,0.12425401629014116,0.0003240888343487901,2.6177734948304607,2.6350826211257004,7.609629273461491,0.7376141507664549,-0.00018229305,0.59212846,0.9992575,-0.9984197,5,2.6177734948304607,10000,20,500.0,0.0,500,500,0.004602887388138073,0.0009043907007576032,0.005751674835160252,0.00228580263951635,2.301443694069037,0.32139502194188063,2.7163980045319076,1.8868160727296583,2.301443694069037,0.32139502194188063,2.7163980045319076,1.8868160727296583,0.000910342,0.013640715,0.020522067,-0.026754381,5,2.301443694069037,0.036745366640388966,68.00266190525144,69.52767684310675,0.025582611560821533,0.030890160240232944,32.0113208303228,169.63487771712244,779.203106706962,3
15800,0.00019153244,0.00020033243,-7.364247,2.5595295,0.029901562,2.6248193,2.493036,2.5600955,0.03004894,2.6275601,2.5020716,2.5599303,0.0324323,2.6528509,2.4693084,-4.8072767,0.3978237,-3.7363338,-6.896247,0.000113026574,0.04820811,0.15060869,-0.17286384,-0.088567875,0.014551705,-0.03597103,-0.12265353,0.01830454170703888,-47.22446060180664,15800,32,500.0,0.0,500,500,0.009914794418662245,0.015085991394202875,0.10436058743624926,0.00018032347088086588,4.957397209331123,2.908272021872171,8.569473210314147,0.7241705016560976,-0.0013593244,0.60390615,0.99868363,-0.9985007,5,4.957397209331123,12500,25,500.0,0.0,500,500,0.003087271584138435,0.0006567019266676082,0.006551351548836046,0.0020338786938355513,1.5436357920692174,0.1802095798455642,1.7640751923859723,1.3249683600964075,1.5436357920692174,0.1802095798455642,1.7640751923859723,1.3249683600964075,-0.003966113,0.038435183,0.06566741,-0.1141973,5,1.5436357920692174,0.03569489344954491,70.87505894247442,71.19771528244019,0.025999849662184715,0.026066781021654606,31.890611246228218,174.0511469952762,953.2593134855852,4
18300,0.0003430163,0.0004560794,-7.2293563,2.5507462,0.0597784,2.7925665,2.3254306,2.5489597,0.065678574,2.8387856,2.2888725,2.5489492,0.05776065,2.7292264,2.284513,-4.682814,0.5736192,-2.9938204,-5.9163356,0.018430248,0.109613374,0.44553617,-0.2221348,-0.04603098,0.022571301,0.027554298,-0.09632253,0.006753460504114628,-58.37559127807617,18300,37,500.0,0.0,500,500,0.0124427347316861,0.014735923645907641,0.1534267196479178,0.0006780054030153018,6.221367365843048,1.4900795655327388,8.202550582637011,4.401142346739205,0.030461228,0.61678797,0.9993016,-0.9986745,5,6.221367365843048,15000,30,500.0,0.0,500,500,0.004265129679408718,0.0038798416004486185,0.015894864378390463,0.0015219113546873864,2.1325648397043597,0.25182654691656875,2.434890828015984,1.6841634872257272,2.1325648397043597,0.25182654691656875,2.434890828015984,1.6841634872257272,0.064257264,0.10147045,0.42628425,-0.19979063,5,2.1325648397043597,0.0357277849689126,68.6683290451765,70.273751815781,0.025530437007546425,0.025967066176235676,31.73942156508565,170.76872771419585,1124.0330967614427,5
20800,0.00037095867,0.00036148028,-6.682312,2.5284486,0.07535052,2.8181272,2.2371166,2.5270152,0.07317618,2.819856,2.2310646,2.527504,0.07154386,2.7824488,2.242087,-4.15708,1.1225914,-0.9957874,-6.6192713,-0.012489336,0.32511574,1.4989039,-0.80463326,0.008876779,0.059825756,0.23240486,-0.26548827,0.0025272062048316,-66.71568298339844,20800,42,500.0,0.0,500,500,0.005223254497325894,0.01243586756525012,0.1421324815375159,9.42196377328655e-07,2.6116272486629475,1.2339849947779282,4.785285561667913,1.3703497227879384,0.0009287818,0.6466597,0.99980485,-0.9996958,5,2.6116272486629475,17500,35,500.0,0.0,500,500,0.048111068341978945,0.08315966546118671,0.23624673956043557,0.0026554114726007505,24.05553417098946,39.2684901138074,102.58897834982422,3.7535716587382315,24.05553417098946,39.2684901138074,102.58897834982422,3.7535716587382315,-0.029464038,0.25076023,0.6587313,-0.63774985,5,24.05553417098946,0.03613095171749592,73.84407994803041,67.40657180175185,0.025958522222936153,0.026024569757282734,31.562817947007716,172.9015837404877,1296.9397374987602,6
23300,0.00027387356,0.00034844287,-3.9741957,2.522572,0.086180314,2.7400315,2.256018,2.522809,0.088227935,2.788081,2.2532804,2.5123274,0.08627657,2.7158148,2.238583,-1.4496267,3.1091073,9.169831,-9.161361,-0.0013667142,0.8719047,4.7275577,-2.0619018,-0.04259491,0.17280756,0.5668409,-1.4918674,0.001017930917441845,-58.210758209228516,23300,47,500.0,0.0,500,500,0.014298757071098176,0.03741651411714067,0.23718001587700477,5.155196881448969e-07,7.149378535549092,4.817653828356129,15.790331071911083,3.045691611581894,0.010921574,0.7234449,0.9999985,-0.9999898,5,7.149378535549092,20000,40,500.0,0.0,500,500,0.0038488974532771736,0.00834318061209629,0.08646807859562154,0.00038831622444853196,1.9244487266385861,0.30416284262302506,2.401171987587446,1.526733198821656,1.9244487266385861,0.30416284262302506,2.401171987587446,1.526733198821656,0.046778798,0.54253703,0.99999994,-0.9999669,5,1.9244487266385861,0.03573443088680506,72.2864616299048,69.97049639839679,0.02564644254744053,0.02592029795050621,31.030238076113164,173.3744972757995,1470.319435809739,7
25800,0.0003670837,0.00044954135,0.5364865,2.5117052,0.13148104,3.2662075,2.2052867,2.5017793,0.12615913,3.2644687,2.1957977,2.4989161,0.12952049,3.263593,2.2013342,3.0474663,5.2083044,21.24264,-7.2504463,0.025018765,1.3604252,5.6476016,-3.17409,-0.2181301,0.25942495,0.3824679,-1.1557024,0.0005475571961142123,-29.681840896606445,25800,52,500.0,0.0,500,500,0.004138518172334934,0.009954474533316281,0.12445409904840861,0.00045403464813824384,2.0692590861674662,1.4487005072999557,4.9493767261823765,1.1002032533384156,-0.094036974,0.7886331,0.9999659,-0.99983704,5,2.0692590861674662,22500,45,500.0,0.0,500,500,0.0022438692475275205,0.004983299057572831,0.0630130813855248,0.00044469014772905916,1.1219346237637602,0.07362870648210301,1.2321817443280747,1.0296672917274785,1.1219346237637602,0.07362870648210301,1.2321817443280747,1.0296672917274785,-0.25678894,0.75630385,0.99999297,-0.9996674,5,1.1219346237637602,0.03665272984653711,66.41094536986202,68.52481206227094,0.02588892448693514,0.025707613676786423,31.173531897366047,166.19753859750926,1636.5221059471369,8
28300,0.0006083319,0.00052504905,3.6412668,2.4830666,0.124808855,3.1818082,2.1434777,2.4825745,0.12782586,3.2130487,2.13389,2.487225,0.13421802,3.355164,2.1437783,6.130274,5.873652,26.758099,-6.807346,-0.0028436077,1.6164161,3.3989773,-4.6191497,-0.32441393,0.24986693,0.46484083,-0.9923853,0.0003860193828586489,-6.835628986358643,28300,57,500.0,0.0,500,500,0.012566615921504185,0.03251020512719512,0.2541474158951909,2.8341931772677594e-06,6.283307960752097,6.954341210564173,20.007833253490237,1.0872127543537924,-0.003951625,0.7166771,0.9995657,-0.999826,5,6.283307960752097,25000,50,500.0,0.0,500,500,0.0019121851262120855,0.0029653526640890495,0.04031942955584148,0.0004023821105804904,0.9560925631060428,0.06939350948282454,1.0753590421900123,0.8800672740683811,0.9560925631060428,0.06939350948282454,1.0753590421900123,0.8800672740683811,-0.08222099,0.6214056,0.99926984,-0.9991312,5,0.9560925631060428,0.03493703342974186,68.58654388133436,68.80417776387185,0.026122278533875942,0.03185049258172512,30.86649407632649,168.35012552607805,1804.8772626155987,9
