replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.575676,28.61802,-5.3845882,0.003666255,0.00068171544,0.005726904,0.0017166168,-0.00032441804,0.000820457,0.0015599873,-0.0024647764,5.3142614,0.61095107,6.5472813,3.424984,-5.3848076,0.6403225,-3.781527,-6.7904053,0.0005340334,0.0008164273,0.0022099707,-0.0009307836,-0.0006569718,0.0017583603,0.002040006,-0.003757693,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0014291973623409924,0.000592584603115628,0.0035503807962736344,6.972350335553558e-05,0.7145986811704963,0.03350343518676347,0.774976652915048,0.6804535571321265,0.0055945436,0.6295946,0.9996328,-0.9993361,5,0.7145986811704963,2500,5,500.0,0.0,500,500,0.0014655017430949468,0.0006041335368441211,0.0023271449495125014,0.00011496239234802932,0.7327508715474732,0.017013678576213515,0.7642757730423609,0.7180068379114373,0.7327508715474732,0.017013678576213515,0.7642757730423609,0.7180068379114373,0.0005281027,0.0007955563,0.0018715102,-0.00042523962,5,0.7327508715474732,0.03487839363515377,62.87244695890695,63.763749840669334,0.02535220980644226,0.04271623957902193,31.005167960189283,157.74431160278618,247.64087661728263,0
8300,0.011855918,0.012278931,-8.629646,3.1392372,0.03095392,3.194985,3.060143,3.1394467,0.03365497,3.201505,3.041804,3.1432676,0.10353692,3.4128695,2.8866136,-5.4972086,0.37251985,-4.6217694,-7.453884,0.0067474353,0.012838149,0.020703549,-0.026625052,-0.12627019,0.009661988,-0.10900979,-0.1462499,0.36748626828193665,-13.498144149780273,8300,17,500.0,0.0,500,500,0.003189370721877017,0.004845478308175723,0.03834580218424101,0.00010979196697587636,1.5946853609385083,1.5344041248157307,4.657967387697913,0.7035226440762494,0.0051910775,0.59325117,0.9977015,-0.9973794,5,1.5946853609385083,5000,10,500.0,0.0,500,500,0.001585556692112287,0.0006672585569647534,0.0025503580261191394,0.00010788493036705385,0.7927783460561437,0.02458558883584338,0.8184468160762173,0.7514578451165338,0.7927783460561437,0.02458558883584338,0.8184468160762173,0.7514578451165338,0.0067544556,0.012929934,0.018185927,-0.026031766,5,0.7927783460561437,0.03376226872205734,62.559484829194844,63.80963492114097,0.025675897486507893,0.03127826098352671,31.47033871524036,157.93017489276826,405.57614565454423,1
10800,0.0016183469,0.0015758792,-8.302968,2.8851066,0.017422162,2.92394,2.8414671,2.8833776,0.016740264,2.921677,2.8371286,2.8837066,0.043006714,2.9720871,2.73519,-5.421872,0.33817726,-4.5809975,-6.805326,-0.0021605906,0.008992734,0.009869746,-0.02020506,-0.12048697,0.006246817,-0.10916555,-0.13458371,0.13517984747886658,-26.845752716064453,10800,22,500.0,0.0,500,500,0.003278156566900003,0.004065671570470406,0.029160970862786732,9.515738330344704e-05,1.6390782834500015,1.2247794478280862,3.934432074340495,0.6799393412344641,-0.002083713,0.592197,0.99957556,-0.99801284,5,1.6390782834500015,7500,15,500.0,0.0,500,500,0.001664055458487981,0.00077512230285305,0.0029399283671102698,8.724160713754052e-05,0.8320277292439904,0.013275741294332039,0.8432411996909583,0.8069164436451937,0.8320277292439904,0.013275741294332039,0.8432411996909583,0.8069164436451937,-0.0021887906,0.008968618,0.009072059,-0.01952886,5,0.8320277292439904,0.03350615222007036,62.36331149190664,63.54702937975526,0.025786202400922775,0.03094472549855709,31.348485111258924,157.34906306304038,562.9302621856332,2
13300,0.00017032032,0.00016629526,-8.22944,2.824317,0.020114074,2.860887,2.731064,2.8246126,0.018824074,2.8569283,2.7457693,2.8237686,0.021906529,2.8729157,2.7401097,-5.406366,0.3324741,-4.7106624,-6.706245,0.0031805872,0.005349897,0.013953647,-0.0065095345,-0.11722177,0.004332449,-0.10747444,-0.12864427,0.049729861319065094,-40.221107482910156,13300,27,500.0,0.0,500,500,0.002272612396806131,0.003058400288577141,0.0352420978406776,0.00011907941522800294,1.1363061984030656,0.8965256354840726,2.9290083153593907,0.6720191581448965,-0.0038342285,0.5917193,0.9969468,-0.99791473,5,1.1363061984030656,10000,20,500.0,0.0,500,500,0.0014460360560239226,0.0005932920523689179,0.0022666681120917815,0.00011246403658786833,0.7230180280119616,0.014103890392641122,0.7433625269587565,0.7090205000991249,0.7230180280119616,0.014103890392641122,0.7433625269587565,0.7090205000991249,0.0031731362,0.0053542755,0.01285663,-0.0056694606,5,0.7230180280119616,0.034485362470149994,61.59842880722135,62.78170346748084,0.024778432212769985,0.0360194630920887,31.24174323026091,155.7171587627381,718.6524858446792,3
15800,7.6771845e-05,7.131868e-05,-8.269643,2.7974644,0.022671698,2.834441,2.718758,2.7972596,0.022235831,2.8367765,2.71839,2.7971826,0.02325527,2.837159,2.7215657,-5.4738436,0.3656301,-4.5556784,-6.570263,0.0076129157,0.0114765605,0.026083337,-0.01789802,-0.106080346,0.005179538,-0.08894101,-0.11831231,0.018297001719474792,-53.89562225341797,15800,32,500.0,0.0,500,500,0.004259387497144913,0.009668877158082841,0.07336338993011489,0.00010816116106844977,2.129693748572456,2.8155587273265263,7.760176553698462,0.6819995357848356,0.011596919,0.5948896,0.9978495,-0.9987688,5,2.129693748572456,12500,25,500.0,0.0,500,500,0.0014933903370550556,0.0006208982602797887,0.0023322969320072624,0.000102464035336748,0.7466951685275278,0.013695285885062759,0.7600250612117241,0.7259241088011628,0.7466951685275278,0.013695285885062759,0.7600250612117241,0.7259241088011628,0.007616696,0.011526854,0.02565653,-0.01667522,5,0.7466951685275278,0.03353417105972767,62.44625695608556,63.277154308743775,0.024753835052251816,0.03126880060881376,31.28740630019456,157.1003743717447,875.7578644230962,4
18300,2.907795e-05,1.9715175e-05,-8.177206,2.7799456,0.02150155,2.8277884,2.694539,2.7790093,0.021645699,2.8226004,2.696472,2.7783146,0.021073706,2.8178108,2.7032008,-5.3992405,0.4036653,-4.5271854,-6.4261723,0.0153512545,0.017171565,0.039962035,-0.020165913,-0.078781694,0.0043667043,-0.063191876,-0.08948453,0.006733829155564308,-66.99101257324219,18300,37,500.0,0.0,500,500,0.0014777903784123389,0.0005762860781204934,0.00326467699529063,9.788287464717174e-05,0.7388951892061695,0.06303755108442026,0.8472817749167165,0.6778970788314453,0.01041438,0.6056744,0.9980843,-0.99867725,5,0.7388951892061695,15000,30,500.0,0.0,500,500,0.0014304723855828355,0.0005659789160732607,0.0021823165572301155,9.471242623378519e-05,0.715236192791418,0.009172764649263749,0.7302865147312619,0.7025170222411339,0.715236192791418,0.009172764649263749,0.7302865147312619,0.7025170222411339,0.015440845,0.017254326,0.038683623,-0.019175272,5,0.715236192791418,0.034218198619782925,63.05349791422486,63.42606863286346,0.02479978185147047,0.031160743907094002,31.042226755991578,157.61197202745825,1033.3747595120221,5
20800,6.5764843e-06,9.6520325e-06,-8.086651,2.751549,0.024861619,2.797043,2.6528656,2.7519078,0.02392438,2.798569,2.665674,2.7517722,0.024629634,2.7970886,2.658945,-5.335679,0.523701,-3.8197293,-7.3264227,0.06478691,0.07371246,0.18847746,-0.07915,-0.040782146,0.014737942,0.015336622,-0.07283838,0.0024826580192893744,-79.97979736328125,20800,42,500.0,0.0,500,500,0.0014037120150488629,0.0006032851669733846,0.0027297982978125484,9.626469834219233e-05,0.7018560075244314,0.02242774325913609,0.7430904646112698,0.6809922752175158,0.030162554,0.61797667,0.99921864,-0.999356,5,0.7018560075244314,17500,35,500.0,0.0,500,500,0.0013614093251710774,0.000576407549521753,0.002154878417037378,0.00010613560365506772,0.6807046625855385,0.001875075334981919,0.682870801140002,0.6779142326331331,0.6807046625855385,0.001875075334981919,0.682870801140002,0.6779142326331331,0.044795837,0.05748687,0.17549679,-0.075361244,5,0.6807046625855385,0.03388797678053379,64.73330025468022,64.4355708854273,0.024680900387465954,0.03137214481830597,30.98527387343347,160.2440860355273,1193.623763712123,6
23300,3.8680115e-05,1.51672775e-05,-7.7381244,2.7225623,0.034423854,2.7776794,2.547285,2.72021,0.036148876,2.773789,2.523754,2.7179666,0.03668524,2.7777963,2.5150423,-5.0177503,1.3087131,-2.1170914,-7.7091975,0.17420581,0.26404986,0.5988828,-0.76558185,0.027895242,0.056287583,0.20666052,-0.08706893,0.0009253017487935722,-90.92146301269531,23300,47,500.0,0.0,500,500,0.0014404456130534158,0.000687543415387021,0.003685405901442644,8.184187752340434e-05,0.720222806526708,0.09053135985769743,0.9012578405669609,0.6737605189143102,0.029643616,0.657776,0.99941033,-0.999787,5,0.720222806526708,20000,40,500.0,0.0,500,500,0.001344878849842549,0.0005989597948601744,0.002154990745539794,6.654317244924171e-05,0.6724394249212747,0.0008119039546621713,0.6732144199890879,0.6711202929878688,0.6724394249212747,0.0008119039546621713,0.6732144199890879,0.6711202929878688,0.028793678,0.24635552,0.48987547,-0.40571868,5,0.6724394249212747,0.03421819303184748,69.80153171811253,68.73028615210205,0.025357507169246674,0.031582496128976345,31.219650494866073,169.84262656141073,1363.4713200870901,7
25800,5.122298e-05,0.00014280122,-4.3327346,2.6720667,0.10772138,2.7870011,2.0762355,2.6715527,0.10347639,2.7949643,2.0525951,2.669608,0.111902654,2.824311,2.0412219,-1.6603395,4.1734095,18.415644,-8.901814,0.43430936,0.70491457,2.5634594,-2.8955112,0.019033536,0.22106123,0.67573214,-1.0765948,0.00036908878246322274,-76.35222625732422,25800,52,500.0,0.0,500,500,0.001407293285894954,0.0015015257047079889,0.060332909869775735,0.0001210991587648659,0.7036466429474769,0.04096457299335298,0.7820385886086302,0.672068058721664,0.085434996,0.7104574,0.9999902,-0.99999994,5,0.7036466429474769,22500,45,500.0,0.0,500,500,0.0013441960748996067,0.0006024985340777536,0.0021543132194712404,9.674676172140698e-05,0.6720980374498032,0.001130748897423044,0.6740373980420266,0.6706571519756878,0.6720980374498032,0.001130748897423044,0.6740373980420266,0.6706571519756878,0.066193186,0.519633,0.98279625,-0.981034,5,0.6720980374498032,0.03382137976586819,67.12850224599242,69.26403758954257,0.0248913811519742,0.026028228923678398,30.813278194516897,167.2905590198934,1530.7669652868062,8
28300,0.00038077447,0.00031258634,0.9313967,2.6139069,0.19374,2.74382,1.5960381,2.6194477,0.19164215,2.74981,1.6401559,2.6166368,0.18904871,2.7507372,1.7239325,3.5492506,6.498366,25.20118,-7.597277,0.54248834,1.238059,3.011566,-2.8181574,-0.19368947,0.28113416,1.269026,-1.064703,0.0001969540026038885,-37.97453308105469,28300,57,500.0,0.0,500,500,0.011523521477891914,0.026753664194792307,0.16594270995672317,1.2648450701950653e-05,5.761760738945957,6.571665979527877,17.7578582398115,0.8118452138234777,0.027761044,0.73792243,1.0,-1.0,5,5.761760738945957,25000,50,500.0,0.0,500,500,0.009370278737855568,0.006878127799039541,0.027654021609219946,0.00011377987812479354,4.685139368927782,2.0753279038114005,7.651220788888347,1.8935177711933329,4.685139368927782,2.0753279038114005,7.651220788888347,1.8935177711933329,-0.04154543,0.69836855,1.0,-1.0,5,4.685139368927782,0.03357228357344866,72.32453955244273,65.43963809125125,0.025068321265280247,0.03156226594001055,30.901453878730536,168.75583439320326,1699.5277314297855,9
