replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.606417,21.524357,-4.7021236,-0.004233667,0.0010956551,-0.0009147292,-0.006600846,0.004663226,0.0013204922,0.008403471,0.001683256,4.6137094,0.53019106,5.643093,3.1771271,-4.7063494,0.6550783,-3.2082975,-7.8441486,-0.0004872481,0.0014998803,0.0037226249,-0.0027627223,-0.0003082249,0.0017449505,0.0042983815,-0.0034522037,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0020710368442308667,0.0025697851228332997,0.038351851095546396,0.00012083784788107359,1.0355184221154332,0.3669251633388319,1.7050453166706523,0.6855911637958607,-0.0011775818,0.62746036,0.99947953,-0.9992439,5,1.0355184221154332,2500,5,500.0,0.0,500,500,0.0014486843490839948,0.0006100820211764191,0.002305250415827383,8.256519395554288e-05,0.7243421745419976,0.012673587812536458,0.7457527962204663,0.7068146626049324,0.7243421745419976,0.012673587812536458,0.7457527962204663,0.7068146626049324,-0.00057630305,0.0014661563,0.00288857,-0.0017748089,5,0.7243421745419976,0.034620385617017746,64.11989164259285,66.43394073471427,0.025533919222652912,0.0331429298967123,29.610686200670898,160.2578158127144,262.74928846396506,0
8300,0.008985257,0.008877655,-7.6365423,2.8341908,0.040055405,2.8947318,2.6741426,2.8338323,0.039634477,2.9010634,2.6469207,2.8200998,0.08942328,3.187031,2.60437,-4.8094378,0.34274748,-4.236989,-6.8905525,-0.0034452113,0.009233127,0.00923187,-0.026221532,-0.12633023,0.0072784987,-0.111304,-0.14448683,0.3674221336841583,-11.812310218811035,8300,17,500.0,0.0,500,500,0.0034849643562549367,0.005190032070436029,0.060928889976598816,7.521756862348096e-05,1.742482178127468,1.033639784685681,3.5113520510213663,0.775779593335358,-0.00030383584,0.5891719,0.9976825,-0.9967311,5,1.742482178127468,5000,10,500.0,0.0,500,500,0.0014078679278782303,0.0005864897810529577,0.0022131970622353303,0.00010376572305633283,0.7039339639391152,0.010304766110669484,0.7240245526756564,0.6959953034272472,0.7039339639391152,0.010304766110669484,0.7240245526756564,0.6959953034272472,-0.003358006,0.008845815,0.0066026724,-0.02283491,5,0.7039339639391152,0.034680613316595554,63.303185099735856,65.31686434429139,0.02636125311255455,0.025463707745075226,29.966486894525588,158.67304191272706,421.4271102966741,1
10800,0.0015890453,0.001596507,-7.3556395,2.5969849,0.023169111,2.6455793,2.506248,2.5985432,0.021833375,2.646642,2.5185754,2.600193,0.042971384,2.7560618,2.4937782,-4.7612305,0.40299934,-4.0714746,-8.090719,-0.005273316,0.011868279,0.01361504,-0.027340522,-0.13096969,0.006642889,-0.11334857,-0.1467452,0.13515512645244598,-23.5263671875,10800,22,500.0,0.0,500,500,0.008214543107779809,0.018327919336940533,0.13686280530778622,9.904675823814839e-05,4.1072715538899045,5.8045526676682435,15.680937698431952,0.7451175888944542,-0.0047727297,0.5886294,0.9974737,-0.9972749,5,4.1072715538899045,7500,15,500.0,0.0,500,500,0.0014397221327062193,0.0006050489118885493,0.002334263834003288,8.499168483413047e-05,0.7198610663531099,0.0232502181030331,0.7654843799605354,0.7004228221092226,0.7198610663531099,0.0232502181030331,0.7654843799605354,0.7004228221092226,-0.00548536,0.0122353425,0.010400779,-0.026115555,5,0.7198610663531099,0.03406663518399,63.34788612090051,64.94067411217839,0.026286262087523937,0.025576116517186165,29.869143118150532,158.24363236501813,579.6756476014853,2
13300,0.0003927078,0.0003498816,-7.365714,2.5584803,0.027968878,2.6267686,2.435569,2.5586534,0.028143415,2.6253614,2.4399276,2.5530405,0.030355265,2.6838853,2.443591,-4.810755,0.30619794,-4.024092,-5.964308,-0.002868887,0.010199645,0.0194404,-0.029266141,-0.11409868,0.005642866,-0.09308502,-0.12646951,0.049723342061042786,-35.43558120727539,13300,27,500.0,0.0,500,500,0.004000544156862037,0.0054055199349705065,0.056073776752249414,7.913775145797622e-05,2.0002720784310184,1.3503730727905323,4.060231588921726,0.6989713442448895,0.0009471354,0.59446806,0.9991031,-0.99853384,5,2.0002720784310184,10000,20,500.0,0.0,500,500,0.001510140260817787,0.000628937748387001,0.0024775819866817168,0.00011749406464596893,0.7550701304088937,0.02400218153610635,0.7950045072441824,0.7296079514324334,0.7550701304088937,0.02400218153610635,0.7950045072441824,0.7296079514324334,-0.0032327895,0.011072235,0.0108201215,-0.027578184,5,0.7550701304088937,0.034436553716659546,64.17896871548146,65.16320397891104,0.025923381559550762,0.029984410852193832,29.776071253232658,159.20858829375356,738.8890616334975,3
15800,0.0002131945,0.00021947543,-7.3145533,2.524101,0.03392731,2.584991,2.396729,2.5250444,0.032638278,2.5878067,2.405827,2.5253768,0.035569698,2.6066318,2.401892,-4.7937536,0.36932918,-4.1517916,-6.29999,-0.004436848,0.018803138,0.06337497,-0.06457147,-0.08776881,0.009021558,-0.06445103,-0.114944786,0.018296556547284126,-47.17552185058594,15800,32,500.0,0.0,500,500,0.00813013170469631,0.01700270948365783,0.1340091921219537,0.00011318249618593304,4.065065852348155,6.269348500969591,16.599539169010946,0.7066025480070708,-0.0039981105,0.602398,0.9989497,-0.996612,5,4.065065852348155,12500,25,500.0,0.0,500,500,0.0021480483736152304,0.001328268918350883,0.005836725129032107,0.00012316857701904065,1.0740241868076152,0.06378133778351985,1.1841717456818392,1.0057881397991302,1.0740241868076152,0.06378133778351985,1.1841717456818392,1.0057881397991302,-0.0006661146,0.015819676,0.04179237,-0.05261421,5,1.0740241868076152,0.03587801195681095,64.53697732184082,65.57979822810739,0.025908890180289745,0.02956937812268734,29.703756937757134,159.91188876796514,898.8057506177574,4
18300,9.96289e-05,0.0001184078,-7.229218,2.509481,0.040120587,2.6620545,2.3724136,2.5091352,0.039601635,2.6627798,2.3850784,2.506984,0.041531224,2.7164154,2.3717294,-4.7217255,0.46022835,-3.5380218,-5.8237,-0.020013107,0.059922278,0.31869707,-0.15742247,-0.048593394,0.02152458,0.022986833,-0.10045151,0.006740797311067581,-58.59199523925781,18300,37,500.0,0.0,500,500,0.01341004249624176,0.018389682363970785,0.13783725025674257,9.666135976634363e-05,6.705021248120881,3.9911792373879997,13.484036375340482,1.1503447333260561,-0.0058024973,0.61729276,0.9996524,-0.9980039,5,6.705021248120881,15000,30,500.0,0.0,500,500,0.02895068937842066,0.031119050179231056,0.12829344460496295,9.432877737596393e-05,14.475344689210331,3.268977086867869,18.178199313578407,8.39732230053258,14.475344689210331,3.268977086867869,18.178199313578407,8.39732230053258,-0.012728356,0.056746937,0.16351636,-0.122417025,5,14.475344689210331,0.03445939999073744,65.83374814782292,65.79585443250835,0.025719814002513885,0.029575202614068985,29.50808683503419,161.22744383197278,1060.0380320958793,5
20800,0.0004227672,0.0004540781,-6.943637,2.4954624,0.04927869,2.6528213,2.3636549,2.4960022,0.050109547,2.6560342,2.3602006,2.4991384,0.050716568,2.6713588,2.3697686,-4.44851,0.8637192,-1.6597714,-6.4730644,-0.014645597,0.23680246,0.8486008,-0.6303341,0.0034466598,0.04487996,0.20483574,-0.091931164,0.002500843955203891,-68.57823181152344,20800,42,500.0,0.0,500,500,0.030520260272736046,0.04509523870279866,0.24467434248844672,9.350250193958896e-05,15.260130136368014,9.121120443021189,32.4012565118006,7.016884845570655,-0.017002562,0.6377483,0.99947345,-0.999028,5,15.260130136368014,17500,35,500.0,0.0,500,500,0.012888489217501973,0.030198253217663656,0.12386057360422399,0.0001041954132566704,6.444244608750987,9.745973117798176,25.920067568890065,0.8120514055488784,6.444244608750987,9.745973117798176,25.920067568890065,0.8120514055488784,-0.02048826,0.15448907,0.6625008,-0.87052554,5,6.444244608750987,0.03469764068722725,67.39619744103402,68.25796558335423,0.02567640133202076,0.030356925912201405,29.350757515989244,165.09565150830895,1225.1385057838634,6
23300,0.0005868042,0.00031949976,-4.5936813,2.4840407,0.06898033,2.712363,2.3463848,2.4806242,0.06406455,2.6898777,2.3550239,2.480493,0.056237783,2.7066555,2.338081,-2.1092615,2.8069637,8.241453,-7.8030615,-0.18228252,0.76679504,2.8572357,-2.435495,-0.0045062006,0.15526432,0.49895632,-0.6477429,0.000979974283836782,-63.10097122192383,23300,47,500.0,0.0,500,500,0.017341486944308367,0.015111161079954506,0.04785491313206626,0.00012634456545084342,8.670743472154184,6.702256297748978,17.238212878135556,0.7094044802746714,-0.24646859,0.69490844,0.9996321,-0.9997743,5,8.670743472154184,20000,40,500.0,0.0,500,500,0.031681585390949486,0.00768021144101168,0.059721432826335075,0.000127884383965733,15.840792695474747,1.7141280992973187,18.680968442679195,13.521824852874929,15.840792695474747,1.7141280992973187,18.680968442679195,13.521824852874929,-0.33533657,0.6683278,0.95027274,-0.9905867,5,15.840792695474747,0.03551252745091915,72.16183535847813,72.9774472899735,0.02539907582104206,0.025224543176591396,29.63351473864168,174.85893353354186,1400.0022229803726,7
25800,0.00053845096,0.00042885426,-1.2741799,2.4831676,0.09138505,2.7935517,2.3155801,2.478499,0.09060526,2.8058898,2.2887156,2.4807258,0.08908412,2.753946,2.2219007,1.2088666,4.0677376,13.5929985,-7.839211,0.005224728,1.1514648,2.366302,-2.9953268,-0.19597904,0.21187206,0.61456865,-0.83298063,0.0005018982337787747,-43.99238586425781,25800,52,500.0,0.0,500,500,0.017119213949927884,0.035180067021132536,0.2313480337088744,4.346210329769287e-06,8.55960697496394,3.789345426311324,14.867745409889503,3.4073271229213113,-0.043304842,0.7059855,0.99999577,-0.99999744,5,8.55960697496394,22500,45,500.0,0.0,500,500,0.08921818113290683,0.033683621643791115,0.21942921622006528,0.0001271249550903643,44.60909056645342,11.11460170968436,55.958832406251155,29.41566192525885,44.60909056645342,11.11460170968436,55.958832406251155,29.41566192525885,-0.016432498,0.34205386,0.9506516,-0.9098423,5,44.60909056645342,0.033961852081120014,70.46468352805823,66.22545775678009,0.02597258985042572,0.025112145580351353,29.658218566328287,166.4334064386785,1566.4402801087126,8
28300,0.00036361566,0.00056908047,3.134391,2.4568307,0.086552,2.7211027,2.2964602,2.464949,0.08873133,2.7395072,2.2834468,2.45474,0.09181525,2.7670212,2.2767143,5.598294,5.6904306,19.95575,-7.4093556,0.10736382,1.5585037,3.865854,-3.048025,-0.35994956,0.25981316,0.78237826,-1.2397337,0.0003306093567516655,-11.233736991882324,28300,57,500.0,0.0,500,500,0.01324115547935383,0.023916991949221703,0.1898578228302676,0.00012588003313925415,6.620577739676913,0.4534715438248685,7.316816307916154,5.918486621902734,-0.185907,0.7120543,0.9993493,-0.99982053,5,6.620577739676913,25000,50,500.0,0.0,500,500,0.20637217427690216,0.14997324532732212,0.3742753632282799,0.00015933768454453172,103.18608713845113,69.75859067671244,174.67561557316233,12.715936049673019,103.18608713845113,69.75859067671244,174.67561557316233,12.715936049673019,-0.04097971,0.74277395,0.9995402,-0.9985165,5,103.18608713845113,0.03424132987856865,73.4858548650518,69.2899784417823,0.025472285225987434,0.024988899007439613,29.212661747820675,172.07319756876677,1738.5181631185114,9
