replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.177984,28.185547,-5.2906294,0.0013742294,0.00075448415,0.003405232,-0.0003851666,0.0006469728,0.00058355543,0.0018605224,-0.0013524359,5.2689643,0.65608126,6.933204,3.645922,-5.2901607,0.58928037,-3.8369443,-6.7435207,0.00014537669,0.00094738894,0.0017864769,-0.0024473611,0.00010912397,0.0012409773,0.0022794097,-0.0022472674,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.004634466233585596,0.008245700966063028,0.07710789375305957,5.427307215002644e-06,2.3172331167927966,1.4361383287344311,5.01669364667587,0.8024032474418104,0.0049451063,0.6260612,0.99861664,-0.9992008,5,2.3172331167927966,2500,5,500.0,0.0,500,500,0.01337831039987484,0.00243695978151402,0.015365049094603171,0.00830639118622874,6.689155199937422,1.2171505734687698,7.521486627551446,4.321985545988134,6.689155199937422,1.2171505734687698,7.521486627551446,4.321985545988134,0.00014183756,0.00092845835,0.0015351305,-0.0020331626,5,6.689155199937422,0.0363731300458312,65.54981620330364,65.29893863387406,0.027845831587910652,0.03631189092993736,31.791273863054812,162.74055955279619,257.2720277523622,0
8300,0.022625715,0.022020094,-8.6445875,3.219983,0.035944853,3.294935,3.1167188,3.220739,0.033622656,3.288753,3.1197948,3.2401168,0.14645447,3.8353007,2.95583,-5.4267325,0.30479556,-4.6260457,-6.4249086,-0.0025641585,0.008546414,0.011385569,-0.01890264,-0.122528404,0.007233755,-0.09947297,-0.13215819,0.3674251139163971,-13.429912567138672,8300,17,500.0,0.0,500,500,0.006923035647776592,0.007794844746287812,0.04488744689131059,9.080443589586867e-05,3.461517823888296,1.3975344237592364,5.429757527076936,1.074989160216636,-0.00025861006,0.5942738,0.99823004,-0.9984307,5,3.461517823888296,5000,10,500.0,0.0,500,500,0.010126146379044866,0.0018214600169251269,0.014396979383943798,0.006605819301839479,5.063073189522436,0.5054997831649749,5.634970183339986,4.199863433535414,5.063073189522436,0.5054997831649749,5.634970183339986,4.199863433535414,-0.0026625853,0.008453114,0.009927033,-0.018214857,5,5.063073189522436,0.035918937996029854,63.07895090710372,64.07954723574221,0.028105353936553,0.026423510164022446,32.06313056778163,159.31207651272416,416.58942345529795,1
10800,0.0019614398,0.0020240108,-8.43483,2.9513278,0.03124469,3.0089645,2.8608527,2.9519784,0.030852314,3.0088632,2.86878,2.959095,0.050996285,3.1177714,2.8407934,-5.4859653,0.33205247,-4.769281,-7.1053686,-0.0039988426,0.005081009,0.006937977,-0.010799121,-0.11865779,0.004798803,-0.10724591,-0.12971407,0.13517089188098907,-26.97483253479004,10800,22,500.0,0.0,500,500,0.0020100452165361504,0.002883430360613113,0.012887622920449784,5.248251196397922e-06,1.0050226082680744,0.5982778527924859,1.840052464563364,0.27504347297097054,-0.0014364626,0.59372306,0.998225,-0.9986773,5,1.0050226082680744,7500,15,500.0,0.0,500,500,0.009634927086101053,0.001888611773639775,0.014389276848416028,0.005833131966640703,4.8174635430505255,0.40246036474855973,5.422201316699524,4.154650701802872,4.8174635430505255,0.40246036474855973,5.422201316699524,4.154650701802872,-0.0040101213,0.005112541,0.0066590095,-0.009814311,5,4.8174635430505255,0.03550618048757315,66.2890641624108,63.516047425568104,0.027784611098468304,0.026191621087491512,31.80773038417101,161.70232438482344,578.2971147755161,2
13300,0.00031184003,0.00031329793,-8.391214,2.8962035,0.03195801,2.9500015,2.7947974,2.896352,0.031276323,2.946571,2.7983963,2.8970332,0.034727156,2.9561374,2.7793756,-5.4966044,0.36212635,-4.7111,-6.8912644,-2.2423294e-05,0.008948701,0.015577013,-0.013355681,-0.12297006,0.0036158354,-0.113472775,-0.1294103,0.049724552780389786,-40.49326705932617,13300,27,500.0,0.0,500,500,0.007735503417866943,0.012002499747390321,0.10825515075494434,3.6773127600407835e-05,3.867751708933473,2.7387090983770093,9.037513965449055,1.3969590471309967,0.0011065663,0.5881044,0.9966036,-0.998206,5,3.867751708933473,10000,20,500.0,0.0,500,500,0.011473070985449427,0.0012327379243843584,0.013420314527372183,0.008153782764055132,5.736535492724714,0.3028671037321581,5.981397113580575,5.159181722460783,5.736535492724714,0.3028671037321581,5.981397113580575,5.159181722460783,-1.2824437e-05,0.008915485,0.015125445,-0.01297329,5,5.736535492724714,0.035349431447684765,64.1420823847875,65.49956863839179,0.027269362471997738,0.026051728054881096,31.646889293566346,161.3772108387202,739.6797146648169,3
15800,8.9458525e-05,9.858636e-05,-8.3562565,2.861215,0.04568922,2.9298956,2.6448581,2.8607614,0.045756016,2.9314938,2.6418858,2.8610148,0.045210555,2.9657462,2.6718204,-5.496499,0.34606782,-4.6035657,-7.231506,-0.0018240296,0.0154114105,0.01320245,-0.027579654,-0.10699049,0.0032292798,-0.09836954,-0.1163528,0.018294569104909897,-53.988040924072266,15800,32,500.0,0.0,500,500,0.006802952274154489,0.009601111409961921,0.05452960325866968,7.954441880484195e-08,3.4014761370772475,2.864497050567479,7.79288396082046,0.7857270244226723,-0.004285443,0.5957911,0.9975939,-0.998861,5,3.4014761370772475,12500,25,500.0,0.0,500,500,0.010796585004521958,0.0018774906761591245,0.013624711538191114,0.00537767468672929,5.398292502260981,0.6278335642001639,6.125838368060749,4.598646391743033,5.398292502260981,0.6278335642001639,6.125838368060749,4.598646391743033,-0.0019794984,0.015663302,0.012393823,-0.02689704,5,5.398292502260981,0.03536084666848183,63.34360088966787,63.87136273179203,0.027614392340183258,0.026111439801752567,31.481640408746898,158.78569070901722,898.4706066250801,4
18300,4.1548028e-05,4.9025417e-05,-8.324023,2.8385324,0.046338983,2.9066496,2.6677332,2.8384588,0.04518357,2.9066558,2.6776938,2.8388247,0.045688648,2.9136717,2.6600547,-5.487438,0.38245597,-4.60493,-6.2596245,0.005981877,0.05528674,0.115768395,-0.080263436,-0.08405192,0.0063468395,-0.064682975,-0.099084616,0.0067350175231695175,-67.42957305908203,18300,37,500.0,0.0,500,500,0.009856135747518206,0.019968278301963398,0.15833681012351564,1.2819311538218394e-09,4.928067873759103,5.1183361037376685,14.460893997007599,0.45969661801419953,0.0005519335,0.6029777,0.9996005,-0.9981856,5,4.928067873759103,15000,30,500.0,0.0,500,500,0.009931957860531665,0.008279261615944989,0.030356895887409762,0.00014989844078281162,4.965978930265833,1.7443207892930812,6.762248514549886,1.7340846752662693,4.965978930265833,1.7443207892930812,6.762248514549886,1.7340846752662693,0.005737191,0.053471778,0.09901128,-0.07216389,5,4.965978930265833,0.03547331225126982,64.29302426986396,63.964561780914664,0.027271398343145847,0.025824015960097313,31.411096920259297,159.75725169759244,1058.233063166961,5
20800,0.0018501175,0.0019053929,-7.882383,2.7862191,0.10931318,2.8955395,2.1836882,2.792653,0.1009339,2.9673812,2.2180603,2.792682,0.11347557,3.1377149,2.2037125,-5.0960608,0.93400013,-2.613643,-7.5998178,0.05333361,0.21385336,0.55950284,-0.39884531,-0.02710161,0.03083026,0.08454442,-0.11382807,0.0024913756642490625,-78.49695587158203,20800,42,500.0,0.0,500,500,0.0624898473810182,0.10826913596290288,0.48789738726706494,9.333422923418766e-12,31.244923690509086,36.91807296481986,86.50996052708865,0.6788802780998876,0.040192265,0.63138205,0.99909264,-0.99930745,5,31.244923690509086,17500,35,500.0,0.0,500,500,0.02225364420248924,0.03116479694466383,0.12711121366932454,1.409524349090437e-11,11.126822101244619,7.756139578125105,25.776338877738763,3.0180470108343327,11.126822101244619,7.756139578125105,25.776338877738763,3.0180470108343327,0.05814092,0.22095896,0.5469324,-0.4380826,5,11.126822101244619,0.035272023640573025,64.95870641805232,65.23089407663792,0.027442566119134426,0.02558110933750868,31.354904994368553,161.632801188156,1219.8709944598377,6
23300,0.0015078048,0.008691952,-3.694444,2.7375152,0.19677746,3.2576802,1.408169,2.7506058,0.17492752,3.2779834,1.6199052,2.733722,0.20693961,3.3520217,1.4974197,-0.95298743,3.7594967,14.729733,-7.739962,0.17756215,0.933977,2.3260071,-2.7543638,-0.06735997,0.2254801,0.69707865,-0.82448506,0.0010031969286501408,-61.809814453125,23300,47,500.0,0.0,500,500,0.0009647750099006324,0.0032789283799736545,0.027574937559743013,3.710612064524968e-14,0.482387504950316,0.19903393465324362,0.7984499303779818,0.2073271350780357,0.10070526,0.7758033,0.999623,-0.99983644,5,0.482387504950316,20000,40,500.0,0.0,500,500,0.0011301277955095522,0.005696518318779138,0.052597424355985564,2.0996636528202037e-11,0.5650638977547758,0.2749818044623706,0.9442554120889368,0.3070352203810673,0.5650638977547758,0.2749818044623706,0.9442554120889368,0.3070352203810673,0.052283686,0.63980764,0.9950172,-0.945724,5,0.5650638977547758,0.035870565101504326,65.98861166462302,72.65811803285033,0.027499173767864704,0.026008104905486107,31.45460950769484,170.19071704894304,1390.066833580844,7
25800,0.0008770898,0.0026434672,4.7556534,2.6151674,0.27179253,3.3167758,1.5000759,2.6264625,0.2630753,3.324836,1.514135,2.621461,0.2770874,3.463299,1.5031091,7.3878975,6.7569966,23.459112,-4.236676,0.103787675,1.5887502,2.5467691,-2.6655233,-0.34423885,0.26365334,0.61872727,-0.8013378,0.0005568179185502231,-4.586493015289307,25800,52,500.0,0.0,500,500,0.004074871275242886,0.01007969441337739,0.078133072040775,3.7905150080458974e-08,2.037435637621444,0.9057090865391423,3.8391540487679556,1.426120329294076,0.032555263,0.7713672,0.999795,-0.99990445,5,2.037435637621444,22500,45,500.0,0.0,500,500,0.0023473375023984437,0.007319661638541089,0.06487407673342416,1.623992193635873e-05,1.173668751199222,0.14216628051286773,1.3997699803079398,0.9692935339251673,1.173668751199222,0.14216628051286773,1.3997699803079398,0.9692935339251673,0.02831419,0.7484353,0.99892324,-0.99914736,5,1.173668751199222,0.03515463229268789,74.98868156969547,67.87168915569782,0.027307734824717045,0.025747678242623806,31.639136348851025,174.58771711960435,1564.6597662437707,8
28300,0.0016391017,0.0018894507,1.847478,2.6317582,0.31283897,3.9029162,1.8507651,2.615847,0.31322977,3.890403,1.863907,2.6264803,0.33020702,3.9231775,1.8146201,4.471214,6.331522,23.217804,-4.758745,0.11567688,1.4098504,2.9709265,-3.288604,-0.26332495,0.27221522,0.60578406,-0.9236971,0.0004856876621488482,-26.923782348632812,28300,57,500.0,0.0,500,500,0.0016381862291996313,0.0065526904626298345,0.06084608045921458,1.5395092608135503e-14,0.819093114599816,0.29934946553027386,1.220074855446271,0.40913490028670685,0.06610585,0.6626115,0.9999309,-0.9999574,5,0.819093114599816,25000,50,500.0,0.0,500,500,0.0013713596361535395,0.0050096128095760695,0.046672652337212836,1.5691152081368877e-14,0.6856798180767696,0.09001232005782174,0.7660208915813674,0.5283776634079097,0.6856798180767696,0.09001232005782174,0.7660208915813674,0.5283776634079097,0.04228155,0.5663182,0.9650659,-0.9305859,5,0.6856798180767696,0.03571379650384188,65.47679842729121,66.03071646858007,0.027326928451657295,0.025689853355288506,31.4168847668916,163.01313024107367,1727.6779509168118,9
