replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.892689,21.938004,-4.6662626,-0.00038184697,0.0017824485,0.0038525062,-0.0041657314,-0.005250804,0.0015860767,-0.0011724869,-0.008808356,4.643659,0.57051015,6.092985,2.8947375,-4.6715465,0.56236917,-2.8562174,-5.8961143,-0.0006124903,0.0014531261,0.003611046,-0.0043001235,0.00044698143,0.0013753899,0.0028537088,-0.003367089,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.011894829927679467,0.016393589549414316,0.15116478412162435,1.5132057246544958e-05,5.947414963839728,4.360846845414223,11.69469994581548,0.5870543631898723,0.0055186856,0.62967163,0.99963456,-0.99933296,5,5.947414963839728,2500,5,500.0,0.0,500,500,0.011915818102449842,0.0016893778707045947,0.015463548764497155,0.009721290487484897,5.957909051224923,0.8367594383919796,7.606672297785338,5.3090008490753675,5.957909051224923,0.8367594383919796,7.606672297785338,5.3090008490753675,-0.0005510848,0.0012508366,0.0015879994,-0.0029883012,5,5.957909051224923,0.034133671782910824,63.33445045631379,64.36838015541434,0.02667257282882929,0.04216011147946119,29.629704920575023,157.43550188839436,250.3753363415599,0
8300,0.015669301,0.015536345,-7.5874825,2.845643,0.043183263,2.9838362,2.7449214,2.842962,0.04671223,3.0083766,2.7197368,2.8666306,0.12080092,3.3404055,2.6188502,-4.752285,0.30236775,-4.1217947,-5.9412556,-0.0013407067,0.00566363,0.018752117,-0.014245903,-0.12257183,0.00903792,-0.09726931,-0.14791375,0.3674405515193939,-11.7545747756958,8300,17,500.0,0.0,500,500,0.019558843491065504,0.03194397187352028,0.22056124032564423,8.393051454428738e-06,9.77942174553275,12.252265502260387,34.09432483553759,0.982195414528029,-0.0019671815,0.5905341,0.9989082,-0.99878657,5,9.77942174553275,5000,10,500.0,0.0,500,500,0.008067263769172927,0.001018165904554341,0.009897899572972256,0.005646101108081453,4.033631884586463,0.19931662023040914,4.278427028178273,3.716470330833554,4.033631884586463,0.19931662023040914,4.278427028178273,3.716470330833554,-0.001811354,0.0048799403,0.006930687,-0.009627767,5,4.033631884586463,0.03390815295279026,64.32443686388433,63.503927499987185,0.026632035151124,0.0308682294562459,30.01280950754881,157.93258228898048,408.3130174698308,1
10800,0.0018838525,0.0017252752,-7.4582195,2.6330843,0.04320733,2.7465653,2.4590108,2.6313648,0.042448487,2.7269888,2.4418871,2.6215456,0.048143882,2.7446184,2.5096636,-4.831786,0.31683552,-4.1353216,-6.0833282,-0.000110157685,0.011282324,0.018538073,-0.030560652,-0.12611122,0.0058453507,-0.1058303,-0.14218257,0.13516385853290558,-23.666738510131836,10800,22,500.0,0.0,500,500,0.009356936815449137,0.01157909568293814,0.06927008633697682,8.191938194250051e-05,4.678468407724568,3.411830389894138,10.533194478161077,0.716974377365378,-0.001038112,0.58990556,0.9992192,-0.99803966,5,4.678468407724568,7500,15,500.0,0.0,500,500,0.010641244352731982,0.0019414195821037042,0.01491333519928744,0.007243488105343291,5.320622176365992,0.9261418485191794,7.1042658912184296,4.567598167679717,5.320622176365992,0.9261418485191794,7.1042658912184296,4.567598167679717,-5.8729143e-05,0.009734998,0.013891109,-0.021221792,5,5.320622176365992,0.0335905309766531,61.53916573245078,63.8634685697034,0.026614408008754253,0.02572680450975895,30.09398542996496,155.5825514756143,563.9005495319143,2
13300,0.0009401701,0.0009430619,-7.337414,2.570586,0.043453638,2.682089,2.4578083,2.5690455,0.04244589,2.6884797,2.4587393,2.5684104,0.051562935,2.7996864,2.451738,-4.772488,0.34583625,-4.1125727,-6.70801,-0.0056357575,0.014153068,0.024377929,-0.049979147,-0.1083358,0.00910867,-0.08312219,-0.13262598,0.04973403736948967,-35.3182373046875,13300,27,500.0,0.0,500,500,0.012234712917561428,0.033204693279992405,0.27281763345531257,8.88223729905096e-06,6.117356458780714,9.78549131578468,25.661567473121547,0.5653689375055811,0.00033203713,0.5980084,0.9992297,-0.9984179,5,6.117356458780714,10000,20,500.0,0.0,500,500,0.03741317789545751,0.021190959017785005,0.08956730212382671,0.009707652673017098,18.706588947728754,2.6641434220956586,22.78882283520052,14.472836385713295,18.706588947728754,2.6641434220956586,22.78882283520052,14.472836385713295,-0.0023081466,0.011681736,0.015633188,-0.03784825,5,18.706588947728754,0.033543153665959835,63.00422182958573,63.16782972496003,0.026574160903692245,0.025292926467955112,30.256254511885345,156.5137163074687,720.4190707094967,3
15800,0.00049320364,0.0004861499,-7.322191,2.5630436,0.05594546,2.731995,2.4108446,2.5632544,0.05572734,2.7403498,2.411768,2.561473,0.056019273,2.8228123,2.4252455,-4.7612896,0.4394913,-3.7450266,-6.7104445,-0.007831244,0.061139286,0.14784619,-0.17438032,-0.07227324,0.014679453,-0.03542793,-0.10308117,0.018310975283384323,-47.03641128540039,15800,32,500.0,0.0,500,500,0.022575766832219926,0.03409364945044722,0.27181317466203014,8.406963161573029e-06,11.28788341610996,7.279343215262696,23.805720892255426,2.980990430604461,-6.8708146e-06,0.6087811,0.9989003,-0.99896604,5,11.28788341610996,12500,25,500.0,0.0,500,500,0.157355022467241,0.08783133553210898,0.30106133311416605,0.009467434653007848,78.6775112336205,26.382992683577754,109.39703611402791,47.36510007995565,78.6775112336205,26.382992683577754,109.39703611402791,47.36510007995565,-0.00264886,0.04763205,0.05821523,-0.13512632,5,78.6775112336205,0.03378086630254984,68.16880183201283,64.14695766102523,0.02592837903648615,0.025032633915543556,30.03068075235933,162.43118212465197,882.855139715597,4
18300,0.0005286904,0.0004929356,-7.0839376,2.5421624,0.07299162,2.753295,2.400213,2.545321,0.07493062,2.759887,2.3971162,2.5442662,0.07416566,2.8355186,2.4176235,-4.541525,0.77973324,-2.3205712,-6.233904,0.010946631,0.20246416,0.54068065,-0.5417706,-0.019020915,0.02538691,0.101079255,-0.08074372,0.006784521043300629,-57.61676025390625,18300,37,500.0,0.0,500,500,0.02242683683104709,0.04531540230568177,0.3034826898258403,5.89117625398039e-05,11.21341841552354,6.834628922203224,23.20155449314793,4.862109046516341,-0.007334375,0.6271102,0.9995257,-0.999247,5,11.21341841552354,15000,30,500.0,0.0,500,500,0.16411739791144078,0.14617632325412971,0.3898925065709301,0.0006990007917001427,82.05869895572042,61.403408859229096,170.97421423086584,22.736011122015714,82.05869895572042,61.403408859229096,170.97421423086584,22.736011122015714,-0.029109942,0.11793165,0.3359851,-0.58813953,5,82.05869895572042,0.03396555129438639,67.11759642604738,64.03314587660134,0.025818108581006527,0.025028144009411335,29.91360906139016,161.1491631679237,1044.0090761203319,5
20800,0.001179358,0.00075462554,-4.9734354,2.584737,0.09392682,2.8000705,2.3895645,2.5774188,0.090933695,2.7899656,2.39588,2.5627131,0.08588892,2.767671,2.3644054,-2.3880033,2.310515,4.8686967,-6.963892,-0.08848749,0.73767006,1.675386,-2.0011609,-0.042201035,0.13048609,0.24811238,-0.44024736,0.0026634829118847847,-55.64543151855469,20800,42,500.0,0.0,500,500,0.00844407319534831,0.028716290345668655,0.26406359926042444,5.661125074891199e-08,4.222036597674156,1.7154550915504057,7.26737279162909,2.362873908708429,-0.065029055,0.6808783,0.99992484,-0.9996811,5,4.222036597674156,17500,35,500.0,0.0,500,500,0.008319412591607804,0.030882793356715083,0.23224289786282495,1.1287760849477814e-12,4.159706295803903,1.7085101477627165,7.507260547626993,2.802025411461113,4.159706295803903,1.7085101477627165,7.507260547626993,2.802025411461113,-0.09549827,0.38731295,0.9330862,-0.99444675,5,4.159706295803903,0.0334981307387352,65.40967015083879,64.98924557864666,0.0261390907689929,0.02518432680517435,29.842997141182423,160.32673441898078,1204.3406109949574,6
23300,0.0006968436,0.0005369873,-1.3328127,2.5571504,0.11012571,2.7997973,2.2966416,2.5580256,0.11205595,2.8100688,2.2675145,2.5616736,0.11239808,2.922225,2.3069086,1.2400632,3.3783722,10.092541,-6.1300774,-0.18918017,1.1492512,2.457045,-2.86012,-0.14958385,0.2319381,0.35659972,-0.8778595,0.0012723912950605154,-38.39704513549805,23300,47,500.0,0.0,500,500,0.022459950259491827,0.05003963604361088,0.3143201676607573,1.6120438317557273e-13,11.229975129745913,3.1361920265022345,15.062985256279568,7.406553985809079,-0.14424266,0.66490704,0.99977976,-0.9997832,5,11.229975129745913,20000,40,500.0,0.0,500,500,0.05909230397111628,0.060163208319385535,0.30894788176589943,0.000443782632013069,29.54615198555814,16.289190736602833,59.289566112975145,13.994201745328226,29.54615198555814,16.289190736602833,59.289566112975145,13.994201745328226,-0.1594702,0.5067699,0.9638678,-0.99265665,5,29.54615198555814,0.03381224628537893,67.10542472731322,64.73902152571827,0.026233644224703312,0.02517222799360752,29.749674911610782,161.67933928314596,1366.0247733248398,7
25800,0.0015567108,0.0013926337,3.289212,2.5866997,0.13913701,2.9079878,2.1331234,2.5761452,0.13735886,2.9062662,2.1173875,2.5894508,0.14567593,2.9526927,2.1161988,5.8889184,4.864201,18.232306,-6.0775337,0.018249055,1.5913494,4.26369,-3.9200158,-0.30997542,0.23574133,0.49257547,-0.97490984,0.000849316013045609,-7.856326580047607,25800,52,500.0,0.0,500,500,0.061138718922553674,0.055457872715520246,0.298997535298982,0.0010578036963223446,30.569359461276832,17.896098591908363,54.36580102017674,12.120819488449715,-0.037145842,0.7208623,0.9994399,-0.999863,5,30.569359461276832,22500,45,500.0,0.0,500,500,0.09962125964275133,0.07749928061048465,0.2668270706965147,0.006126866453064236,49.810629821375684,35.833731839578974,100.70521366019393,6.06099050410213,49.810629821375684,35.833731839578974,100.70521366019393,6.06099050410213,0.074140176,0.53761405,0.98292226,-0.99131066,5,49.810629821375684,0.03373865596950054,70.33044785540551,70.37090299930423,0.026162665337324142,0.025165013037621975,29.73536739591509,170.52178458496928,1536.551373431459,8
28300,0.00081471575,0.0009646119,4.642169,2.6106439,0.16202904,3.055538,2.3066509,2.6230817,0.16597484,3.13824,2.3423903,2.6179867,0.15999348,3.0574923,2.329706,7.2809668,5.0119505,18.771488,-5.006423,-0.07872738,1.690646,4.1038003,-2.999016,-0.37311655,0.22374706,0.2843177,-1.0509361,0.0007386148790828884,2.025994300842285,28300,57,500.0,0.0,500,500,0.08363194493808397,0.07010676629002792,0.3460247713688243,0.0007270910097693712,41.815972469041974,16.945510463669372,62.20280581122504,18.849051204549458,-0.0820765,0.73455125,0.9999325,-0.99978626,5,41.815972469041974,25000,50,500.0,0.0,500,500,0.05293742203861115,0.057084384110011474,0.31051772713045867,0.0005333932605157009,26.46871101930558,14.862991162419528,47.11249621184655,8.518890008193472,26.46871101930558,14.862991162419528,47.11249621184655,8.518890008193472,-0.13983914,0.6267996,0.99952084,-0.99689907,5,26.46871101930558,0.033564734272658825,68.11302763875574,68.45133132394403,0.02596565429121256,0.029286828823387623,29.55519390385598,166.208370083943,1702.764547770843,9
