replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.134064,28.169416,-5.289837,0.003006807,0.0007314148,0.0051052263,0.0012880145,-0.00033799466,0.0007018609,0.001020231,-0.0022887466,5.2664523,0.6558755,6.934612,3.6411095,-5.290141,0.5894935,-3.8414142,-6.7490444,-7.178214e-05,0.0009559085,0.0016464165,-0.0022389211,0.00030783954,0.0011581378,0.002441405,-0.0014760199,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0014889002214799514,0.0028170220480009177,0.0176942950356788,9.880236022416807e-07,0.7444501107399761,0.7680139737271788,2.1693575625739627,0.12636253944398707,0.004807859,0.62612575,0.9986219,-0.9992054,5,0.7444501107399761,2500,5,500.0,0.0,500,500,0.0032220727986824096,0.0005396018879191689,0.0040694775392287295,0.002247556435462656,1.6110363993412051,0.26545701552893164,1.960095405149367,1.194970387630379,1.6110363993412051,0.26545701552893164,1.960095405149367,1.194970387630379,-7.2096154e-05,0.0009962028,0.0012847299,-0.0020831567,5,1.6110363993412051,0.034870333038270473,66.24143787752837,67.2664499450475,0.025883176364004612,0.03402573894709349,31.903536998666823,165.50620406959206,269.46160795446485,0
8300,0.022286864,0.022193,-8.644077,3.2192981,0.036039643,3.2860746,3.1301212,3.2184043,0.03596507,3.281668,3.1223488,3.2420456,0.14508995,3.8451052,2.9750347,-5.4282665,0.30264148,-4.65642,-6.405093,-0.0016911083,0.00917858,0.011713263,-0.01789099,-0.12329137,0.0072574364,-0.099318534,-0.13355014,0.3674246072769165,-13.431467056274414,8300,17,500.0,0.0,500,500,0.004312164651913356,0.005993907298561975,0.04428219208374415,1.644579431101276e-05,2.156082325956678,1.422393445798174,4.21549854694365,0.20497863104027048,0.00032945018,0.59368473,0.9982171,-0.9983992,5,2.156082325956678,5000,10,500.0,0.0,500,500,0.0018439904275244672,0.0010753609959280243,0.004883188458633311,0.0002590702466943225,0.9219952137622334,0.28676896142189806,1.2373076401685459,0.49597468916804033,0.9219952137622334,0.28676896142189806,1.2373076401685459,0.49597468916804033,-0.0017657895,0.009096324,0.010463183,-0.016898965,5,0.9219952137622334,0.03561643976718187,64.21605966892093,65.45524229668081,0.026008077897131443,0.026310552842915058,32.39544282387942,162.1546798599884,431.6215767310932,1
10800,0.0019011622,0.0019919365,-8.437449,2.9554405,0.025597703,3.0035055,2.8806522,2.95653,0.024523363,3.0062673,2.8808522,2.9633138,0.04896092,3.1201446,2.8569596,-5.484743,0.33472365,-4.7581034,-7.0872073,-0.002932817,0.0067680096,0.01071388,-0.012481013,-0.11757198,0.0043396032,-0.10909177,-0.1279886,0.1351713091135025,-26.97234344482422,10800,22,500.0,0.0,500,500,0.0005050071440173833,0.0010799876169126934,0.007609917198605339,1.8352782454261135e-08,0.25250357200869156,0.1865274254252156,0.5373203929254592,0.06614828565868901,-0.0007551756,0.59386784,0.9982635,-0.99870175,5,0.25250357200869156,7500,15,500.0,0.0,500,500,0.002601229577358437,0.00122963469255986,0.005452174767368836,0.0006670010343996009,1.3006147886792185,0.40964189665495776,1.8854479439571479,0.8893224744471921,1.3006147886792185,0.40964189665495776,1.8854479439571479,0.8893224744471921,-0.0029664917,0.006782213,0.010310892,-0.012091266,5,1.3006147886792185,0.03490565810352564,64.64356590621173,64.6645476249978,0.026192784309387207,0.02979283221065998,32.24570262338966,161.64470742922276,593.2715325104073,2
13300,0.00032647926,0.0002999987,-8.388877,2.893095,0.03527987,2.9444451,2.7848158,2.8927984,0.03424901,2.9439285,2.7945805,2.8944912,0.03377262,2.9543269,2.7876477,-5.498232,0.36406916,-4.697874,-6.8337235,0.0013485546,0.01283546,0.023169193,-0.021596653,-0.12085995,0.0027061722,-0.11389905,-0.1259901,0.04972527548670769,-40.497947692871094,13300,27,500.0,0.0,500,500,0.006153830067376691,0.008413418560013973,0.05222060387811201,4.014238585635531e-06,3.076915033688344,2.0233297210694885,5.81743810157488,0.7375387985020005,0.0020065708,0.58849204,0.9964926,-0.9981467,5,3.076915033688344,10000,20,500.0,0.0,500,500,0.00289215417782789,0.0004932704717084152,0.0036732621297377553,0.0012799040196469983,1.4460770889139452,0.08040026735284467,1.5909812564527017,1.3617571575009304,1.4460770889139452,0.08040026735284467,1.5909812564527017,1.3617571575009304,0.001335009,0.012810566,0.022939825,-0.021275982,5,1.4460770889139452,0.03548452723771334,64.71642050892115,65.27372329775244,0.02595666516572237,0.025586490519344807,32.00997743010521,162.08714891970158,755.3639321913943,3
15800,6.3550935e-05,5.8593792e-05,-8.36025,2.8601851,0.04109291,2.9146676,2.6619852,2.859477,0.040627014,2.9158862,2.682925,2.8590422,0.04055509,2.9253144,2.67581,-5.501887,0.3509803,-4.6372657,-7.218158,-0.0010748535,0.02008217,0.036253348,-0.033478823,-0.102558166,0.004750493,-0.09373285,-0.11735133,0.018295632675290108,-54.008811950683594,15800,32,500.0,0.0,500,500,0.0029579554854053656,0.003682652920073764,0.018564825639581565,6.5673994637589e-10,1.4789777427026831,1.0501460820784119,3.329039812040113,0.4219886795941066,-0.0039219926,0.59696496,0.99786174,-0.99890935,5,1.4789777427026831,12500,25,500.0,0.0,500,500,0.0018322869693707877,0.0012476202146596328,0.005111142032364007,0.00019538153128826092,0.916143484685394,0.2947823527740652,1.487572719644502,0.6550202689087693,0.916143484685394,0.2947823527740652,1.487572719644502,0.6550202689087693,-0.0012365669,0.020310823,0.03562492,-0.03287678,5,0.916143484685394,0.03536906931549311,64.76189520210028,64.85691772028804,0.025539682246744633,0.025689571164548397,31.769473996944726,161.47488524205983,916.844083734788,4
18300,6.9256384e-05,6.1834886e-05,-8.302148,2.8303275,0.04317929,2.8986735,2.6943357,2.830965,0.04342461,2.9054372,2.6970358,2.8330398,0.045495596,2.93943,2.6935813,-5.4725657,0.41876444,-4.2454505,-6.4374127,0.0011483232,0.040767852,0.0739226,-0.06722747,-0.081205994,0.007108664,-0.050537758,-0.09127469,0.006734812166541815,-67.3556137084961,18300,37,500.0,0.0,500,500,0.005264407082941776,0.013723567303805567,0.12136998696588616,1.3871798988497452e-07,2.6322035414708904,3.0039538131709493,8.24953271682097,0.1540642965235383,-0.002307718,0.6045623,0.9994853,-0.99838,5,2.6322035414708904,15000,30,500.0,0.0,500,500,0.00243213257170441,0.002427766631933289,0.008405971804628393,8.338618606767372e-06,1.2160662858522049,0.23235435037795538,1.5923712394440406,0.9779963185837891,1.2160662858522049,0.23235435037795538,1.5923712394440406,0.9779963185837891,0.0012252629,0.04133122,0.07332467,-0.06658396,5,1.2160662858522049,0.03487805090844631,64.84728639479727,65.33087174966931,0.025350527837872505,0.025275934487581253,31.62178465910256,161.88544731680304,1078.7346959952265,5
20800,3.281144e-05,3.0247762e-05,-8.077145,2.7893953,0.054799553,2.8747613,2.5744083,2.790988,0.05453556,2.8822193,2.5873086,2.7884483,0.054253973,2.8717802,2.5912542,-5.2878847,0.78287405,-2.3757463,-6.717762,-0.006535884,0.13562316,0.24211273,-0.32971197,-0.016744684,0.036129627,0.18630531,-0.07826466,0.002486328361555934,-79.673583984375,20800,42,500.0,0.0,500,500,0.0012978709537568947,0.002523028821706193,0.019339206629406566,5.980401359314176e-13,0.6489354768784474,0.31771441329837635,1.1874831402786834,0.23336393772918224,-0.0036727407,0.6355687,0.9989669,-0.9991665,5,0.6489354768784474,17500,35,500.0,0.0,500,500,0.0006427652977181084,0.001424373748417336,0.006021088603032422,2.3191325403281045e-13,0.32138264885905427,0.05051241006636612,0.3886771845356017,0.24126637331577225,0.32138264885905427,0.05051241006636612,0.3886771845356017,0.24126637331577225,-0.013205786,0.114817105,0.22424544,-0.29152796,5,0.32138264885905427,0.03553407080471516,63.909770098514855,65.20941515732557,0.02532938029617071,0.028990479186177254,31.51164277177304,160.72068195790052,1239.4604997895658,6
23300,4.468531e-05,3.4509983e-05,-7.2404795,2.7680287,0.077736594,2.8537493,2.1262333,2.766595,0.07856808,2.8545973,2.1083748,2.7633219,0.07761497,2.863734,2.1310153,-4.4738526,1.5172031,1.2713387,-7.5939183,-0.09676401,0.3376228,0.85330284,-1.0909361,0.07838039,0.08885581,0.3747437,-0.114880465,0.0009381166310049593,-86.95120239257812,23300,47,500.0,0.0,500,500,0.0005427239490346525,0.0017374727912254952,0.010045262032270753,1.9574465505279982e-13,0.2713619745173262,0.14695992346090983,0.4541703449355792,0.06291155301863958,-0.060973182,0.6835242,0.9999472,-0.99991196,5,0.2713619745173262,20000,40,500.0,0.0,500,500,0.001027314724756365,0.0022878925165676894,0.01891436008046579,2.2998886745679355e-13,0.5136573623781823,0.043815189948123216,0.5938072176919875,0.4722279573242099,0.5136573623781823,0.043815189948123216,0.5938072176919875,0.4722279573242099,-0.10232666,0.38880637,0.9195345,-0.97988856,5,0.5136573623781823,0.03502701502293348,65.32335510943085,64.40036801155657,0.02524870354682207,0.02956712618470192,31.381679652258754,161.19524561800063,1400.6608128128573,7
25800,6.573775e-05,3.9436432e-05,-0.7627619,2.6833332,0.18343674,2.8449514,1.8672113,2.685888,0.186136,2.848689,1.8572351,2.6850448,0.1874268,2.8719292,1.847618,1.9249811,7.8673697,27.620764,-9.717968,-0.04734551,1.2076371,2.8489945,-2.7651534,-0.109246336,0.2816512,0.6153559,-0.8310776,0.00042192425462417305,-47.20336151123047,25800,52,500.0,0.0,500,500,0.0006550921504412552,0.0032507307011624214,0.03167004382695311,3.246785556459346e-14,0.3275460752206276,0.10151283301600117,0.502756633027697,0.20259721994012928,-0.0021498604,0.66915977,0.9998924,-0.9996747,5,0.3275460752206276,22500,45,500.0,0.0,500,500,0.0008661548185149282,0.004183422856889028,0.03773314588386888,5.393216737401316e-14,0.43307740925746396,0.09709830495820529,0.6191699347300486,0.3336717101212396,0.43307740925746396,0.09709830495820529,0.6191699347300486,0.3336717101212396,-0.026386924,0.46877033,0.99916905,-0.99649584,5,0.43307740925746396,0.035156858153641224,64.76130008231848,66.08043054770678,0.02549281157553196,0.025612778961658478,31.161514157429338,162.08950723614544,1562.755389337428,8
28300,0.00022032623,0.00037259795,1.436973,2.6025593,0.28071278,2.8153949,1.6514574,2.617494,0.27742198,2.8353496,1.7085106,2.6095595,0.28485948,2.8367035,1.6782545,4.0476418,8.490692,30.399261,-10.214708,-0.20488118,1.3885988,3.4842858,-3.0011146,-0.24022192,0.28019232,0.6095497,-0.9202497,0.0002687870874069631,-32.49350357055664,28300,57,500.0,0.0,500,500,0.005732489685855698,0.01315160466538639,0.04872870164528222,8.188861934223092e-11,2.8662448429278493,3.696742293001826,9.947604322265436,0.22132354330643172,-0.05416176,0.64624405,0.9994663,-0.9999318,5,2.8662448429278493,25000,50,500.0,0.0,500,500,0.001688255327934615,0.0056416934096028505,0.03805202429299524,3.833531023486911e-11,0.8441276639673074,1.1021925591906996,3.043169928567551,0.1714750537733552,0.8441276639673074,1.1021925591906996,3.043169928567551,0.1714750537733552,-0.070017904,0.40826863,0.99707514,-0.994523,5,0.8441276639673074,0.03592479228973389,67.60659423843026,67.86539305001497,0.02514707390218973,0.025296580977737904,31.07288036402315,166.63123609963804,1729.391774898395,9
