replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.940325,21.922337,-4.7378607,0.0024586516,0.0014450706,0.0067564202,-0.0018855673,0.0043916535,0.0014786321,0.008007538,0.0008671023,4.651883,0.5684184,6.01561,3.3113828,-4.735654,0.5728029,-3.1316147,-5.890224,0.0008486672,0.0012719416,0.0030790882,-0.0022340727,0.00028331112,0.0013172643,0.0035143,-0.0029472187,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.007418340974992385,0.01169941604863038,0.08284844499217842,9.284558505474727e-06,3.7091704874961935,1.760532486400415,6.214594114324686,2.0941614551184733,0.0015092484,0.6330359,0.9996607,-0.99918264,5,3.7091704874961935,2500,5,500.0,0.0,500,500,0.0033392467158920966,0.0005734308932946765,0.004210372955397624,0.0024289296211251134,1.669623357946047,0.2858989381664388,2.0470049159174293,1.2661025146846425,1.669623357946047,0.2858989381664388,2.0470049159174293,1.2661025146846425,0.0008002564,0.0012503639,0.002589763,-0.0018162866,5,1.669623357946047,0.03471629973500967,69.25902168639004,70.23947433754802,0.025749932043254375,0.034421294927597046,31.915042156353593,171.5084257069975,271.5062476173043,0
8300,0.013382124,0.012885757,-7.6148515,2.8679824,0.043096785,3.017123,2.7110138,2.8691752,0.038159493,2.9797702,2.7312615,2.8788285,0.114035785,3.386732,2.619754,-4.754705,0.29148138,-4.077569,-5.5073113,0.005455377,0.009884015,0.028742017,-0.011719842,-0.11479353,0.013853917,-0.080958895,-0.15138558,0.3674973249435425,-11.755156517028809,8300,17,500.0,0.0,500,500,0.004195232322245753,0.006700663141955318,0.047615193443208526,1.0175435082280001e-05,2.097616161122877,1.6962010643150556,5.460065547191887,1.0112070294623674,0.010719992,0.59342045,0.99631757,-0.99867,5,2.097616161122877,5000,10,500.0,0.0,500,500,0.0028406245613415656,0.0008036434165908382,0.004468508190723863,0.0013262956907630968,1.4203122806707837,0.3114390178131332,1.8705397965518527,1.0521774995269175,1.4203122806707837,0.3114390178131332,1.8705397965518527,1.0521774995269175,0.0052340543,0.011083174,0.023970181,-0.009341001,5,1.4203122806707837,0.03613377548754215,67.62978542689234,68.8993183132261,0.026130054146051407,0.02617625705897808,32.031595195643604,168.64913902245462,440.1603953158483,1
10800,0.002379757,0.0021649313,-7.447874,2.651506,0.03277555,2.7422626,2.540104,2.6508694,0.02968388,2.7191942,2.5504913,2.6444716,0.046302944,2.8104205,2.5365202,-4.802175,0.33816612,-4.1638803,-6.181875,-0.0037637348,0.00605204,0.008542302,-0.018524786,-0.12561174,0.0063304487,-0.10789939,-0.1388496,0.1351778507232666,-23.606292724609375,10800,22,500.0,0.0,500,500,0.0016270243722828464,0.0021452506166658603,0.015452961594279753,7.39055952239356e-09,0.8135121861414231,0.5314359499310295,1.8100340645338662,0.24577305059274362,-0.0033168923,0.5900412,0.9968457,-0.99956846,5,0.8135121861414231,7500,15,500.0,0.0,500,500,0.0028382210328186017,0.0007702172116850773,0.004531675316351248,0.0012166308516214919,1.4191105164093012,0.30560765783553223,1.6951349274931504,0.8338373221738837,1.4191105164093012,0.30560765783553223,1.6951349274931504,0.8338373221738837,-0.0042720265,0.00544649,0.0048208022,-0.014094456,5,1.4191105164093012,0.03507520258426666,67.52767085842788,68.94102424010634,0.026141955517232418,0.026121334172785282,31.87236946914345,168.42840305995196,608.5937560386956,2
13300,0.00052578235,0.00058079185,-7.314393,2.5813584,0.11953425,2.6738284,1.9066015,2.581408,0.12212625,2.6781836,1.8767343,2.5825043,0.11077424,2.6979883,1.9739393,-4.7363057,0.2826443,-4.0668745,-5.51768,-0.0015580974,0.00751767,0.01523302,-0.017622888,-0.10748838,0.0067256377,-0.08790788,-0.13336737,0.049735840409994125,-35.209266662597656,13300,27,500.0,0.0,500,500,0.0029749161362875314,0.0031416443754569484,0.021739150083643466,9.377911346240984e-07,1.487458068143765,1.1617364225483136,3.661278577435966,0.2537627062620025,-0.008367753,0.5946928,0.99789095,-0.99839205,5,1.487458068143765,10000,20,500.0,0.0,500,500,0.0032027718175607943,0.0008151526492255576,0.005413448130112365,0.0019633717243342135,1.6013859087803977,0.3322475618797367,2.2224707325634157,1.2496371980090855,1.6013859087803977,0.3322475618797367,2.2224707325634157,1.2496371980090855,-0.0020844436,0.007413081,0.010585065,-0.012900363,5,1.6013859087803977,0.0354711702093482,67.84626532066613,69.15521356649697,0.026017767377197742,0.029553011059761047,31.624966806732118,168.71748764254153,777.3162263203412,3
15800,0.00015841408,0.00016767009,-7.286971,2.5547395,0.07109976,2.6224508,1.9330498,2.5522995,0.06990333,2.630016,1.9346246,2.5511034,0.071573526,2.6177197,1.9414403,-4.7369037,0.35292274,-3.8093402,-5.522457,-0.0016683793,0.016904505,0.05752015,-0.13464299,-0.07574519,0.014802602,-0.0026021004,-0.10300579,0.0183049775660038,-46.94270706176758,15800,32,500.0,0.0,500,500,0.0017408836963743858,0.003173475011961857,0.024734069681182438,5.064771320167299e-06,0.8704418481871926,0.6271944080323894,1.6966256660327939,0.17637759289565283,0.0009930289,0.6102798,0.99914914,-0.9980586,5,0.8704418481871926,12500,25,500.0,0.0,500,500,0.003639889513323395,0.001452622582496037,0.007274246834106959,0.001482892290156733,1.819944756661697,0.6361378144636369,2.834132042778193,1.2648435604926853,1.819944756661697,0.6361378144636369,2.834132042778193,1.2648435604926853,-0.0019347171,0.013807839,0.02500009,-0.023090933,5,1.819944756661697,0.035241635516285896,67.88990352675319,68.95842180866748,0.02621402218937874,0.025931965559720993,31.529380982741714,168.46509394142777,945.7862850064412,4
18300,0.0003851058,0.0003399072,-7.1592994,2.5143216,0.105573654,2.607456,1.8925506,2.5128155,0.10745743,2.6057084,1.8848075,2.5163133,0.1113407,2.7284045,1.8977422,-4.647105,0.5548429,-2.7696393,-5.947562,0.010283381,0.10746744,0.39632758,-0.48851922,-0.020134982,0.03590542,0.16631117,-0.07309571,0.006754829548299313,-58.19481658935547,18300,37,500.0,0.0,500,500,0.020053751822736325,0.034461699445758706,0.27628023822802883,2.233677523931653e-07,10.02687591136816,8.138269280493246,24.113350246748844,0.7385890767316523,0.0040592095,0.6211646,0.99897456,-0.99956733,5,10.02687591136816,15000,30,500.0,0.0,500,500,0.005219911452651666,0.0034109595343556143,0.01742976421721624,0.00013316933689491408,2.609955726325834,0.725526112000675,3.864648628149277,1.87441424930416,2.609955726325834,0.725526112000675,3.864648628149277,1.87441424930416,0.011297739,0.086439714,0.19138679,-0.19745652,5,2.609955726325834,0.034747579135000706,69.19384297449142,68.92697637341917,0.026136252097785473,0.02569286897778511,31.37839690502733,169.58579295314848,1115.3770482055843,5
20800,0.00035267748,0.00038928958,-6.529848,2.472821,0.13057986,2.6137416,1.9377741,2.4745555,0.12934588,2.6161547,1.9262296,2.4790254,0.13217984,2.6177678,1.9389344,-4.0553746,1.4513826,2.2483342,-7.5776677,0.00037998386,0.35828447,1.1173239,-1.7341528,0.03426053,0.08054915,0.37125847,-0.2683028,0.002539333887398243,-66.05474090576172,20800,42,500.0,0.0,500,500,0.01593624193101677,0.03207985286487397,0.15702603828103237,2.480826793870171e-07,7.968120965508392,11.13051520758116,29.662853069580002,0.0982507945423244,0.01268865,0.6468345,0.99979156,-0.9995285,5,7.968120965508392,17500,35,500.0,0.0,500,500,0.0015196600587026041,0.00209138883419977,0.01147783674725364,2.4705516477041556e-07,0.7598300293513017,0.6542951238650594,1.9242077909172202,0.2011490106805516,0.7598300293513017,0.6542951238650594,1.9242077909172202,0.2011490106805516,-0.0038281106,0.20993698,0.8315741,-0.8162849,5,0.7598300293513017,0.035645756870508194,70.83167121466249,69.30664578918368,0.026217985898256302,0.029737211763858795,31.20484116859734,171.43475912697613,1286.8167458642274,6
23300,0.00028032594,0.00036440283,-2.4402442,2.4569845,0.13483958,2.6135597,1.9237223,2.460425,0.1333058,2.6360319,1.9542785,2.4479818,0.14029773,2.6353958,1.8686447,0.028219968,3.4182785,12.12432,-8.345166,0.109051384,1.0321265,3.0994256,-2.4298863,-0.04389375,0.22810206,0.62331444,-0.8394488,0.0010625404538586736,-47.73124694824219,23300,47,500.0,0.0,500,500,0.007498543793492695,0.01976249640515472,0.13258070467193178,4.015059889499955e-13,3.749271896746348,2.950784079973827,9.342019526732784,1.0197020000178068,0.046182685,0.7590921,1.0,-0.99999505,5,3.749271896746348,20000,40,500.0,0.0,500,500,0.00566831479760974,0.022570537357842466,0.19536172594126766,3.7683930050510144e-12,2.8341573988048703,0.5986847124615189,3.7402694865271866,1.868746724437953,2.8341573988048703,0.5986847124615189,3.7402694865271866,1.868746724437953,0.05820401,0.6391377,0.9994884,-0.99226964,5,2.8341573988048703,0.034779882058501244,67.8215842815116,69.99149565491825,0.0262531703338027,0.026951750740408897,31.708044909872115,169.60910964943469,1456.4310323866084,7
25800,0.00069033285,0.0006450316,0.30300528,2.439675,0.13734616,2.6328552,1.9349867,2.4375458,0.13741148,2.6267517,1.9334441,2.4328918,0.13913704,2.7488258,1.941412,2.750066,4.785431,16.636417,-8.645811,-0.031035172,1.3490119,2.5134945,-2.6263452,-0.20310794,0.26347944,0.48193032,-0.91376674,0.0005668536177836359,-31.767887115478516,25800,52,500.0,0.0,500,500,0.03525163277238594,0.07795146857712922,0.41992228632732354,3.32573474932158e-14,17.62581638619298,25.894917323237518,67.71684280083257,0.602337374345826,-0.1035844,0.72587067,0.999837,-0.9999977,5,17.62581638619298,22500,45,500.0,0.0,500,500,0.048714595740044185,0.09045464476472856,0.2947760191170995,4.120161002497803e-14,24.357297870022094,43.891312509309984,112.03094253227641,0.6366731364776727,24.357297870022094,43.891312509309984,112.03094253227641,0.6366731364776727,-0.07740841,0.5309635,0.9999453,-0.98826534,5,24.357297870022094,0.035169679671525955,73.12188971973956,72.43005748093128,0.02607257105410099,0.030463527888059616,30.832531882449985,176.4761848617345,1632.9122001975775,8
28300,0.00084268587,0.0006645666,4.260536,2.4067202,0.17339227,2.83134,1.895605,2.4029403,0.17796226,2.8574123,1.8864489,2.3939624,0.18172976,2.9761655,1.8805792,6.674657,4.9753294,22.875154,-4.619341,-0.28033778,1.6079985,3.170636,-2.9246585,-0.3519662,0.24319631,0.5740983,-0.93460846,0.00043651487794704735,-2.51700496673584,28300,57,500.0,0.0,500,500,0.019634840883904582,0.05443440011924482,0.3100414331995572,1.9737298215558337e-16,9.817420441952297,7.463261440281372,20.881734197938293,1.6422382909105708,0.09532,0.71328604,0.99998814,-0.9999357,5,9.817420441952297,25000,50,500.0,0.0,500,500,0.05391435756927946,0.12416041883747896,1.0,1.9737298215558337e-16,26.957178784639733,14.550961974613909,42.99226428993727,3.766559938138971,26.957178784639733,14.550961974613909,42.99226428993727,3.766559938138971,-0.031783592,0.6473253,0.9999153,-0.9995728,5,26.957178784639733,0.03508726228028536,70.57400172017515,69.68238493707031,0.025975463911890984,0.02560922596603632,30.91287351027131,171.25593211967498,1804.1730837123469,9
