replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.97721,22.006805,-4.69077,0.0009514758,0.0011204125,0.0033890062,-0.0023418483,-0.002213938,0.0013057562,0.00070234085,-0.005973225,4.653165,0.5781217,6.0981827,2.893346,-4.692956,0.60192823,-2.9623535,-5.8537345,6.974191e-05,0.0012276557,0.0046966593,-0.0028019361,-0.00036503733,0.00079109176,0.0021837815,-0.002781102,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0010853854682715668,0.002066976569706965,0.020330843354806474,0.00027948748157597954,0.542692734135783,0.48585143527325286,1.47127911111243,0.13982454581890552,0.003873133,0.6303518,0.9996422,-0.9993317,5,0.542692734135783,2500,5,500.0,0.0,500,500,0.001804267240739509,0.0008411651446563516,0.005769272468093812,0.000356444686072932,0.9021336203697548,0.41777894809342303,1.3674356081757024,0.19861165041474324,0.9021336203697548,0.41777894809342303,1.3674356081757024,0.19861165041474324,6.335584e-05,0.0011262165,0.0027115329,-0.0014605096,5,0.9021336203697548,0.03457125183194876,92.03216723632067,92.84329418744892,0.025490920059382915,0.03374793939292431,29.749850667081773,214.71912220213562,345.02990336250514,0
8300,0.011909372,0.013569432,-7.6459827,2.8511565,0.07142847,3.2856684,2.591474,2.844141,0.08146809,3.339711,2.6044717,2.8521848,0.1022805,3.1954298,2.6149862,-4.8118105,0.36829937,-4.0264206,-6.8031907,-0.0010079542,0.011975865,0.040159002,-0.012413879,-0.12874916,0.009839908,-0.10160647,-0.16503735,0.36744385957717896,-11.813989639282227,8300,17,500.0,0.0,500,500,0.0031518428834830118,0.006580707205157988,0.04026916535435652,0.0003285264595496162,1.5759214417415035,1.5481930118700888,4.19958568361878,0.3210943496289175,0.0015409396,0.5900835,0.99872845,-0.99863654,5,1.5759214417415035,5000,10,500.0,0.0,500,500,0.00280717143591237,0.002541585050425198,0.008871588287939281,0.000398506935370202,1.4035857179561841,1.225415227709569,3.324366682430244,0.27238938846311306,1.4035857179561841,1.225415227709569,3.324366682430244,0.27238938846311306,-0.001388569,0.011124751,0.026656762,-0.009113572,5,1.4035857179561841,0.035535660572350025,90.34535654634237,91.35376160871238,0.025430002249777317,0.026318276301026344,30.06652934383601,211.8529314380139,556.8877062844113,1
10800,0.0017032,0.0017666542,-7.421492,2.6195986,0.041512232,2.7163928,2.4584258,2.621441,0.03814384,2.7138073,2.4778,2.6210258,0.05245012,2.824462,2.4692369,-4.8070774,0.25990942,-4.2275333,-5.9270964,-0.0016165467,0.014044844,0.016761761,-0.031428616,-0.11905012,0.009529637,-0.086734414,-0.14448957,0.13516463339328766,-23.617231369018555,10800,22,500.0,0.0,500,500,0.000963737607058469,0.001377324720746622,0.010909072297844692,0.00036756757152387457,0.4818688035292344,0.18782324830289615,0.7239424958720894,0.23213462692724787,-0.0029370363,0.5927104,0.9964614,-0.9983165,5,0.4818688035292344,7500,15,500.0,0.0,500,500,0.0015536082804230888,0.0011432270639449807,0.012619860134467543,0.00032044434542688455,0.7768041402115443,0.35913474834880627,1.2298347853479799,0.3047011969315195,0.7768041402115443,0.35913474834880627,1.2298347853479799,0.3047011969315195,-0.00204695,0.014170824,0.013498012,-0.030551806,5,0.7768041402115443,0.035125263035297394,90.87362127099186,91.2805823693052,0.02538782451301813,0.025767848826944828,30.139127530157566,212.37961210682988,769.2721412507817,2
13300,0.00030350403,0.00029954803,-7.3263173,2.5600903,0.035360303,2.633127,2.4556987,2.5568385,0.036027476,2.6252248,2.4501715,2.5641994,0.035402022,2.635688,2.4724069,-4.771448,0.33738405,-3.963407,-5.79121,-0.0025916721,0.014679005,0.025889488,-0.06305782,-0.105852365,0.00779467,-0.08805944,-0.13096999,0.049729425460100174,-35.31620788574219,13300,27,500.0,0.0,500,500,0.002675513671725739,0.005489185831186678,0.03689647177226776,0.00033266095214807824,1.3377568358628689,1.7351450013991623,4.766047034467994,0.1687077668512149,-0.0019452223,0.5932479,0.99927413,-0.99849945,5,1.3377568358628689,10000,20,500.0,0.0,500,500,0.0015049054166014757,0.0009830138926873555,0.006152481568028401,0.0002981210794319899,0.7524527083007382,0.4832399895549472,1.285164372619603,0.14937362546150953,0.7524527083007382,0.4832399895549472,1.285164372619603,0.14937362546150953,-0.003573359,0.012803205,0.015618548,-0.042536862,5,0.7524527083007382,0.03531428147107363,90.65131812170148,91.68984777014703,0.025120258331298828,0.025489870458841324,29.967399046756327,212.39448934886605,981.6714235441759,3
15800,0.0001635511,0.00014367487,-7.3414383,2.5366206,0.033949982,2.6001465,2.4024582,2.5364218,0.03282769,2.603593,2.415911,2.532695,0.034985017,2.608057,2.418532,-4.8085384,0.37824392,-3.7642086,-6.2476134,-0.01150025,0.04025818,0.08002993,-0.1467251,-0.075890474,0.012362975,-0.045695692,-0.09974091,0.018308401107788086,-47.227020263671875,15800,32,500.0,0.0,500,500,0.0027872759832286817,0.004973235116559768,0.04738364810106702,0.0002784420187498026,1.3936379916143398,1.1418564990245963,3.4062715375341472,0.2076952060971122,-0.011326864,0.60771126,0.9986622,-0.998596,5,1.3936379916143398,12500,25,500.0,0.0,500,500,0.0011590033950831231,0.0004925663010071614,0.0031950903181897083,0.00047529583299111834,0.5795016975415613,0.2194673956338714,0.9698537358903971,0.3575214183200752,0.5795016975415613,0.2194673956338714,0.9698537358903971,0.3575214183200752,-0.011922486,0.0279733,0.046549693,-0.127364,5,0.5795016975415613,0.03538561053574085,97.82298758812249,91.9474186906591,0.024697355926036835,0.02539713867008686,29.86977202165872,219.72565840557218,1201.4019135395065,4
18300,8.844e-05,0.00013385019,-7.207784,2.5088687,0.038329743,2.5772126,2.3943613,2.5123281,0.038228687,2.578091,2.406164,2.507078,0.0386101,2.5840333,2.4082043,-4.699441,0.59710294,-2.9938865,-6.116872,0.013500999,0.114394404,0.461687,-0.2483766,-0.018732643,0.025891544,0.056987282,-0.06710939,0.006759514566510916,-58.44819641113281,18300,37,500.0,0.0,500,500,0.004254158775853716,0.007835073559059297,0.06472943688155007,6.279239360256205e-05,2.1270793879268566,1.1651826630025828,3.5739823722407498,0.23422690764968354,0.0016038404,0.6250933,0.9990572,-0.99939775,5,2.1270793879268566,15000,30,500.0,0.0,500,500,0.0038925608761013622,0.0031285448382106502,0.013298105680212335,0.00038809524865066606,1.946280438050681,1.0325454785435506,3.5343011533634976,0.6457257860376052,1.946280438050681,1.0325454785435506,3.5343011533634976,0.6457257860376052,0.00021308703,0.04870071,0.16597572,-0.24916495,5,1.946280438050681,0.0349886454641819,93.37005927693099,93.12216701824218,0.02532968483865261,0.025797884911298752,30.046604215167463,216.62494672555476,1418.031628725119,5
20800,7.7067394e-05,6.3440944e-05,-6.632283,2.4930131,0.041531313,2.5647125,2.3730838,2.490059,0.041614953,2.569141,2.359734,2.4918156,0.04207248,2.588103,2.3587077,-4.139798,1.2225825,0.60864735,-7.062546,0.0084788175,0.36372036,1.7580092,-1.373865,0.03762592,0.05522812,0.26411816,-0.098779425,0.0025365238543599844,-66.57139587402344,20800,42,500.0,0.0,500,500,0.00044213909149138487,0.0004137229552447572,0.006105765064165914,0.0003262646600544982,0.22106954574569251,0.029508440739607778,0.2645832872997615,0.18109753435609188,-0.016888382,0.64506567,0.9996069,-0.99961776,5,0.22106954574569251,17500,35,500.0,0.0,500,500,0.0005136362552672369,0.00048093018334649073,0.006703175715749854,0.00029933028874442593,0.2568181276336184,0.05951629847780543,0.3383273802968207,0.19157211762131848,0.2568181276336184,0.05951629847780543,0.3383273802968207,0.19157211762131848,-0.022340784,0.1428133,0.6069257,-0.74721944,5,0.2568181276336184,0.035291410982608795,98.25795697048306,93.37366221100092,0.025190345011651516,0.025484012439846992,29.838968385010958,221.55655333492905,1639.5929748993367,6
23300,5.1220053e-05,6.201742e-05,-3.8981013,2.4685063,0.03895238,2.533906,2.328634,2.469881,0.03952975,2.5348952,2.3290806,2.4672775,0.038260963,2.5387933,2.3288748,-1.4244471,3.4909925,14.011038,-8.479942,-0.001018422,0.90412354,2.3331506,-2.0779488,-0.020179661,0.17547545,0.45141932,-0.68797374,0.0010494375601410866,-57.781124114990234,23300,47,500.0,0.0,500,500,0.0009584342749378804,0.002191870400225522,0.023203267847100653,0.0002987607961767446,0.47921713746893957,0.3812982713663136,1.2101513142065627,0.17767665148525577,0.0127472645,0.70260143,0.9999303,-0.9997921,5,0.47921713746893957,20000,40,500.0,0.0,500,500,0.0026675163432044505,0.005774538453952687,0.03575539251426501,0.00011962077399696455,1.3337581716022247,1.5557940036378741,4.281177858075594,0.2011906109519572,1.3337581716022247,1.5557940036378741,4.281177858075594,0.2011906109519572,0.0059038713,0.52697474,0.9973976,-0.97898155,5,1.3337581716022247,0.03506309911608696,95.70970364287496,92.68001776188612,0.024937458336353302,0.03077123314142227,29.517402147874236,217.99789534322917,1857.5956631051376,7
25800,0.00018344066,9.796639e-05,-0.66098094,2.449726,0.035320263,2.529165,2.3463187,2.456638,0.034358386,2.5296535,2.3499236,2.4568303,0.03658983,2.5437534,2.3604896,1.7983187,4.695921,18.041649,-9.885609,-0.09568931,1.2495444,2.8375359,-3.4082108,-0.12206219,0.2673663,0.6567128,-0.951537,0.0005445308634079993,-39.09086990356445,25800,52,500.0,0.0,500,500,0.006308690771810694,0.008927152061479059,0.0456614665852783,3.0112425038875117e-05,3.154345385905345,1.5914582424062589,4.903329673937929,1.0947862808261128,-0.08144057,0.7027096,0.9999978,-0.99994254,5,3.154345385905345,22500,45,500.0,0.0,500,500,0.003706265657977302,0.0069029359846586496,0.054052402481936546,1.9643651672174297e-06,1.85313282898865,1.4902926915573287,4.180356002193443,0.5791412242056522,1.85313282898865,1.4902926915573287,4.180356002193443,0.5791412242056522,-0.08946681,0.40831363,0.9906693,-0.99548745,5,1.85313282898865,0.03503413312137127,93.26487096771598,93.43249784503132,0.024882121942937374,0.02537599392235279,29.43507064692676,216.21773170866072,2073.8181971181184,8
28300,0.00024073095,7.200737e-05,2.5732791,2.4385848,0.04538244,2.549318,2.342316,2.4340444,0.046712894,2.5366552,2.3204803,2.4328203,0.04685148,2.5328736,2.3029234,5.0156345,5.386989,18.33442,-7.34366,-0.27138177,1.5024024,2.9153247,-3.579481,-0.21849152,0.29515266,0.78643924,-0.9089801,0.00036991178058087826,-15.680242538452148,28300,57,500.0,0.0,500,500,0.006696157398218648,0.008912002284240259,0.07153006093987745,1.1335826907821199e-06,3.348078699109324,1.6640685890560452,5.2268640791699505,0.8580684851379334,-0.15866396,0.7188499,0.9998988,-0.99994266,5,3.348078699109324,25000,50,500.0,0.0,500,500,0.012362366179381449,0.00828249639309907,0.06349225639204747,0.00038014076864274483,6.181183089690722,1.6940275181981583,7.997537829527528,2.98362213632402,6.181183089690722,1.6940275181981583,7.997537829527528,2.98362213632402,-0.21582867,0.5381512,0.9940996,-0.9968482,5,6.181183089690722,0.03482332546263933,100.2739486079663,95.44149856455624,0.02488922979682684,0.025426621548831463,29.637971179559827,225.43855752889067,2299.261524245143,9
