replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.579197,21.502375,-4.702902,-0.0041334345,0.0011013206,-7.573562e-05,-0.0065601175,0.0042076204,0.0014191552,0.008769184,0.00083889556,4.6108336,0.53034675,5.640326,3.1783807,-4.7070284,0.6543701,-3.2169123,-7.8415384,-0.00046966225,0.0014872693,0.0037731258,-0.002866876,-0.0003893076,0.0017759274,0.004560857,-0.0038414488,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0022852645980821025,0.006773274381071343,0.06411172140181265,0.0003039628979145003,1.1426322990410513,1.552147741705463,4.216365947098636,0.15198429179698203,-0.0011581117,0.62743753,0.9994796,-0.99924064,5,1.1426322990410513,2500,5,500.0,0.0,500,500,0.00037765439995165464,2.857241699163259e-05,0.0006367271560737576,0.0003390606967038855,0.18882719997582734,0.013880891629925547,0.21029645204785793,0.16955654479567311,0.18882719997582734,0.013880891629925547,0.21029645204785793,0.16955654479567311,-0.0005488924,0.0014602515,0.0028966682,-0.0017422676,5,0.18882719997582734,0.037244537845253944,95.6927505005151,99.75485872477293,0.026340809650719166,0.03439196012914181,31.56265126634389,227.10823779925704,372.2495218971744,0
8300,0.011074245,0.010403284,-7.6308928,2.8257322,0.077557415,3.0018926,2.534979,2.8267775,0.07255036,2.9824576,2.5372243,2.822093,0.091816425,3.1958048,2.625781,-4.81151,0.34277928,-4.227563,-6.9175415,-0.0042236643,0.0072143804,0.008144073,-0.024580365,-0.1265416,0.010625556,-0.105512574,-0.1797815,0.36741799116134644,-11.8145170211792,8300,17,500.0,0.0,500,500,0.0037294785568385337,0.009546821510067605,0.3524636340388825,0.00035299156379733345,1.8647392784192665,2.371331669790381,6.399835205511443,0.2198908522128574,-0.0008632406,0.5889734,0.9976865,-0.99670124,5,1.8647392784192665,5000,10,500.0,0.0,500,500,0.00033467868160272086,4.2803166445904724e-05,0.00039347227367088057,0.0002756530257719269,0.16733934080136045,0.021401583166807722,0.19672418773895523,0.13782756817524738,0.16733934080136045,0.021401583166807722,0.19672418773895523,0.13782756817524738,-0.004096849,0.0071918443,0.0039561354,-0.016713079,5,0.16733934080136045,0.03571897093206644,94.14451386407018,97.34089967887849,0.02692638896405697,0.030964048579335213,31.738725387491286,223.3177483389154,595.5723799420521,1
10800,0.0015371825,0.0013836048,-7.3587923,2.6087399,0.03553917,2.6965744,2.4912407,2.6042604,0.037279356,2.6861799,2.4845264,2.6068807,0.047110725,2.7156947,2.4492412,-4.7583027,0.41248968,-4.0592837,-8.147335,-0.006579691,0.0125875445,0.012233065,-0.03930247,-0.12824824,0.0076891403,-0.109183416,-0.1485472,0.13515320420265198,-23.52067756652832,10800,22,500.0,0.0,500,500,0.0007924439989941709,0.0010865473660913731,0.00928273533134354,0.00027545858615254373,0.3962219994970857,0.34914870334488785,1.08320960495313,0.1377318145316802,-0.0055893906,0.5892439,0.9973781,-0.99735844,5,0.3962219994970857,7500,15,500.0,0.0,500,500,0.00035180534095359507,4.362358158542522e-05,0.0008496501246191279,0.00030177740269292646,0.17590267047679758,0.021175482051082543,0.21123858260787645,0.1508979328561813,0.17590267047679758,0.021175482051082543,0.21123858260787645,0.1508979328561813,-0.007943612,0.0138016725,0.009142057,-0.03741144,5,0.17590267047679758,0.03607806842774153,95.29862496070564,98.65894076600671,0.027363925240933895,0.030733163468539715,31.59861554019153,225.6503564240411,821.2279879376292,2
13300,0.00037393768,0.00037436443,-7.364511,2.557631,0.04093503,2.6290379,2.4265282,2.55949,0.041805554,2.6335597,2.4110818,2.5591555,0.040656447,2.6457486,2.4400687,-4.8116684,0.30984947,-4.001017,-5.8975215,-0.0019596925,0.010767446,0.022481335,-0.039271947,-0.10893539,0.005935903,-0.08919644,-0.12909277,0.04972429201006889,-35.4380989074707,13300,27,500.0,0.0,500,500,0.0014740694357334282,0.0024839752467689644,0.021895754822557425,0.00036087304899259367,0.7370347178667139,0.48426250818121147,1.3922745274050932,0.19238278666595524,0.0014402393,0.5957743,0.9991799,-0.99831414,5,0.7370347178667139,10000,20,500.0,0.0,500,500,0.00037270942448238185,5.093324631019787e-05,0.0007737329106524027,0.00028389376884212496,0.18635471224119088,0.02513293311506875,0.21278913457095158,0.1419480392861968,0.18635471224119088,0.02513293311506875,0.21278913457095158,0.1419480392861968,-0.00019778483,0.01114316,0.016054245,-0.028667279,5,0.18635471224119088,0.035330815240740776,97.79549074731767,98.14554223231971,0.02724169846624136,0.03166130371391773,31.59669473581016,227.63196153286844,1048.8651602920145,3
15800,0.0001998156,0.00021040963,-7.309236,2.5335345,0.041413415,2.6814137,2.4033413,2.5329437,0.040531028,2.6704478,2.403233,2.53513,0.039910898,2.6065626,2.392214,-4.778798,0.37094823,-4.1192183,-6.2199173,-0.0061848247,0.026612446,0.08817921,-0.08087246,-0.080967985,0.013246976,-0.045628354,-0.10833479,0.01830020360648632,-47.11336135864258,15800,32,500.0,0.0,500,500,0.0007709456457251718,0.0014461291495717343,0.019101460787922322,0.00027742527316332305,0.3854728228625857,0.32364115674352545,1.01052539416671,0.13876669982425768,-0.004227582,0.60398054,0.9989287,-0.99686646,5,0.3854728228625857,12500,25,500.0,0.0,500,500,0.0014856329174842875,0.002325319003008298,0.013671396791352021,0.0003229525362463014,0.7428164587421433,0.5979100733739898,1.727933461844859,0.16150952249043216,0.7428164587421433,0.5979100733739898,1.727933461844859,0.16150952249043216,-0.00013049314,0.01875896,0.07289764,-0.07007341,5,0.7428164587421433,0.03556356858462095,97.26200987119228,98.82647825405002,0.026540474966168404,0.030669167637825012,31.6215538661927,227.8028152026236,1276.6731313802302,4
18300,7.626854e-05,6.3278756e-05,-7.203956,2.516128,0.035842005,2.591562,2.3806958,2.513897,0.03646257,2.5890715,2.3753216,2.5132258,0.036001526,2.5887234,2.3753722,-4.692118,0.58499765,-2.8301048,-6.0035906,-0.02006509,0.082707554,0.25729883,-0.19200951,-0.027727041,0.023866612,0.050416972,-0.078948006,0.0067471968941390514,-58.43292236328125,18300,37,500.0,0.0,500,500,0.001604651810843776,0.003190199440759068,0.027834899999120123,0.00029868458226567357,0.8023259054218878,0.6399888966609215,1.8023289117093588,0.16179425347789567,-0.0010923384,0.6237942,0.99968356,-0.99825054,5,0.8023259054218878,15000,30,500.0,0.0,500,500,0.004633404047006711,0.0051517674946630196,0.02635923148895446,0.00030021201715348935,2.316702023503354,1.5705072170006265,4.922238488316326,0.6072651126338502,2.316702023503354,1.5705072170006265,4.922238488316326,0.6072651126338502,0.005477936,0.07464233,0.22852483,-0.19887744,5,2.316702023503354,0.03546776808798313,97.35846039745957,97.48606292065233,0.026574782095849514,0.03046336304396391,31.555295993573964,226.49232522491366,1503.170592488721,5
20800,0.000102880724,9.774698e-05,-6.6568785,2.4858923,0.045225147,2.5603633,2.2965374,2.4852662,0.046092648,2.5645173,2.2936687,2.482787,0.047571708,2.5552852,2.2563767,-4.1721754,1.3661009,1.1701828,-6.8903766,-0.079320595,0.30211055,1.097235,-1.0881151,0.05653752,0.05595834,0.33916914,-0.053045243,0.0025123278610408306,-66.87187194824219,20800,42,500.0,0.0,500,500,0.004012512004873084,0.011022504395891145,0.3524742176834911,0.0001344291263476682,2.0062560024365426,1.4143750144330043,4.437750616496873,0.46277578721767293,-0.05363421,0.6499661,0.9996477,-0.99960136,5,2.0062560024365426,17500,35,500.0,0.0,500,500,0.01404027597852234,0.014724916321540509,0.05965265455730954,1.3977647161711456e-05,7.020137989261167,4.078925547186524,13.899668851167226,2.402827529817482,7.020137989261167,4.078925547186524,13.899668851167226,2.402827529817482,-0.06118741,0.19429362,0.6409525,-0.9053264,5,7.020137989261167,0.03586906474083662,102.29666332900524,99.87217766139656,0.026666657999157906,0.0319060031324625,31.491979978978634,233.7552626952529,1736.9309606095776,6
23300,0.0001220295,0.000104835926,-3.607942,2.4553564,0.061262697,2.5815532,2.1711404,2.453147,0.059806854,2.5574596,2.1728413,2.4512541,0.06186118,2.5472255,2.168058,-1.1504353,3.1746695,8.490365,-10.732483,0.22186902,0.8709082,2.4829617,-2.5715654,0.025269564,0.16249628,0.46131802,-0.83818936,0.0010072228033095598,-56.236106872558594,23300,47,500.0,0.0,500,500,0.0017800003917625166,0.004068033495298155,0.032368558720433614,0.000248680095345799,0.8900001958812579,0.4252937344853812,1.5869406348159791,0.24416240195118097,0.05699988,0.68466634,0.9997984,-0.99989605,5,0.8900001958812579,20000,40,500.0,0.0,500,500,0.007550408511889131,0.011226261566795572,0.031985543612430854,0.00035310261329870576,3.7752042559445655,5.4798386242223085,14.596385970435113,0.18753289670232295,3.7752042559445655,5.4798386242223085,14.596385970435113,0.18753289670232295,-0.08555281,0.2826163,0.8458843,-0.8586351,5,3.7752042559445655,0.03601816203445196,101.12236137874424,99.85151393525302,0.02648533508181572,0.03133524954319,31.38064694404602,232.44836100470275,1969.3844842473045,7
25800,0.00015783569,0.000115621515,0.96013254,2.4330072,0.07631796,2.5482633,2.0546784,2.4295194,0.0779465,2.5427186,2.0425198,2.4263687,0.079293504,2.5259888,2.0196455,3.397102,4.745055,14.967226,-11.17865,0.11493267,1.3884219,3.3495662,-3.2012687,-0.16933608,0.26247022,0.6918174,-0.96444744,0.0005068794707767665,-27.334327697753906,25800,52,500.0,0.0,500,500,0.0012593328487936826,0.0033885363038390712,0.024134365448312867,0.00028851174713535595,0.6296664243968406,0.4136894628316608,1.2263511556786892,0.1713928880366109,0.19761392,0.7493993,0.9999999,-0.9999967,5,0.6296664243968406,22500,45,500.0,0.0,500,500,0.01165406288485837,0.011706410758823935,0.03697630477345828,0.00030780292557972536,5.8270314424291865,5.743217943447406,15.141955901833533,0.3582758555771145,5.8270314424291865,5.743217943447406,15.141955901833533,0.3582758555771145,-0.07565785,0.5939009,0.9998658,-0.9986568,5,5.8270314424291865,0.035310680978000164,105.13477047905326,96.71652436349541,0.027110271155834198,0.03174089826643467,31.172180498950183,233.11763719189912,2202.5072508491576,8
28300,9.0895555e-05,0.00010680446,2.7523382,2.3959718,0.11912202,2.5204706,1.765744,2.3951201,0.119593434,2.5183256,1.7472904,2.3946438,0.12088378,2.5367308,1.7509652,5.1542597,6.182834,35.561485,-5.5840263,-0.027727496,1.5974782,5.9064426,-5.0017004,-0.20586714,0.26734504,0.582337,-1.0213884,0.00033205212093889713,-14.78410530090332,28300,57,500.0,0.0,500,500,0.004695060466548053,0.010367659507350134,0.3525959871786198,0.00027752337083959406,2.347530233274025,1.0519645555263715,4.349987353684018,1.5881311910522018,0.056528166,0.7576114,0.99998903,-0.9999928,5,2.347530233274025,25000,50,500.0,0.0,500,500,0.004727690471900138,0.007340955351667267,0.026334842125243643,0.00026721014930057845,2.363845235950069,3.3654149741224604,9.079703759517237,0.4057576277806816,2.363845235950069,3.3654149741224604,9.079703759517237,0.4057576277806816,0.04556266,0.7039636,1.0,-0.99999946,5,2.363845235950069,0.03597155958414078,101.9754168074578,103.58630598057061,0.02707378752529621,0.026429126039147377,31.741235427558422,237.39243268873543,2439.9049574779347,9
