replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.972569,22.002808,-4.6904616,0.0012169303,0.0011033221,0.0037977092,-0.0017832429,-0.002021892,0.0013449675,0.001506609,-0.006911135,4.653015,0.5772779,6.104269,2.906982,-4.69248,0.6016064,-2.9741297,-5.8558836,1.8784835e-05,0.0012753688,0.0038249744,-0.002872164,-0.00041553433,0.00082088145,0.0020502764,-0.0029212735,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.00016109955394436333,0.0002857918133431622,0.0020814169013140594,4.61665753070939e-08,0.08054977697218173,0.05173549149976265,0.13840235671050197,0.010370190237999085,0.0038787636,0.63034326,0.99964625,-0.99933004,5,0.08054977697218173,2500,5,500.0,0.0,500,500,0.0005674189040509891,0.0005333527172172477,0.0016139419268475287,0.00013038217415918264,0.2837094520254946,0.2666260422235094,0.8054754865763303,0.06895180876769459,0.2837094520254946,0.2666260422235094,0.8054754865763303,0.06895180876769459,5.2991305e-05,0.0011219069,0.0027643167,-0.0015739467,5,0.2837094520254946,0.03734039422124624,89.21687300689518,89.68271544296294,0.026093742810189724,0.035952843725681305,31.681346274912357,210.6803217055276,339.4789615571499,0
8300,0.013158389,0.013033956,-7.6470194,2.8472788,0.05322649,2.9570632,2.65827,2.8545523,0.050092258,2.9749408,2.6678472,2.8505254,0.10160538,3.1548586,2.6352513,-4.806265,0.36343867,-3.9926062,-6.740208,-0.0024028656,0.013119265,0.03575664,-0.029400004,-0.12820004,0.009891878,-0.10017802,-0.16222796,0.3674439489841461,-11.808442115783691,8300,17,500.0,0.0,500,500,0.0018429475071140154,0.004225702669552382,0.037816446808466665,8.136091692700909e-07,0.921473753557007,0.9818811252332863,2.6533763465092495,0.041730731039166816,0.0008501327,0.59002465,0.9986942,-0.9985666,5,0.921473753557007,5000,10,500.0,0.0,500,500,0.005328679235064195,0.008021625417533151,0.0362744930720743,0.00013929374160059904,2.6643396175320975,2.9641976013504556,8.540067984931662,0.7755870410954032,2.6643396175320975,2.9641976013504556,8.540067984931662,0.7755870410954032,-0.0031027454,0.012600292,0.027683897,-0.018809916,5,2.6643396175320975,0.03673693537712097,88.10386551823467,89.2748147752136,0.02572202868759632,0.02653597481548786,31.954208084382117,209.4218833167106,548.9062396595255,1
10800,0.0019065624,0.0019637288,-7.4249897,2.6269789,0.028798487,2.6910906,2.5274665,2.628118,0.029865345,2.6975522,2.5219843,2.6317735,0.050229426,2.834934,2.498812,-4.8066673,0.2648241,-4.2179294,-5.9853935,0.0001703462,0.012660786,0.017790698,-0.027179714,-0.119093604,0.00828062,-0.09910096,-0.14361782,0.135165274143219,-23.616355895996094,10800,22,500.0,0.0,500,500,0.0006520356299061688,0.0012795231940266796,0.011087523594007788,1.7850828352150574e-07,0.3260178149530845,0.21565538243941212,0.5383139691052904,0.014192556550752177,-0.0019059405,0.59266526,0.99665755,-0.9981636,5,0.3260178149530845,7500,15,500.0,0.0,500,500,0.0007531222050962749,0.0007092995293044914,0.003260877042538424,0.00019696151301007436,0.3765611025481375,0.3233346707631184,1.0219100211247776,0.1969298432513699,0.3765611025481375,0.3233346707631184,1.0219100211247776,0.1969298432513699,-0.00015608456,0.013150025,0.01602944,-0.026302587,5,0.3765611025481375,0.03679284080862999,97.55348481424153,89.36166566051543,0.025761282071471214,0.025849992409348488,31.941269397735596,218.944823987782,767.8562069488689,2
13300,0.0002926204,0.00033025636,-7.3307433,2.565289,0.03036343,2.6208959,2.4637246,2.5637107,0.03144757,2.6272614,2.4662502,2.5697494,0.033372816,2.655879,2.4424171,-4.7707586,0.34055394,-3.9300823,-5.8740835,-0.002206573,0.01702705,0.027353168,-0.04042943,-0.10484403,0.007874232,-0.087180376,-0.124613866,0.04973078891634941,-35.31381607055664,13300,27,500.0,0.0,500,500,0.0006456741406874249,0.0013790152287440195,0.010097801293691555,5.29416317240905e-07,0.32283707034371223,0.3461891892692271,0.8674417529345311,0.02124357162270573,-0.0017084298,0.5937978,0.99930024,-0.99850786,5,0.32283707034371223,10000,20,500.0,0.0,500,500,0.0046623591615108295,0.0036652189800065902,0.011608876749108578,0.0004912882219415438,2.3311795807554145,1.8082276027137878,5.333734424743472,0.6461436774495446,2.3311795807554145,1.8082276027137878,5.333734424743472,0.6461436774495446,-0.0019155208,0.01820722,0.025260642,-0.038180083,5,2.3311795807554145,0.037284149788320065,89.25717176962644,90.87177562620491,0.02534952573478222,0.025748576037585735,31.902203565463424,212.11953321285546,979.9808120736852,3
15800,0.00053857476,0.0006365389,-7.3409543,2.5382345,0.034085523,2.6207047,2.4199321,2.5363061,0.035608508,2.6131968,2.389447,2.5394888,0.0368299,2.7150767,2.4149415,-4.8070006,0.39882773,-3.7194967,-6.579445,-0.012220113,0.045792185,0.12662521,-0.17079894,-0.07206411,0.013068607,-0.040164005,-0.09832687,0.01831117644906044,-47.21908187866211,15800,32,500.0,0.0,500,500,0.0003389970635858715,0.0009823844389629844,0.011384418258067098,1.3515431442900903e-07,0.16949853179293578,0.15337402254817337,0.4392694496441519,0.004937521544029133,-0.009883683,0.60903376,0.9988422,-0.998663,5,0.16949853179293578,12500,25,500.0,0.0,500,500,0.0017311968707947197,0.0017507285731238437,0.007219150035620969,0.00022149827275805834,0.8655984353973603,0.7616452848951291,2.2590576087393455,0.25703440032003577,0.8655984353973603,0.7616452848951291,2.2590576087393455,0.25703440032003577,-0.016497193,0.03158124,0.06316735,-0.1293873,5,0.8655984353973603,0.037054985761642456,95.75845439359546,90.15752832219005,0.02506762370467186,0.025824750773608685,31.76523668691516,217.76916676294059,1197.7550275074318,4
18300,7.16844e-05,9.073902e-05,-7.199888,2.5170052,0.033350524,2.601204,2.4161143,2.5188227,0.033872314,2.6092927,2.402323,2.5154624,0.034711916,2.6050346,2.3966906,-4.6833797,0.68368536,-1.9307358,-6.068161,-0.010570586,0.14211428,0.52989435,-0.3788302,-0.01579621,0.026932867,0.057924982,-0.07488187,0.006767425686120987,-58.354312896728516,18300,37,500.0,0.0,500,500,0.001479461492150714,0.00394893539610926,0.026142364868190084,1.264717293225637e-07,0.7397307460753567,1.0756806200582576,2.8223496253304066,0.006673271240812016,-0.005024905,0.6275329,0.999374,-0.99928415,5,0.7397307460753567,15000,30,500.0,0.0,500,500,0.0002402031693201439,0.0007726048403285799,0.0061174592644149045,3.6760688192361003e-07,0.12010158466007177,0.11223659987380882,0.2872591673551943,0.004622405592342503,0.12010158466007177,0.11223659987380882,0.2872591673551943,0.004622405592342503,-0.010694054,0.08992559,0.4287668,-0.3566714,5,0.12010158466007177,0.03653416037559509,96.44540780223906,92.65850038081408,0.03165777679532766,0.029728541150689125,31.784265160560608,220.98609382193536,1418.746168045327,5
20800,0.00016806442,0.00023800724,-6.184941,2.4691947,0.07362541,2.5815911,2.1213212,2.4708838,0.07300902,2.5783496,2.1687117,2.471681,0.076822475,2.5869272,2.1211147,-3.7135286,1.3243055,-0.6438778,-7.175577,-0.047036674,0.38281152,1.4858351,-1.4355358,0.059138875,0.057961445,0.3468529,-0.19273561,0.002547390293329954,-63.97825622558594,20800,42,500.0,0.0,500,500,6.333934359178843e-05,0.00041254321823977523,0.006514605426745102,2.626118444926106e-08,0.03166967179589425,0.03101310415517279,0.0901922465899578,0.007448129091079687,0.011255154,0.6772825,0.9998924,-0.9997855,5,0.03166967179589425,17500,35,500.0,0.0,500,500,0.0002477573871675668,0.0012561220595008853,0.011482720923024714,5.772056983488482e-08,0.12387869358378342,0.17138385553495017,0.45263668525757306,0.003218958953235219,0.12387869358378342,0.17138385553495017,0.45263668525757306,0.003218958953235219,-0.024235513,0.27467373,0.8736942,-0.91469544,5,0.12387869358378342,0.03570945002138615,96.18809567485005,90.74625322129577,0.02558272425085306,0.025514318607747555,31.526803721673787,218.5479591106996,1637.2990910597146,6
23300,0.00025320367,0.0003915343,-3.0345724,2.4507942,0.0811987,2.5981925,1.8881937,2.4538455,0.08328939,2.6598263,1.8882561,2.4524994,0.08305423,2.604791,1.8930564,-0.57897013,3.6257799,13.342855,-10.460031,-0.15552016,0.9549749,2.6396897,-2.797616,-0.0016858318,0.19490896,0.58235574,-0.9185768,0.0010617563966661692,-51.89360809326172,23300,47,500.0,0.0,500,500,0.0001291545698824898,0.000645019634137021,0.00905181658286205,7.515057536933155e-07,0.06457728494124489,0.03788214477641839,0.12313451658588213,0.006357223502157401,-0.06947179,0.70801705,0.9999397,-0.9999885,5,0.06457728494124489,20000,40,500.0,0.0,500,500,3.096141288729735e-05,0.00016997107160515658,0.0023496736495308146,1.1776390231865717e-07,0.015480706443648674,0.015626536455499534,0.04396917702551805,0.0012253082412126972,0.015480706443648674,0.015626536455499534,0.04396917702551805,0.0012253082412126972,-0.09145982,0.4796517,0.9897978,-0.99772346,5,0.015480706443648674,0.03672313783317804,91.6612439006567,86.9590417239815,0.02496505808085203,0.0253293439745903,31.347612631507218,210.05491579603404,1847.3589175743982,7
25800,8.888437e-05,0.000117307005,1.3141873,2.4329543,0.06908677,2.5283368,2.1678588,2.4363573,0.068856426,2.5255017,2.1711178,2.4313745,0.07024512,2.5307615,2.1623213,3.755939,5.4463243,21.166668,-7.8461385,-0.1219706,1.4168096,2.9954977,-2.995155,-0.15249479,0.2771203,0.5005192,-1.0571254,0.0005636066780425608,-24.267921447753906,25800,52,500.0,0.0,500,500,8.631141062572512e-05,0.0003701601384637115,0.0065780947526998925,1.6044600943843077e-06,0.04315570531286257,0.023198692023358686,0.06479321871904017,0.007818870574271046,-0.048795022,0.71044576,0.99999785,-0.99987304,5,0.04315570531286257,22500,45,500.0,0.0,500,500,0.0008087529028727737,0.0014031429767739517,0.01740729118613149,3.4439649110318266e-08,0.40437645143638673,0.40064460247700306,1.0585718805282405,0.002016098652077614,0.40437645143638673,0.40064460247700306,1.0585718805282405,0.002016098652077614,-0.09456958,0.4951915,0.9999776,-0.9984247,5,0.40437645143638673,0.03670471254736185,99.62599299289286,92.39354132767767,0.024906224571168423,0.02920541539788246,31.12155440170318,223.23190507479012,2070.5956725832075,8
28300,4.968568e-05,0.00014509045,2.115588,2.4006066,0.07443803,2.5021832,1.975192,2.4093332,0.07529802,2.5110006,1.9628078,2.4002357,0.0753331,2.5028462,1.9656551,4.524766,5.8760796,29.590733,-7.5311027,-0.25627792,1.5299712,3.3660996,-3.66775,-0.19703558,0.27325577,0.53313565,-1.0964959,0.0003603183722589165,-19.624284744262695,28300,57,500.0,0.0,500,500,2.114638581180352e-05,9.767048107740643e-05,0.0016328325784266463,6.148564257735244e-08,0.010573192905901755,0.004717243841745052,0.017964587516786985,0.0043257943917280675,-0.18907575,0.6869814,0.99964297,-0.9999763,5,0.010573192905901755,25000,50,500.0,0.0,500,500,2.376481666495875e-05,0.00012962594840046224,0.0021166948166139623,1.824903342662054e-07,0.01188240833247937,0.007692696298606471,0.02474065159560516,0.004006127367568493,0.01188240833247937,0.007692696298606471,0.02474065159560516,0.004006127367568493,-0.024825467,0.60529184,0.99948967,-0.9948212,5,0.01188240833247937,0.03643201291561127,91.3508716840297,89.28607308771461,0.025538007728755474,0.02542388252913952,31.274717929773033,211.99905660469085,2282.599613904953,9
