replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.571747,21.4935,-4.702769,-0.003939211,0.0012393699,0.00011992501,-0.0076554134,0.0045455145,0.0014501711,0.01042467,0.0013215598,4.610295,0.52975595,5.6424174,3.1708014,-4.7067604,0.6549108,-3.201408,-7.845974,-0.00045425093,0.0014966234,0.004421529,-0.002934405,-0.00035705167,0.0017576073,0.004866966,-0.0039576334,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0013379036404451484,0.003977389432372589,0.04547627287004588,3.2837844088362544e-07,0.6689518202225739,1.0454890558875711,2.7344174276027395,0.0031958985864246137,-0.0011436939,0.6274351,0.9994763,-0.999243,5,0.6689518202225739,2500,5,500.0,0.0,500,500,0.0003913325980093682,0.0006326962787333399,0.001645003458928096,4.486038078288512e-06,0.19566629900468424,0.31634301829661426,0.8181855628143292,0.0023137739956983643,0.19566629900468424,0.31634301829661426,0.8181855628143292,0.0023137739956983643,-0.00044578314,0.0014767268,0.003075473,-0.0017472786,5,0.19566629900468424,0.0358907263725996,91.84349575825036,95.61123435758054,0.02792395930737257,0.03556240536272526,31.80908271856606,219.36318992543966,353.386596259661,0
8300,0.010097267,0.009999745,-7.6377773,2.8342614,0.053968064,2.9481385,2.5887504,2.831431,0.057687357,2.9398365,2.555689,2.822378,0.09373315,3.1796963,2.6102893,-4.812799,0.34477258,-4.2024636,-6.891082,-0.0015842308,0.010912866,0.019452358,-0.028093588,-0.12540814,0.008842111,-0.09350906,-0.15071681,0.3674200773239136,-11.815739631652832,8300,17,500.0,0.0,500,500,0.000534702731176291,0.0011558321963060887,0.010031184324286381,4.035084135045607e-07,0.26735136558814554,0.22611063973415832,0.5680102197478273,0.05041333313167199,0.00089474267,0.58899146,0.9977685,-0.9967859,5,0.26735136558814554,5000,10,500.0,0.0,500,500,7.481646282339099e-05,0.00011172806431059477,0.0005890776042048574,1.2927019051645062e-06,0.037408231411695504,0.04504955035073758,0.12210611693124232,0.0019652133138085555,0.037408231411695504,0.04504955035073758,0.12210611693124232,0.0019652133138085555,-0.0009319908,0.01126701,0.0139320195,-0.0248789,5,0.037408231411695504,0.03709490690380335,91.39855038747191,93.53644412569702,0.028450705111026764,0.026799567975103855,32.126780522055924,217.1541202152148,570.5460568154231,1
10800,0.0015972606,0.0017779269,-7.3603644,2.604766,0.03915021,2.6878736,2.4036655,2.6041517,0.043325614,2.7144256,2.3398952,2.6007643,0.0528258,2.7435763,2.3742101,-4.7612743,0.4077572,-4.069713,-8.060464,-0.004758882,0.0137296,0.020083241,-0.02659161,-0.12794365,0.006910815,-0.10756273,-0.16618307,0.13515377044677734,-23.52657127380371,10800,22,500.0,0.0,500,500,0.0005513472563781146,0.00150944978634383,0.011678770745533041,8.28731435831287e-07,0.2756736281890573,0.42836427628940044,1.12787278515241,0.0202347298687513,-0.004441582,0.5890962,0.99742436,-0.99735147,5,0.2756736281890573,7500,15,500.0,0.0,500,500,0.00033431424890165476,0.000253917349223024,0.0007507275417971582,5.7819635547518015e-06,0.1671571244508273,0.12645069075722754,0.3459556903712817,0.004066382711001204,0.1671571244508273,0.12645069075722754,0.3459556903712817,0.004066382711001204,-0.0043722196,0.014310795,0.018344158,-0.023717526,5,0.1671571244508273,0.03677499480545521,91.33244150318205,93.19179233908653,0.028226805850863457,0.02625021804124117,31.991793162189424,216.60727902315557,787.1585686719045,2
13300,0.00040839618,0.00036473174,-7.366442,2.5590239,0.03196634,2.6216893,2.407019,2.5594025,0.03168012,2.6294215,2.404765,2.5591164,0.029174924,2.6171823,2.4612825,-4.813962,0.32078764,-3.977553,-5.9067907,-0.0006004013,0.013594182,0.04748771,-0.041079603,-0.10665942,0.006162488,-0.086872146,-0.12275605,0.04972504824399948,-35.444793701171875,13300,27,500.0,0.0,500,500,0.0005924387030131838,0.001404905268907325,0.011236418927442616,4.993149520515771e-08,0.2962193515065913,0.45619051315180403,1.1965061365778118,0.003609041421695125,0.002212635,0.5965754,0.9991376,-0.99847317,5,0.2962193515065913,10000,20,500.0,0.0,500,500,0.0004286777152827962,0.0005300889032617357,0.001670977103546112,2.6317432594291645e-06,0.21433885764139812,0.2518401120923206,0.6077920437633955,0.0015980947387656548,0.21433885764139812,0.2518401120923206,0.6077920437633955,0.0015980947387656548,0.0012748223,0.01804965,0.04471055,-0.039235543,5,0.21433885764139812,0.03718079533427954,92.66713517066091,94.4213525140658,0.028356781229376793,0.026055926457047462,31.827058421447873,219.0071396091953,1006.1706411410123,3
15800,0.00011630494,0.000121802084,-7.2978153,2.5227945,0.03729892,2.5804727,2.3860605,2.5228133,0.03522729,2.5841632,2.3929565,2.524135,0.034659036,2.5929153,2.3852391,-4.777527,0.38623765,-4.1394043,-6.211054,0.0010224109,0.02945139,0.19075932,-0.06772045,-0.07685331,0.012623878,-0.023824997,-0.10286646,0.018302559852600098,-47.10676193237305,15800,32,500.0,0.0,500,500,0.0007553683966182581,0.0018326779119583374,0.013753472348664654,3.105442461848185e-07,0.3776841983091286,0.42707534824629084,1.0850646781337028,0.0016457160014831781,-0.0008728424,0.60556984,0.9991303,-0.99683225,5,0.3776841983091286,12500,25,500.0,0.0,500,500,0.0003704200863976884,0.0003520192619086068,0.0011546976192781334,3.7539985012213783e-06,0.1852100431988443,0.14755173364759494,0.3581623470584418,0.005845951028596605,0.1852100431988443,0.14755173364759494,0.3581623470584418,0.005845951028596605,0.0050240075,0.031788062,0.1485336,-0.061171185,5,0.1852100431988443,0.03680355101823807,93.06145960837603,94.15009254030883,0.027948222123086452,0.026082010939717293,31.49120989162475,218.79359582439065,1224.9691887190565,4
18300,5.9579444e-05,6.074061e-05,-7.1408,2.4889235,0.04407448,2.5730217,2.3272352,2.4903007,0.046115205,2.5695758,2.3059142,2.488092,0.04534915,2.5665567,2.312903,-4.6529665,0.5799052,-3.2093549,-6.0951385,-0.007620825,0.08910587,0.47437236,-0.2666929,-0.023957785,0.02161346,0.04086511,-0.074654475,0.0067520407028496265,-58.228912353515625,18300,37,500.0,0.0,500,500,0.0015173259245891424,0.0036317722764766113,0.03333709157350811,7.57053702171717e-08,0.7586629622945708,0.8928008377055239,2.043890585268492,0.0023560825805306828,0.0013499719,0.6230682,0.9997183,-0.99809366,5,0.7586629622945708,15000,30,500.0,0.0,500,500,0.001636337563105914,0.003399995474700442,0.01826946088995305,1.5374339443763319e-06,0.8181687815529571,1.1758518730231544,3.117203272679901,0.0071211570765021175,0.8181687815529571,1.1758518730231544,3.117203272679901,0.0071211570765021175,-0.011335599,0.06605794,0.29844314,-0.27894,5,0.8181687815529571,0.03618492465466261,97.66457155067474,93.56608384754509,0.027390715666115284,0.0264330692589283,31.356419316492975,222.6770834242925,1447.6512092100456,5
20800,6.2045045e-05,7.200442e-05,-6.633489,2.4672878,0.035777494,2.5465758,2.3619611,2.4673996,0.0354101,2.538949,2.3631408,2.4677267,0.037662674,2.601718,2.36172,-4.165571,1.4086052,0.78455573,-6.6256733,-0.00032167003,0.3199803,1.6110348,-1.6063253,0.054774243,0.04425094,0.23656158,-0.052269895,0.002522105351090431,-66.7890396118164,20800,42,500.0,0.0,500,500,0.004603731572958227,0.014738411544694102,0.3510485199095466,8.291407394001027e-08,2.301865786479113,3.6573876431512664,9.450231452644672,0.0017354758032845454,-0.013791905,0.6526569,0.9997882,-0.9998999,5,2.301865786479113,17500,35,500.0,0.0,500,500,8.353197536241808e-05,0.0001606236906139655,0.0012651933732281129,8.841439709250662e-08,0.041765987681208996,0.07162145131445552,0.1847312985510317,0.0021463374752549993,0.041765987681208996,0.07162145131445552,0.1847312985510317,0.0021463374752549993,-0.027891366,0.20312732,0.7059506,-0.75954205,5,0.041765987681208996,0.036693692207336426,99.7996453596279,95.19209961034358,0.027591819874942303,0.02680731937289238,31.243968922644854,226.3268067240715,1673.9829366998747,6
23300,0.00030077342,0.0002537825,-4.0768847,2.4228458,0.08393739,2.5898662,2.0139265,2.4245653,0.07784274,2.59108,2.0579588,2.4265277,0.08077481,2.600359,2.0329654,-1.650163,3.1712484,7.972793,-6.9072037,0.03669801,0.8151741,2.2947934,-2.3718643,0.026639411,0.15849099,0.38916364,-0.79205495,0.0010129567235708237,-59.63487243652344,23300,47,500.0,0.0,500,500,0.001134273226040772,0.004579229539923264,0.04977417836983087,3.1985815929225216e-08,0.567136613020385,0.3109705303447985,1.0532651653071747,0.15249726589131724,-0.019781359,0.7061011,0.9999992,-0.9999999,5,0.567136613020385,20000,40,500.0,0.0,500,500,0.0013351989164894866,0.005463290597395008,0.06265812984094399,1.156476929775607e-08,0.667599458244743,0.6671012443580142,1.5806237818462063,0.0061749785914729394,0.667599458244743,0.6671012443580142,1.5806237818462063,0.0061749785914729394,-0.0075331647,0.46106192,0.99996525,-0.9998247,5,0.667599458244743,0.035178287886083126,98.77915657591075,92.95462858770043,0.02818509191274643,0.025992880575358868,31.05863479245454,222.8817762164399,1896.8696258300915,7
25800,0.00019868335,0.00017442547,-1.4090514,2.4194748,0.07173097,2.5707855,2.017359,2.4186988,0.070848055,2.5693738,2.0520327,2.4111152,0.07127237,2.5435505,2.0591335,1.0149521,4.8336544,16.474525,-8.17072,0.10721095,1.1884055,3.604985,-2.9061632,-0.028739372,0.24772033,0.66572064,-0.83618927,0.0004979349905624986,-45.512847900390625,25800,52,500.0,0.0,500,500,0.002194109860976384,0.020239511922846613,0.3537713869733615,8.116781449185593e-08,1.097054930488192,1.4983748792673224,4.03650051223081,0.013257961539298344,0.06412528,0.6952372,0.99978983,-0.99998087,5,1.097054930488192,22500,45,500.0,0.0,500,500,0.0026833370597153694,0.004773416053555311,0.059742904611043646,7.738447422411808e-07,1.3416685298576843,1.0197142284747993,2.6459530591197775,0.06297396787314867,1.3416685298576843,1.0197142284747993,2.6459530591197775,0.06297396787314867,0.008870267,0.5798409,0.9999921,-0.99966276,5,1.3416685298576843,0.035936485044658184,95.60287762992084,96.77394539583474,0.027362683787941933,0.02675056178122759,31.007962157018483,223.4748349133879,2120.349391017109,8
28300,0.00027277853,0.00023515952,2.635463,2.3945196,0.078670435,2.5115879,1.8674572,2.3948433,0.078367084,2.5208268,1.8807572,2.3938227,0.07683034,2.510891,1.876206,5.0355554,5.9913173,28.049274,-6.391167,0.2365813,1.5705149,5.2417555,-3.9042263,-0.12085872,0.29294685,0.6866186,-1.1910179,0.00032786480733193457,-15.760152816772461,28300,57,500.0,0.0,500,500,0.0003577440282051547,0.0018132456864653436,0.019005723495370875,2.383150936591249e-08,0.1788720141025773,0.1272887684708409,0.3267702005480492,0.0016909737506251013,0.04096032,0.7693545,1.0,-0.99999934,5,0.1788720141025773,25000,50,500.0,0.0,500,500,9.608951655293832e-05,0.0005811210993028966,0.0063100430708113,2.8412653274578753e-08,0.04804475827646917,0.041583722491395525,0.09745714233360989,0.0017825094849632248,0.04804475827646917,0.041583722491395525,0.09745714233360989,0.0017825094849632248,0.043040425,0.7285796,1.0,-0.99999374,5,0.04804475827646917,0.03575356863439083,90.2769227558747,91.10672391206026,0.02773014921694994,0.026737441308796406,30.76688490714878,212.24075273424387,2332.595030273311,9
