replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.585052,21.503355,-4.7020345,-0.004801683,0.0011269377,-0.0018316192,-0.0071904697,0.004041925,0.0012807471,0.008163955,0.0013700523,4.61082,0.5300756,5.6375256,3.1759753,-4.706951,0.65485966,-3.2103064,-7.849521,-0.00049072533,0.0014368932,0.0034986145,-0.00268125,-0.00030008794,0.0015963359,0.0040893597,-0.0032954372,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.001905295950318294,0.002649444777391278,0.018231324800094383,3.633946787457986e-05,0.9526479751591467,0.6546509613075943,1.647803156201971,0.032558783570832785,-0.0011853242,0.62746733,0.9994758,-0.99924654,5,0.9526479751591467,2500,5,500.0,0.0,500,500,0.0008681380258287266,0.0003933503546828647,0.0013446377090504114,0.0003444713952810985,0.43406901291436323,0.19643806646288467,0.6514960793121525,0.1798839969731568,0.43406901291436323,0.19643806646288467,0.6514960793121525,0.1798839969731568,-0.0005411204,0.0013552147,0.0025772108,-0.0020773774,5,0.43406901291436323,0.03524596709758043,81.80952353868634,85.58995192032307,0.024217694997787476,0.03550249524414539,29.38599223922938,196.8804338555783,322.662604752928,0
8300,0.009770027,0.010756396,-7.639725,2.842954,0.074050955,2.9944465,2.56343,2.8347218,0.08220763,2.9518342,2.498446,2.833778,0.09523268,3.2194908,2.570609,-4.809719,0.34659362,-4.1862864,-6.8882084,-0.0021638852,0.009773645,0.019536214,-0.028771458,-0.12549318,0.011862146,-0.08706206,-0.18155482,0.3674182593822479,-11.81271743774414,8300,17,500.0,0.0,500,500,0.007403059275231746,0.012251708656947122,0.0670507697067808,6.327716551837168e-05,3.7015296376158737,4.379663473297796,12.337503924526018,0.3798255094638175,0.0004420977,0.5890958,0.9975797,-0.99701923,5,3.7015296376158737,5000,10,500.0,0.0,500,500,0.0009909933243190166,0.0012204250759875715,0.004955964217539466,2.142956663301332e-05,0.495496662159508,0.5585185406105362,1.5382972480295285,0.019311657540063018,0.495496662159508,0.5585185406105362,1.5382972480295285,0.019311657540063018,-0.0024897726,0.009690511,0.0117446,-0.023156581,5,0.495496662159508,0.03348070755600929,81.01621843036264,85.51590205449611,0.024129189550876617,0.025216540321707726,29.741067735478282,196.35601465776563,519.0235438356176,1
10800,0.0015963847,0.001452777,-7.373296,2.6153047,0.034452982,2.6894736,2.5024126,2.6172538,0.03668894,2.6928966,2.5245104,2.6154332,0.04952049,2.7517996,2.4990525,-4.7600584,0.40842867,-4.045942,-8.068719,-0.005588323,0.011168545,0.015940744,-0.030515391,-0.1270065,0.0072011906,-0.10762663,-0.15025216,0.13515415787696838,-23.524105072021484,10800,22,500.0,0.0,500,500,0.0006705562952656055,0.0010738187498278119,0.011017002742710315,6.29193912387027e-06,0.3352781476328028,0.287835085065217,0.766802195555024,0.007152647878650884,-0.0050296546,0.5897739,0.9973195,-0.9974072,5,0.3352781476328028,7500,15,500.0,0.0,500,500,0.003717817634380039,0.004384262698576131,0.012926207450673965,0.00020689260057262795,1.8589088171900197,2.156284289129167,5.991115333341156,0.2594537492903462,1.8589088171900197,2.156284289129167,5.991115333341156,0.2594537492903462,-0.0062892125,0.011545035,0.01075261,-0.025252083,5,1.8589088171900197,0.03299614042043686,81.35058607906103,82.29662012774497,0.02416727039963007,0.03120839037001133,29.934051577933133,193.66962958592921,712.6978824529797,2
13300,0.00045074715,0.0005013281,-7.37,2.5677388,0.047075495,2.6503007,2.3915484,2.5669913,0.0457752,2.6524844,2.4058294,2.5636675,0.04731825,2.6522698,2.4033458,-4.808443,0.31720737,-3.9822912,-5.888166,0.0004986321,0.014474768,0.06593556,-0.029353369,-0.103933215,0.0053999666,-0.08671769,-0.11803458,0.049726542085409164,-35.42788314819336,13300,27,500.0,0.0,500,500,0.002193946896721227,0.003240526035791636,0.024971817554068666,1.7025296994610525e-05,1.0969734483606133,1.1994005574364701,3.406820310792607,0.03338949813026615,0.0030315707,0.5976176,0.9991827,-0.9983491,5,1.0969734483606133,10000,20,500.0,0.0,500,500,0.003617311642976544,0.0019272732979071939,0.007048990765464092,0.00045658297188958533,1.8086558214882715,0.8947411947987348,3.111079094714596,0.4225317106786757,1.8086558214882715,0.8947411947987348,3.111079094714596,0.4225317106786757,0.0014355242,0.012706343,0.0425942,-0.025186483,5,1.8086558214882715,0.03338221274316311,82.79060811642557,83.11670070886612,0.02421276643872261,0.025084256194531918,29.89001772273332,195.88000578340143,908.582661117427,3
15800,0.000155948,0.000119071585,-7.315754,2.535685,0.04517412,2.6168437,2.2548406,2.5343432,0.045338593,2.6162038,2.2650533,2.5340075,0.04454346,2.6252434,2.2708688,-4.7830515,0.4321698,-3.9415789,-6.318807,-0.00050951506,0.041435447,0.17011607,-0.13716292,-0.06798727,0.014545621,-0.022429096,-0.097959206,0.018306776881217957,-47.12615203857422,15800,32,500.0,0.0,500,500,0.0008555204128126285,0.001240064048877729,0.0092316102785026,1.0549584577956847e-05,0.4277602064063144,0.41417713065689465,1.2471781475974595,0.15843689072114098,-0.00051280716,0.60874635,0.999187,-0.9970216,5,0.4277602064063144,12500,25,500.0,0.0,500,500,0.0015931512816542875,0.0017986469873991307,0.009410156228156476,3.7884957392153584e-05,0.7965756408271438,0.6494774635200398,2.003172385330762,0.13944043384463709,0.7965756408271438,0.6494774635200398,2.003172385330762,0.13944043384463709,-0.0057510664,0.024120599,0.1081696,-0.07018244,5,0.7965756408271438,0.03370390087366104,81.48781704064459,82.6753380568698,0.02400957979261875,0.02980497106909752,29.818664133548737,194.0693376827985,1102.6566666122526,4
18300,8.216247e-05,0.00012818717,-7.1093674,2.5070274,0.052288037,2.6216385,2.3363411,2.5102608,0.051281422,2.6280801,2.3353703,2.506629,0.05294942,2.6378796,2.3441846,-4.6032815,0.6674482,-3.1069264,-6.0298934,-0.009986647,0.118011564,0.38447493,-0.30882198,-0.0061724344,0.0305811,0.09835801,-0.060654093,0.006763118784874678,-57.961639404296875,18300,37,500.0,0.0,500,500,0.0020123924356636523,0.004127015660890304,0.04355829692177798,5.491171855975806e-06,1.0061962178318242,1.1002923370705397,2.8090232810023843,0.07188312809663969,0.0018681863,0.6291425,0.99981976,-0.99883765,5,1.0061962178318242,15000,30,500.0,0.0,500,500,0.0073267186081765944,0.009678871707214109,0.057920220258477186,0.00010868835294832736,3.6633593040882957,2.726381339583231,8.154485707225321,0.5993351376878762,3.6633593040882957,2.726381339583231,8.154485707225321,0.5993351376878762,-0.0138703585,0.09330649,0.427314,-0.30371502,5,3.6633593040882957,0.033222935162484646,85.21157897263765,83.05312425922602,0.024052027612924576,0.025162399746477604,29.742709952406585,198.08985054679215,1300.7512553147972,5
20800,8.582216e-05,8.846095e-05,-6.573411,2.4864135,0.04362976,2.602207,2.321413,2.490341,0.043822326,2.6069224,2.3339512,2.488009,0.043520715,2.5868845,2.3466663,-4.0847473,1.5234715,0.35936147,-6.7899656,-0.019403785,0.37587637,1.4987347,-1.118204,0.06899308,0.060617466,0.32294062,-0.08946443,0.002544988878071308,-66.20552825927734,20800,42,500.0,0.0,500,500,0.005160921005975,0.009376277074966043,0.08324341482641648,2.5629085421063904e-05,2.580460502987499,1.1311068970953595,4.014906203859823,1.1675482264841157,-0.022355547,0.6566782,0.9997562,-0.99970573,5,2.580460502987499,17500,35,500.0,0.0,500,500,0.00436270456949317,0.007525772629576488,0.03808614663421636,5.4271591696797294e-06,2.1813522847465863,2.684143347311127,7.458948444084907,0.12716528871575242,2.1813522847465863,2.684143347311127,7.458948444084907,0.12716528871575242,-0.04966974,0.17530034,0.9791482,-0.7434646,5,2.1813522847465863,0.03407698031514883,87.54565370548517,87.18724171817303,0.023887278512120247,0.02537631057202816,29.81127751711756,204.62751351017505,1505.3834350528196,6
23300,0.0002160378,0.00015218012,-3.4309237,2.467456,0.07090308,2.6395283,2.144823,2.4613078,0.07158247,2.6301925,2.1466448,2.4654212,0.07101552,2.6100442,2.1349401,-0.9621409,3.705182,16.872595,-8.259189,0.066311456,0.95392317,4.1595187,-2.5640147,0.0014254333,0.18924744,0.5267887,-0.77838135,0.0010849602986127138,-54.34532928466797,23300,47,500.0,0.0,500,500,0.001483085701291893,0.004167048436864761,0.04190670892248213,1.172347255429251e-06,0.741542850645946,0.3594234172636014,1.1200643535454256,0.10927856923828634,-0.060688343,0.72853243,0.9999861,-0.99999636,5,0.741542850645946,20000,40,500.0,0.0,500,500,0.0023256936349593713,0.0044365980039220935,0.047826434983624114,4.688156671739384e-06,1.1628468174796855,1.2773694443313814,3.6632817176203396,0.18842440161358143,1.1628468174796855,1.2773694443313814,3.6632817176203396,0.18842440161358143,-0.100963384,0.5415838,0.99998593,-0.9994041,5,1.1628468174796855,0.034939853474497795,84.32815890852362,83.71071322541684,0.02378856111317873,0.02505654376000166,29.7323276437819,197.85498473607004,1703.2432179404423,7
25800,0.00032162023,0.00024750788,0.69243383,2.4456604,0.06968541,2.6082413,1.9631447,2.4469266,0.07031491,2.606794,1.9738028,2.4534335,0.06558448,2.6243382,2.0957153,3.1467052,4.647004,14.573283,-5.763329,-0.19257352,1.3544868,3.0391703,-3.103534,-0.15813981,0.27151403,0.529783,-1.0549253,0.0005929517792537808,-28.629440307617188,25800,52,500.0,0.0,500,500,0.00017394668943232096,0.000353073611483743,0.002884761262446978,3.1375897370455867e-06,0.0869733447161605,0.052659921415443484,0.1547987631869547,0.02658266403514144,-0.12046013,0.7073155,0.9998803,-0.99999267,5,0.0869733447161605,22500,45,500.0,0.0,500,500,0.00075717313684657,0.0009919717584153714,0.005087016686885171,2.2260994404210695e-05,0.37858656842328503,0.4202272316586766,1.0694220272995782,0.017778412943118584,0.37858656842328503,0.4202272316586766,1.0694220272995782,0.017778412943118584,-0.08725272,0.40941533,0.99532807,-0.9702054,5,0.37858656842328503,0.03377980086952448,88.25031432230026,84.66215918026865,0.02352220844477415,0.025225498713552952,29.444463142193854,202.4394641527906,1905.6873240610585,8
28300,0.0001689411,0.00016316077,2.6291542,2.441281,0.0700824,2.6511245,1.9263862,2.4286342,0.06890282,2.6299803,1.9211123,2.4347997,0.06693608,2.6529672,1.9604326,5.0676537,5.3175583,22.832424,-5.8942614,-0.33928457,1.4747458,3.5249798,-3.5195239,-0.23348771,0.25987473,0.491608,-1.2371366,0.00037860762677155435,-15.224365234375,28300,57,500.0,0.0,500,500,0.0011192912149163004,0.0035700405995370676,0.06016279127920687,3.613140542002568e-06,0.5596456074581504,0.22668985222578297,0.8996116610537945,0.34350233511145767,-0.12485625,0.71841407,0.9999637,-0.99997777,5,0.5596456074581504,25000,50,500.0,0.0,500,500,0.0011655077491213993,0.005026807698774374,0.05358806041476989,3.2711173157284883e-06,0.5827538745606995,0.19933624073846976,0.8931495327177489,0.3327465020834514,0.5827538745606995,0.19933624073846976,0.8931495327177489,0.3327465020834514,-0.1839823,0.6823657,0.9998385,-0.9977417,5,0.5827538745606995,0.033864278346300125,82.63310818653554,84.25498456601053,0.023649771697819233,0.02548419777303934,29.421558398753405,196.39264939911664,2102.0846015568823,9
