replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.507223,22.594946,-4.5883784,0.0040693525,0.0015471488,0.009691149,0.0007946836,-0.005265861,0.0014210077,-0.0012609613,-0.009171989,4.713,0.5770549,5.8534245,2.8604014,-4.593671,0.593087,-2.6678529,-5.9903092,-7.151918e-05,0.0013398736,0.0028315338,-0.0032947124,7.097483e-05,0.0015157504,0.0029304698,-0.0032064016,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0023370170492775033,0.0054691517978921154,0.04921599266145297,7.372240101610748e-06,1.168508524638751,1.4016942376287755,3.0550750405069995,0.015867876913212016,-0.004349638,0.630314,0.99924153,-0.9991851,5,1.168508524638751,2500,5,500.0,0.0,500,500,0.0003423770478298652,0.0005618858982193019,0.0014604859486104346,8.394132881850422e-06,0.17118852391493264,0.28094119006369944,0.7292062648139852,0.004825547863871238,0.17118852391493264,0.28094119006369944,0.7292062648139852,0.004825547863871238,-7.920786e-06,0.001336452,0.002289369,-0.0026595935,5,0.17118852391493264,0.036220342852175236,92.01366015244275,94.26676825620234,0.026654687710106373,0.0347087737172842,31.9547103876248,218.33272260054946,352.226309469901,0
8300,0.017382478,0.016668763,-7.59408,2.8373094,0.06138653,2.96161,2.5698564,2.8407087,0.04902683,2.9213307,2.6133087,2.8508039,0.122318126,3.64525,2.5468762,-4.764761,0.31603584,-4.1397,-6.5808845,-0.007991246,0.006846253,0.010145232,-0.023500161,-0.13030854,0.008475445,-0.10907705,-0.16457127,0.3674428164958954,-11.766975402832031,8300,17,500.0,0.0,500,500,0.00041386132594958526,0.0009180520341997684,0.011098216271494245,5.2831228297911525e-06,0.20693066297479262,0.2106598556558325,0.5777261938156818,0.005148783627204319,0.0005259104,0.58876324,0.99795127,-0.9987884,5,0.20693066297479262,5000,10,500.0,0.0,500,500,0.0005318260034292835,0.0005646193839600297,0.0015540846895985001,8.680412513306645e-06,0.26591300171464194,0.2822485936677572,0.7756921433176531,0.004662027816147032,0.26591300171464194,0.2822485936677572,0.7756921433176531,0.004662027816147032,-0.008029439,0.0062075057,0.003957672,-0.018864648,5,0.26591300171464194,0.03699162416160107,90.23037323914468,91.13901868183166,0.026902001351118088,0.030020685866475105,32.15750677976757,213.6208130121231,565.8520930455998,1
10800,0.0027798223,0.0026059984,-7.388047,2.6213253,0.052078478,2.768306,2.3164284,2.624232,0.045926712,2.8019555,2.4040382,2.613635,0.05612052,2.7863965,2.442924,-4.772808,0.24938904,-4.3122153,-5.622898,-0.002040295,0.008136653,0.019712964,-0.020020999,-0.12659512,0.0072029345,-0.1038216,-0.15235703,0.13516457378864288,-23.548709869384766,10800,22,500.0,0.0,500,500,0.00204894271839138,0.004331536050934239,0.047515371705461565,8.202631566678331e-06,1.0244713591956898,0.9145880174091847,2.204945089497772,0.04800516778951208,-0.004436417,0.58973736,0.9986179,-0.9995739,5,1.0244713591956898,7500,15,500.0,0.0,500,500,0.0007993624559978524,0.0010769877455992741,0.0037273865178209633,4.559059578312929e-05,0.39968122799892586,0.5235645031564524,1.4364815476674195,0.047572123709312734,0.39968122799892586,0.5235645031564524,1.4364815476674195,0.047572123709312734,-0.0022328289,0.007690457,0.012773466,-0.016343497,5,0.39968122799892586,0.036357782781124115,91.72314266487956,93.32759642601013,0.02661958895623684,0.02568631060421467,32.1988758193329,217.33827859256417,783.195364492014,2
13300,0.000363001,0.00040460654,-7.3162065,2.566832,0.041391578,2.6432803,2.4159734,2.5652986,0.045554705,2.6298778,2.380953,2.5641832,0.044904448,2.6555936,2.385809,-4.752763,0.32373774,-4.041853,-6.668768,-0.0018764817,0.014462161,0.03192872,-0.035021678,-0.11409158,0.005136407,-0.08975599,-0.1286419,0.049731213599443436,-35.259735107421875,13300,27,500.0,0.0,500,500,0.0005708055011268113,0.0012438882999900364,0.011728125902393673,4.830401438082886e-06,0.2854027505634057,0.28660731474975576,0.7140215249900029,0.0034433214817928045,-0.0013088961,0.59160286,0.99954957,-0.9980365,5,0.2854027505634057,10000,20,500.0,0.0,500,500,0.0012327100586589663,0.0015594526745943726,0.006357116320812872,5.1372345679712165e-05,0.6163550293294833,0.7012143461506573,1.9010691882101276,0.059923553254342364,0.6163550293294833,0.7012143461506573,1.9010691882101276,0.059923553254342364,-0.002070045,0.014520321,0.024311632,-0.026984805,5,0.6163550293294833,0.036842781119048595,92.20358320325613,91.9979742076248,0.02646617405116558,0.02535737957805395,32.06880942173302,216.3590331673622,999.5592514239252,3
15800,0.0001764251,0.0001576585,-7.3082976,2.537922,0.040035956,2.641911,2.403638,2.5365925,0.039695043,2.6385775,2.3979738,2.5364954,0.042080157,2.6244814,2.3924928,-4.77347,0.41078925,-3.7084038,-6.943831,-0.0036239587,0.01945228,0.030369544,-0.09544528,-0.08318716,0.011143945,-0.05563099,-0.11368225,0.018302831798791885,-47.09035110473633,15800,32,500.0,0.0,500,500,0.0004896918602483526,0.0007742513851582286,0.005907979480705772,2.0242659810509872e-05,0.24484593012417624,0.27334753717082094,0.7225318034701094,0.011054981789874935,0.0052558235,0.6062762,0.9991937,-0.9983876,5,0.24484593012417624,12500,25,500.0,0.0,500,500,0.0007145979728247772,0.0009200288956275896,0.003786882587795049,1.773882314296538e-05,0.35729898641238844,0.4159835243116807,1.1386652600866618,0.03648663078267623,0.35729898641238844,0.4159835243116807,1.1386652600866618,0.03648663078267623,-0.0013270054,0.016779717,0.017044427,-0.040918443,5,0.35729898641238844,0.036305202171206474,91.51175890956074,91.55241999775171,0.02734433114528656,0.025914812460541725,32.04041284509003,215.19415609817952,1214.758301667869,4
18300,6.745482e-05,7.0117996e-05,-7.1989803,2.5067263,0.038182046,2.5967166,2.3466427,2.50525,0.03775127,2.5929837,2.3517594,2.508435,0.039037783,2.603751,2.3464544,-4.693723,0.63899076,-3.0625825,-6.545105,-0.0014950882,0.08653692,0.35174564,-0.25737575,-0.026425272,0.020389903,0.06479125,-0.06667787,0.0067476569674909115,-58.44013977050781,18300,37,500.0,0.0,500,500,0.0024265099031849182,0.005355139043751131,0.051501210082716034,8.47157477394944e-06,1.2132549515924596,1.3807371469263452,3.8618060986603,0.004935010089533243,-0.007026012,0.61775506,0.99921095,-0.9996518,5,1.2132549515924596,15000,30,500.0,0.0,500,500,0.01587546824666942,0.05148978068955228,0.35227251578600083,7.773748824657643e-05,7.937734123334709,8.95328098665299,25.498236986490884,1.5204367594533406,7.937734123334709,8.95328098665299,25.498236986490884,1.5204367594533406,-0.009567438,0.07929516,0.15500507,-0.21897654,5,7.937734123334709,0.036370481364429,94.41824320051819,91.99247389659286,0.026376977562904358,0.026608994230628014,31.7812159107998,218.2812894610688,1433.0445118825883,5
20800,4.7839676e-05,4.342469e-05,-6.587841,2.4803674,0.05563606,2.6000655,2.18644,2.478088,0.05497625,2.5805259,2.1810665,2.4784994,0.054480135,2.5753145,2.1924005,-4.108301,1.3463687,0.2804793,-6.617634,-0.05367759,0.31701222,1.2767389,-1.3074814,0.045965128,0.047356304,0.21717821,-0.0757487,0.0025203682016581297,-66.45416259765625,20800,42,500.0,0.0,500,500,0.0036677566749909454,0.007482774801295557,0.05440686587308308,1.2365455721152774e-05,1.8338783374954726,1.5201728538523904,4.496643600653742,0.287062048973633,-0.04603297,0.6563161,0.99970335,-0.9994295,5,1.8338783374954726,17500,35,500.0,0.0,500,500,0.0017176124086715873,0.0025978293569700836,0.017143081999950995,1.2695988954480875e-05,0.8588062043357935,0.5400027370279908,1.602026729940951,0.23626225569302134,0.8588062043357935,0.5400027370279908,1.602026729940951,0.23626225569302134,-0.04854201,0.1646778,0.61901224,-0.7775212,5,0.8588062043357935,0.03535660821944475,93.6806487813592,93.89488110877573,0.027181033045053482,0.025793840177357197,31.46877961885184,219.13264099042863,1652.1820513093844,6
23300,9.092892e-05,0.00012214159,-4.2285576,2.430248,0.13441156,2.5419862,1.6027025,2.4363492,0.1320124,2.553234,1.6351738,2.4291272,0.13277094,2.5470736,1.654316,-1.792438,3.2812114,10.067559,-7.6736403,-0.036989234,0.79649067,1.9736584,-2.4331188,0.048143152,0.1497572,0.5533856,-0.5620565,0.0010164128616452217,-60.585533142089844,23300,47,500.0,0.0,500,500,0.0022514218633754935,0.006295345705902828,0.04625022804470233,2.9226005147320314e-06,1.1257109316877465,1.6596827489731314,4.405090104917907,0.019414674961845454,-0.055514634,0.69168323,0.9999078,-0.9999257,5,1.1257109316877465,20000,40,500.0,0.0,500,500,0.0019326067271652051,0.0034906097990543066,0.04484227598211189,5.6838037329587355e-06,0.9663033635826015,0.8572272784886265,2.363245577076444,0.004024886669234584,0.9663033635826015,0.8572272784886265,2.363245577076444,0.004024886669234584,-0.08704797,0.40558058,0.97929156,-0.99113125,5,0.9663033635826015,0.03619910031557083,95.32796358503401,94.88532069139183,0.02654894534498453,0.02989114075899124,31.107815098017454,221.41373856086284,1873.6007199035957,7
25800,8.883737e-05,0.000139916,0.056674644,2.410674,0.15063688,2.5907693,1.5829993,2.4051528,0.14875065,2.5765278,1.5815482,2.4050002,0.15070018,2.568788,1.5841299,2.4709268,4.8953013,16.537357,-6.7098465,-0.00751658,1.2788343,3.7582443,-2.7996435,-0.11163007,0.24174686,0.48547086,-0.8579239,0.000505628006067127,-34.371788024902344,25800,52,500.0,0.0,500,500,0.0009344101497417949,0.003110080011521034,0.04851579753619965,2.5283634138784087e-06,0.4672050748708969,0.5094715003717928,1.2285548779919122,0.0028940017187157044,0.06955858,0.7356468,0.9999999,-0.99999994,5,0.4672050748708969,22500,45,500.0,0.0,500,500,0.00024248899466976494,0.00045621962961643923,0.005409090343601708,1.1949627930185611e-05,0.12124449733488248,0.13776551014726396,0.3862710545284773,0.02031192154469508,0.12124449733488248,0.13776551014726396,0.3862710545284773,0.02031192154469508,0.07174747,0.63439983,0.9998903,-0.9994877,5,0.12124449733488248,0.03535960894078016,90.4520497508347,91.55646944139153,0.027300510555505753,0.026030249893665314,30.99368800036609,213.09089756198227,2086.696533531882,8
28300,0.00017015636,0.00017239088,2.0323107,2.3692577,0.14223553,2.488618,1.5863317,2.3770604,0.1408288,2.4950283,1.5828207,2.3743048,0.14575273,2.500521,1.5878093,4.4070077,6.191771,29.1846,-10.256702,-0.21672757,1.4870942,3.1456637,-5.5104895,-0.1522051,0.28743172,0.72938645,-1.128749,0.0003217828634660691,-20.85088539123535,28300,57,500.0,0.0,500,500,0.0004133850495167113,0.0007210825059003929,0.0064082435316796475,3.828093381352814e-06,0.2066925247583559,0.3071166696565962,0.8187983648083335,0.010358620892067717,-0.04672797,0.76116365,0.9999964,-0.9999992,5,0.2066925247583559,25000,50,500.0,0.0,500,500,0.0007072409061467145,0.0022577603053842163,0.02589255971531872,1.1127794569021353e-05,0.35362045307335677,0.6153713131884319,1.580285428905098,0.012971115542665931,0.35362045307335677,0.6153713131884319,1.580285428905098,0.012971115542665931,-0.042505804,0.6473501,0.99994236,-0.99999803,5,0.35362045307335677,0.03684886824339628,90.75286354869604,91.22489464841783,0.026452778838574886,0.025704273022711277,31.032171044498682,213.09893516171724,2299.8004697673023,9
