replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,28.832954,28.835178,-5.310534,-0.0014019961,0.0011317952,0.0012933686,-0.0036952645,-0.0016237035,0.00059342966,-0.00012539374,-0.0031477492,5.336276,0.58479124,6.6286573,3.4581804,-5.31269,0.6222467,-3.5651577,-6.8894997,-0.00021277755,0.0016969421,0.002694136,-0.0032844173,0.00033170107,0.0012287212,0.002782186,-0.00165973,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.001548284888239657,0.0044652290605984414,0.04796742854333874,2.593779440424049e-06,0.7741424441198286,1.0089379934156362,2.75524053093215,0.06842403933317896,0.00033469877,0.6295945,0.9994761,-0.9995081,5,0.7741424441198286,2500,5,500.0,0.0,500,500,0.0028889923022136998,0.001093289350144096,0.005335513410901882,0.0013961422821469338,1.44449615110685,0.5375356675439846,2.309682111440929,0.7369706023984454,1.44449615110685,0.5375356675439846,2.309682111440929,0.7369706023984454,-0.00017003645,0.0016995011,0.0023504207,-0.003065001,5,1.44449615110685,0.03789528179913759,70.87763173691928,69.9788563111797,0.02796049229800701,0.03493340127170086,33.181741220876575,174.1390184443444,278.0334518775344,0
8300,0.013162421,0.013355152,-8.645225,3.2090814,0.02557341,3.2655797,3.0951974,3.2094936,0.025051046,3.27594,3.1144128,3.1964586,0.11136145,3.51004,2.925144,-5.440323,0.29001364,-4.6547165,-6.4785495,0.005371591,0.006280913,0.01879594,-0.0053542797,-0.13271728,0.008622561,-0.114511155,-0.14686081,0.367401123046875,-13.444363594055176,8300,17,500.0,0.0,500,500,0.0005827080403921602,0.0007191753524909858,0.0045478895308850575,2.0305402777254233e-07,0.29135402019608014,0.19081662045832085,0.6659653461431828,0.12821047519167134,0.0042673056,0.58940667,0.9991358,-0.9962634,5,0.29135402019608014,5000,10,500.0,0.0,500,500,0.0029552389794142426,0.0010706253442675714,0.004669560650676086,0.001366571040673184,1.4776194897071222,0.5054760751358972,2.191301481012017,0.7285126009332543,1.4776194897071222,0.5054760751358972,2.191301481012017,0.7285126009332543,0.005418735,0.0063259574,0.017987644,-0.004697349,5,1.4776194897071222,0.03756414353847504,68.5586736863479,67.00027151312679,0.02810690924525261,0.026623697951436043,33.732719575986266,169.38395952619612,447.4226653696969,1
10800,0.0017574148,0.0017684752,-8.411962,2.927952,0.02266996,2.9812303,2.8728905,2.9293213,0.02108468,2.9785755,2.883217,2.9246354,0.046167746,3.0598938,2.8228488,-5.486759,0.33402336,-4.6490064,-7.098194,0.00024445634,0.008035351,0.016062371,-0.014348722,-0.12553725,0.003761397,-0.11619203,-0.137004,0.1351633220911026,-26.977169036865234,10800,22,500.0,0.0,500,500,0.0006761012179854801,0.0009376490456264151,0.005897691318307641,5.25265486620019e-07,0.3380506089927402,0.1503148453976927,0.5662896454957563,0.1673155012235837,-0.0025791295,0.5894209,0.9992829,-0.9986681,5,0.3380506089927402,7500,15,500.0,0.0,500,500,0.0019008155720437066,0.0009444201436517348,0.004424034486971151,0.0006560249139136443,0.9504077860218538,0.4328189322471359,1.7253840214646088,0.4823504315390279,0.9504077860218538,0.4328189322471359,1.7253840214646088,0.4823504315390279,0.00025427257,0.008045416,0.015845288,-0.01389426,5,0.9504077860218538,0.03710181079804897,69.26670885551721,68.00072502624243,0.02814656589180231,0.026683091185986996,33.60515303630382,170.9645183859393,618.392369707115,2
13300,0.0002741286,0.00029701894,-8.365025,2.8804042,0.024666915,2.9718487,2.7927575,2.8805265,0.025680775,2.983146,2.7866085,2.8765097,0.02909246,2.974072,2.7806945,-5.4873333,0.33522183,-4.710818,-6.4160094,0.002020666,0.0062245545,0.012642266,-0.0070289997,-0.114623025,0.004279083,-0.10388669,-0.123742506,0.04972079396247864,-40.46646499633789,13300,27,500.0,0.0,500,500,0.0013726859319702462,0.0018419436182640723,0.010309370214692984,8.675288543091852e-10,0.6863429659851232,0.4675532937221436,1.4954648503940764,0.20694628069330184,-0.007061865,0.59429246,0.99809355,-0.99820566,5,0.6863429659851232,10000,20,500.0,0.0,500,500,0.002514413993931828,0.001375355190388616,0.00623944839262916,0.0008372036469941196,1.2572069969659136,0.6305576056909861,2.414687093116824,0.5364358156839089,1.2572069969659136,0.6305576056909861,2.414687093116824,0.5364358156839089,0.0019139443,0.0062186704,0.011055967,-0.006919527,5,1.2572069969659136,0.03761480376124382,66.60540188662708,67.2183939460665,0.027666586451232433,0.026019799523055553,33.59583076555282,167.51092778798193,785.9084987100214,3
15800,6.68466e-05,6.336678e-05,-8.30504,2.845446,0.024147892,2.9276702,2.7288187,2.8461337,0.023392575,2.935669,2.7479522,2.848088,0.02450799,2.9356883,2.745023,-5.460535,0.37188566,-4.6982813,-7.0654955,-0.006524233,0.011183713,0.013475077,-0.021575246,-0.0937023,0.0037865415,-0.083935216,-0.104981974,0.018293382599949837,-53.84504699707031,15800,32,500.0,0.0,500,500,0.0010884692699045964,0.0021303754567686675,0.01452599642497851,8.295285425230503e-08,0.5442346349522984,0.6680719237455102,1.876434537424328,0.1329026775420791,-0.0007904178,0.59703714,0.9986634,-0.9989519,5,0.5442346349522984,12500,25,500.0,0.0,500,500,0.0019599910879104796,0.0015033292278497639,0.005915772939038416,0.0002640707799278358,0.97999554395524,0.669913676235618,1.9824836530983176,0.2840446224925401,0.97999554395524,0.669913676235618,1.9824836530983176,0.2840446224925401,-0.006520822,0.011020264,0.01239577,-0.020800887,5,0.97999554395524,0.03684812970459461,66.8029211377725,67.53595044184476,0.027722385711967945,0.026221023872494698,33.24867252167314,167.67833564057946,953.5920315952972,4
18300,1.5470563e-05,1.29086175e-05,-8.301502,2.8157926,0.020694658,2.858802,2.761558,2.815609,0.020742625,2.8562968,2.7618563,2.8150442,0.020750606,2.8568687,2.7616968,-5.4873724,0.40317774,-4.5004506,-6.592469,-0.0062009073,0.016347801,0.018851364,-0.032959737,-0.07179999,0.0037223406,-0.06165655,-0.08295923,0.0067338901571929455,-67.43151092529297,18300,37,500.0,0.0,500,500,0.0009451270003922987,0.0016769242608476818,0.009992114021679446,4.175246642867947e-08,0.47256350019614946,0.4759564243889071,1.3249446221457652,0.03862297642446498,-0.009250365,0.6050428,0.998941,-0.9975737,5,0.47256350019614946,15000,30,500.0,0.0,500,500,0.0015653483520835327,0.0012017500517770767,0.0067790755658189705,0.0002850979209217258,0.7826741760417665,0.3259954736349013,1.3819915002312444,0.5361450368661284,0.7826741760417665,0.3259954736349013,1.3819915002312444,0.5361450368661284,-0.006280675,0.0165687,0.018833797,-0.033202905,5,0.7826741760417665,0.037193937227129936,66.86494230944663,67.34340256266296,0.027577458880841732,0.025890840217471123,32.97139789815992,167.27040500659496,1120.8676987346262,5
20800,1.34700385e-05,1.7563032e-05,-8.156254,2.788181,0.025894344,2.8548648,2.6898887,2.7870898,0.027700817,2.862111,2.689319,2.7891371,0.026713723,2.8651028,2.7029548,-5.3694825,0.646001,-3.6335032,-7.0056915,-0.016844861,0.08341078,0.15142988,-0.19804111,-0.022270095,0.008830953,-0.00430944,-0.045185037,0.002483748598024249,-80.1766586303711,20800,42,500.0,0.0,500,500,0.0002989177061357913,0.0005973570630730038,0.004315433159172169,1.3207903104550667e-09,0.14945885306789566,0.11990157908654993,0.38656774973310376,0.058407470442109505,-0.011043772,0.623437,0.9982944,-0.99900913,5,0.14945885306789566,17500,35,500.0,0.0,500,500,0.00024168571198339653,0.0005472322492473769,0.003376393979077935,1.3045269531275494e-08,0.12084285599169826,0.02694935434482252,0.16081564840881657,0.09070200803373048,0.12084285599169826,0.02694935434482252,0.16081564840881657,0.09070200803373048,-0.014548273,0.07118417,0.12593372,-0.16683736,5,0.12084285599169826,0.037022859789431095,65.95662331208587,67.22073941864073,0.02711217664182186,0.025711024180054665,32.917487777769566,166.18469656910747,1287.0574965272099,6
23300,1.6514456e-05,2.9273971e-05,-7.4435277,2.7672381,0.027547957,2.8604596,2.6262462,2.7681642,0.027525432,2.8580117,2.6363878,2.7644758,0.027409123,2.8539028,2.6346698,-4.67649,1.4673827,0.6813626,-7.275907,-0.025969934,0.30410308,0.6717195,-0.7453096,0.06872573,0.03396275,0.22522731,-0.005365234,0.0009264681721106172,-88.52200317382812,23300,47,500.0,0.0,500,500,0.0002283884275390177,0.0007939167423444418,0.0062467816875362014,6.836198274129401e-14,0.1141942137695088,0.0861940151539099,0.27027593037325304,0.02304955832633404,-0.016818717,0.6580874,0.9997746,-0.9996259,5,0.1141942137695088,20000,40,500.0,0.0,500,500,0.00012528980461691883,0.0005267184446156249,0.004208919264463665,4.1994185906446546e-14,0.06264490230845941,0.01589215752446296,0.08631528401350815,0.04494425578964481,0.06264490230845941,0.01589215752446296,0.08631528401350815,0.04494425578964481,-0.032815825,0.22727193,0.50438696,-0.60479885,5,0.06264490230845941,0.03817021008580923,65.73037311062217,65.96919352654368,0.027460907585918903,0.02658025175333023,33.109634892083704,164.9014128986746,1451.9638375341892,7
25800,2.9280905e-05,0.000102368635,-4.9534287,2.6749153,0.2327189,2.8569376,1.6905011,2.676525,0.2269176,2.8542287,1.7086806,2.6769311,0.23506548,2.8508725,1.6939106,-2.2771964,3.0828657,10.473884,-8.596637,-0.04876976,0.7589297,1.8812965,-2.5554893,0.056277122,0.16365544,0.5123649,-0.46006256,0.0003733769990503788,-81.10858154296875,25800,52,500.0,0.0,500,500,0.00026789408483330945,0.0006749660067237712,0.005781026843467638,9.152401059253634e-14,0.13394704241665475,0.08885524884318254,0.23779624097055616,0.011224234037941566,-0.022546908,0.6655524,0.9998991,-0.99960285,5,0.13394704241665475,22500,45,500.0,0.0,500,500,0.002241062315668155,0.00411217143814994,0.016050591126228003,1.4298423556269313e-12,1.1205311578340775,1.0184270950134837,2.9232948742251037,0.05678630296167109,1.1205311578340775,1.0184270950134837,2.9232948742251037,0.05678630296167109,-0.032113492,0.3767156,0.9451908,-0.86208355,5,1.1205311578340775,0.03705865517258644,70.8926438614726,68.61681733094156,0.027524028904736042,0.026090887375175953,32.87364930007607,172.47378406394273,1624.4425722276792,8
28300,0.00011235217,3.6629004e-05,2.1796646,2.612166,0.25169456,2.807066,1.6020454,2.614055,0.2550208,2.808129,1.5830932,2.6161103,0.2577555,2.8115864,1.5477158,4.796031,8.228973,30.320389,-8.3433275,0.19315355,1.4340374,2.9591517,-2.8400137,-0.16819474,0.32810196,0.5018004,-0.90278023,0.00022419568267650902,-26.92154312133789,28300,57,500.0,0.0,500,500,0.00023932661969913025,0.0007733274829246308,0.0042079749503544095,1.304512053934559e-14,0.11966330984956515,0.1909683870289182,0.5014520793477436,0.018149245601533512,0.10732976,0.6766364,0.9999589,-0.9999204,5,0.11966330984956515,25000,50,500.0,0.0,500,500,8.643664231935883e-05,0.0004680725720966982,0.005559209650567526,1.0810796702287462e-14,0.043218321159679426,0.018805136859034503,0.07464604713244682,0.02347541688181458,0.043218321159679426,0.018805136859034503,0.07464604713244682,0.02347541688181458,0.14721039,0.5337361,0.9917071,-0.9924866,5,0.043218321159679426,0.03819264471530914,67.42213019263,67.23011304158717,0.027534300461411476,0.025852047838270664,32.82384354900569,167.56766577623785,1792.0153158642352,9
