replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.752075,22.736435,-4.6779695,-0.0023622778,0.0011499444,-0.00024457066,-0.006034588,-0.0006941654,0.0012283399,0.0032260404,-0.004392411,4.7389317,0.5217149,5.9902864,3.3038728,-4.6804247,0.56636035,-3.058134,-6.2025385,-0.00063127495,0.001294599,0.002127294,-0.0030736225,-0.000598763,0.00082316255,0.001521841,-0.002980113,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.006680667954051868,0.010146042709804648,0.060461500389236866,1.2426184738220658e-05,3.340333977025935,1.2409652249602772,5.569332545197749,2.2667509034171296,0.0059926864,0.6284855,0.99963593,-0.99912417,5,3.340333977025935,2500,5,500.0,0.0,500,500,0.004157795937412003,0.0015035567311967619,0.006523756985520893,0.0016790537565423286,2.0788979687060016,0.7374079830626828,2.9430496047848576,0.9556707575450155,2.0788979687060016,0.7374079830626828,2.9430496047848576,0.9556707575450155,-0.0004670221,0.0012241271,0.0019614145,-0.0022756793,5,2.0788979687060016,0.038370716385543346,70.86326330713928,72.36736012902111,0.02707435842603445,0.03512268606573343,32.60793991480023,175.93913111183792,279.9361219853163,0
8300,0.022367042,0.021592148,-7.5975857,2.809499,0.053043928,2.933705,2.6389,2.8096218,0.05127573,2.9319715,2.6443486,2.829049,0.14512056,3.6546097,2.594482,-4.798192,0.26121613,-4.1456103,-5.618296,-0.00061723666,0.010303534,0.020355579,-0.023958229,-0.13084936,0.011076701,-0.09835785,-0.15877716,0.3674442172050476,-11.800362586975098,8300,17,500.0,0.0,500,500,0.0009047002526495122,0.0013429671403069486,0.009135581746656074,9.882227321178494e-08,0.4523501263247563,0.23182163505074846,0.7922642549166281,0.17676288108898847,0.0012621369,0.5883642,0.9962798,-0.99854577,5,0.4523501263247563,5000,10,500.0,0.0,500,500,0.005078062168883175,0.0019373483176179887,0.010462215925874346,0.00160227204979492,2.539031084441588,0.7063069279144478,3.5602220794025903,1.3595562347159549,2.539031084441588,0.7063069279144478,3.5602220794025903,1.3595562347159549,-0.00044510135,0.009936492,0.017464843,-0.015554491,5,2.539031084441588,0.03663749527186155,71.1325917178765,70.62925800587982,0.027312164194881916,0.027488380670547485,32.78183736745268,174.63512513134629,454.5764668509364,1
10800,0.0019017844,0.0018273661,-7.3384414,2.582593,0.037171032,2.7061086,2.463298,2.5840235,0.037634283,2.7140572,2.470612,2.5787833,0.04969331,2.7764082,2.4481726,-4.761016,0.34163508,-3.8485131,-6.4425316,0.0021827775,0.0062604416,0.014177455,-0.0103058675,-0.11450111,0.007795174,-0.09162632,-0.13049385,0.13516147434711456,-23.525367736816406,10800,22,500.0,0.0,500,500,0.00044812244584336664,0.0006092172592905941,0.003937277159135472,7.222736299328236e-08,0.22406122292168326,0.12643485596347528,0.36702553076109246,0.07082933288074109,0.003762967,0.5954927,0.9968705,-0.9993501,5,0.22406122292168326,7500,15,500.0,0.0,500,500,0.0013882086271344858,0.0006107054915934221,0.0029344340541075514,0.00045244029104819783,0.6941043135672426,0.18529077099407942,0.9158597755820281,0.43022166668771133,0.6941043135672426,0.18529077099407942,0.9158597755820281,0.43022166668771133,0.0027473886,0.005913935,0.011864353,-0.008450359,5,0.6941043135672426,0.03767930530011654,72.41018949821591,71.11876444332302,0.027176668867468834,0.030846301466226578,32.69169759564102,176.31635381281376,630.8979262998328,2
13300,0.00026619295,0.00023900387,-7.2450557,2.5207982,0.03767597,2.6153922,2.413157,2.5223036,0.036585037,2.6152294,2.4138625,2.521192,0.03815077,2.600872,2.418651,-4.7259398,0.3338967,-3.930088,-5.628337,0.008001285,0.009524195,0.033234827,-0.008591846,-0.105649516,0.007755753,-0.085040346,-0.12438315,0.04972216859459877,-35.181396484375,13300,27,500.0,0.0,500,500,0.001356282175705024,0.002910825003460787,0.029582482683237737,6.044537571303632e-07,0.6781410878525117,0.5061985202363811,1.478814505008367,0.051479449175782926,0.00300215,0.5964541,0.9982133,-0.99881667,5,0.6781410878525117,10000,20,500.0,0.0,500,500,0.0030426610132357453,0.0009555836492294668,0.0054308076966783775,0.0009627414419798863,1.5213305066178724,0.28465704365782035,1.8230787741910097,1.1004923673242335,1.5213305066178724,0.28465704365782035,1.8230787741910097,1.1004923673242335,0.007954319,0.009057863,0.02293799,-0.007877662,5,1.5213305066178724,0.036627172492444515,69.31918552517891,70.90544212888926,0.02725180797278881,0.02661264780908823,32.50781721621752,172.82293649856,803.7260036095977,3
15800,0.0001294503,0.00014591806,-7.172314,2.495175,0.042182848,2.595237,2.355313,2.4960728,0.042104397,2.5896995,2.3647442,2.4950929,0.04283756,2.5908024,2.3630545,-4.6783853,0.40151095,-3.7804127,-6.413412,0.0014022208,0.030841816,0.10110987,-0.08695684,-0.08116359,0.009862399,-0.05569599,-0.10741883,0.018305353820323944,-46.70845413208008,15800,32,500.0,0.0,500,500,0.003166129752142381,0.00693259649017184,0.07284710043985318,1.192349886325328e-06,1.5830648760711896,0.9671359834560834,3.014188410754986,0.24504904783775694,-0.0062811063,0.60599905,0.9973777,-0.99928445,5,1.5830648760711896,12500,25,500.0,0.0,500,500,0.02268342542498441,0.013446324016157574,0.05946513617945018,0.0026240293749928284,11.341712712492209,3.5216930090501766,15.815271980696401,7.488033011349407,11.341712712492209,3.5216930090501766,15.815271980696401,7.488033011349407,1.4211054e-05,0.027768543,0.07348758,-0.058659267,5,11.341712712492209,0.03756523970514536,73.43168918415904,71.53707994613796,0.027406126260757446,0.027152186259627342,32.328293811529875,177.3891864940524,981.1203222069889,4
18300,9.880253e-05,9.800381e-05,-7.177563,2.4770412,0.042015225,2.5753133,2.3147037,2.479628,0.04220151,2.5748787,2.3106396,2.4758396,0.04342641,2.572806,2.2960193,-4.7008395,0.55373055,-3.16895,-5.9714937,-0.0027264606,0.109102294,0.43479908,-0.45179057,-0.023353878,0.028916357,0.06886376,-0.078293175,0.006756974849849939,-58.459564208984375,18300,37,500.0,0.0,500,500,0.00573000145178694,0.013006891451084681,0.09171495842470412,4.106755736824064e-06,2.86500072589347,2.8763974167287762,6.578465100559006,0.36170266751519714,0.00019500319,0.6235909,0.99889505,-0.9992194,5,2.86500072589347,15000,30,500.0,0.0,500,500,0.009778221249577326,0.014055878205172595,0.07915460291251668,9.916999803974424e-06,4.889110624788667,1.9411373347118317,8.346364311591797,2.9674874605361876,4.889110624788667,1.9411373347118317,8.346364311591797,2.9674874605361876,-0.0026379153,0.05225862,0.13592464,-0.14736283,5,4.889110624788667,0.03671609237790108,71.82985623460263,71.27273690607399,0.026737610809504986,0.031182436272501945,32.26024795696139,175.45747723709792,1156.5829868847504,5
20800,7.448541e-05,0.00010253653,-6.339259,2.4544005,0.041441962,2.550455,2.3332384,2.4551973,0.040746868,2.548359,2.339577,2.4531674,0.04209353,2.5788531,2.3258963,-3.8839512,1.5908599,0.96980786,-7.1250167,-0.10752875,0.38336822,1.1178303,-1.2258099,0.043670245,0.06509957,0.22451615,-0.14576894,0.0025377687998116016,-65.0372314453125,20800,42,500.0,0.0,500,500,0.006570682262710028,0.014310842271543403,0.11289333104164109,3.755785960013469e-11,3.285341131355014,3.2019784168553156,9.050871569907734,0.8473920104621495,-0.042505458,0.65529543,0.999659,-0.99949086,5,3.285341131355014,17500,35,500.0,0.0,500,500,0.006230994881291002,0.011680349501268802,0.06511427755852991,7.34012850500676e-12,3.115497440645502,3.4706569528131777,9.922371402736832,0.5506879530281283,3.115497440645502,3.4706569528131777,9.922371402736832,0.5506879530281283,-0.09763473,0.22928418,0.6407891,-0.76071703,5,3.115497440645502,0.03755028732120991,72.95912515372038,72.2594139687717,0.026728265918791294,0.030669014900922775,32.111000060103834,177.42448675073683,1334.0125923380256,6
23300,0.00022414773,0.0001474814,-3.4206138,2.4377022,0.04982009,2.564934,2.3145576,2.4394858,0.050931957,2.5698771,2.316155,2.44058,0.051404633,2.5809932,2.3174653,-0.97753954,3.0335023,7.8360043,-7.7500086,0.011947955,0.93176246,2.068214,-2.2385817,0.0019693698,0.17943124,0.5549488,-0.5574937,0.0010469454573467374,-54.73483657836914,23300,47,500.0,0.0,500,500,0.00600810431621563,0.013266549156698568,0.10839753366540504,2.0283901225326417e-08,3.0040521581078137,1.791078096447702,6.202769647368404,1.2608045963401553,-0.043404795,0.72171485,0.99997634,-0.99998385,5,3.0040521581078137,20000,40,500.0,0.0,500,500,0.002528908851164094,0.011171460749859932,0.1084458397281346,1.0511175263516748e-12,1.264454425582049,1.5207827300894565,4.273903772618043,0.17633618685124924,1.264454425582049,1.5207827300894565,4.273903772618043,0.17633618685124924,-0.10458171,0.5965645,0.99962276,-0.9992893,5,1.264454425582049,0.03820069879293442,71.19602936971933,71.8674539430067,0.026650886982679367,0.02629824820905924,31.91996407136321,175.0745972180739,1509.092292567715,7
25800,0.00041255643,0.0003483756,1.1488034,2.4397354,0.04792476,2.5436242,2.2378397,2.4384873,0.048016086,2.5498378,2.2420595,2.4257662,0.046885803,2.5479045,2.2298224,3.5963445,5.373306,16.677387,-6.1666374,-0.13161376,1.43495,3.1489158,-3.777419,-0.17026854,0.2862909,0.49889243,-1.0993636,0.0005869699525646865,-25.323474884033203,25800,52,500.0,0.0,500,500,0.006787833687781431,0.016600545300958225,0.11374236935764151,1.3161138845418918e-11,3.3939168438907132,2.1976154129519525,6.125045466121933,0.1351912335410426,-0.045425337,0.7838316,0.9999552,-0.9999992,5,3.3939168438907132,22500,45,500.0,0.0,500,500,0.008988536889879176,0.02081423952716643,0.7314217398562308,4.985510060340204e-10,4.494268444939587,3.7901407003485432,10.752538547792772,0.26846289918433275,4.494268444939587,3.7901407003485432,10.752538547792772,0.26846289918433275,-0.1948323,0.7601969,0.9998407,-0.999999,5,4.494268444939587,0.037839749827980995,75.08953976072371,73.50480930320919,0.026947165839374065,0.030633147805929184,31.67653302103281,180.366302148439,1689.4637212241068,8
28300,0.00027349644,0.00031017116,4.4128118,2.4020433,0.04980977,2.5114908,2.277928,2.4030366,0.047039673,2.5132031,2.295103,2.3979735,0.05272113,2.5526907,2.2837634,6.8218684,5.173828,23.457518,-4.9907737,-0.1611604,1.6319541,3.6172817,-4.29881,-0.2754398,0.27402502,0.53434736,-1.312997,0.0004471084102988243,-1.3738629817962646,28300,57,500.0,0.0,500,500,0.00922448781855405,0.020726602108578705,0.10929225095261039,4.542784343142259e-10,4.612243909277025,7.529276824161421,19.63647737102487,0.1299224951827086,-0.1978887,0.79822755,0.9999616,-0.99995327,5,4.612243909277025,25000,50,500.0,0.0,500,500,0.007014108074010821,0.015394084204994286,0.10297699648283136,4.6752078458611734e-09,3.5070540370054117,2.502550387843106,6.677807124743557,0.4951928160279913,3.5070540370054117,2.502550387843106,6.677807124743557,0.4951928160279913,-0.13030571,0.789582,0.9979245,-0.9956787,5,3.5070540370054117,0.03745925799012184,75.6088199550286,76.68556376267225,0.026517750695347786,0.03102146927267313,31.790593033656478,184.17997522931546,1873.6488206479698,9
