replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,29.325914,29.33264,-5.3606663,0.0011667178,0.001222584,0.0036347841,-0.0019186349,0.000548951,0.0010457204,0.0027917402,-0.0023026692,5.3806324,0.6223456,8.015227,3.8445797,-5.3606787,0.53204733,-4.1552215,-6.742843,-7.151347e-05,0.0012903704,0.0021385006,-0.0026247213,0.00026184408,0.00093289255,0.0024125914,-0.0016323237,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0008219594268344352,0.0011942819749840871,0.007813466599262131,8.694100491618562e-07,0.4109797134172174,0.35227544365306473,1.0892945071207336,0.13921553110242546,-0.005657791,0.6271744,0.9994744,-0.9987103,5,0.4109797134172174,2500,5,500.0,0.0,500,500,0.001128829948830835,0.0004016792328647346,0.0016047070216921588,0.00040814794801466436,0.5644149744154172,0.20065425207456744,0.7810324748829311,0.21702971319372533,0.5644149744154172,0.20065425207456744,0.7810324748829311,0.21702971319372533,-7.724224e-05,0.0012621278,0.0019490819,-0.0022072052,5,0.5644149744154172,0.03622302506119013,69.12982691079378,69.3298895554617,0.026340316981077194,0.03531539533287287,32.69412280712277,171.2517180107534,272.22875011432916,0
8300,0.015184214,0.014435794,-8.630613,3.1760106,0.030937085,3.253161,3.0953596,3.180451,0.024459153,3.2385416,3.113013,3.1975284,0.12037155,3.778335,3.002596,-5.458107,0.33140162,-4.5348825,-6.534413,-0.0043494646,0.011163451,0.015446987,-0.027133744,-0.116576314,0.01041588,-0.10026013,-0.14075659,0.36740148067474365,-13.462139129638672,8300,17,500.0,0.0,500,500,0.0017272552986698508,0.002178214033277033,0.014887995240509655,9.068878611961928e-07,0.8636276493349252,0.4633992463906423,1.449013903299476,0.1401041859192993,-0.009774468,0.59305507,0.99645877,-0.9974127,5,0.8636276493349252,5000,10,500.0,0.0,500,500,0.0005672349458455164,0.0001290057088688698,0.0008142814327377762,0.0003098544709472656,0.2836174729227584,0.05302916206397751,0.3549164254814234,0.22052046770385625,0.2836174729227584,0.05302916206397751,0.3549164254814234,0.22052046770385625,-0.0043289177,0.011102766,0.008509967,-0.024105076,5,0.2836174729227584,0.03614539746195078,67.14029587060213,67.31104553397745,0.025769557803869247,0.02646738849580288,32.59648115839809,167.1362049067393,439.3703234605491,1
10800,0.0019466269,0.0019958958,-8.434093,2.9306412,0.021577634,2.979179,2.860857,2.9308667,0.023434954,2.9938717,2.8625617,2.9291792,0.046448763,3.1559634,2.825949,-5.5074496,0.4161734,-4.54306,-7.4350357,0.004722772,0.009871067,0.023776654,-0.011928887,-0.12279157,0.008210261,-0.1073253,-0.13902506,0.13515345752239227,-27.01955795288086,10800,22,500.0,0.0,500,500,0.0007814259066695154,0.001002275594005974,0.008601753206058008,7.838309264707188e-07,0.39071295333475764,0.12537135557206994,0.5245459558655574,0.2384063392552413,-0.0048606084,0.5922844,0.99838823,-0.99840844,5,0.39071295333475764,7500,15,500.0,0.0,500,500,0.00032652018442704423,0.00031717781040583454,0.0015556661540757077,3.1164544170278474e-05,0.1632600922135221,0.11172498409721189,0.3771577405858872,0.05647910754160339,0.1632600922135221,0.11172498409721189,0.3771577405858872,0.05647910754160339,0.0047377045,0.009914649,0.023031449,-0.011611048,5,0.1632600922135221,0.035185941495001316,66.37488115672022,67.54557617381215,0.02590531948953867,0.026433464139699936,32.451798296533525,166.45978035219014,605.8352857045829,2
13300,0.00022828844,0.00019154273,-8.319545,2.8716664,0.022440875,2.9201658,2.7778008,2.8716006,0.021844372,2.9269266,2.7889752,2.8687015,0.024153689,2.9182634,2.7899141,-5.4502316,0.34802547,-4.608442,-6.4171734,0.0011409877,0.008159119,0.014714937,-0.011738889,-0.116813764,0.0038602417,-0.10832602,-0.12619536,0.04972144588828087,-40.35498046875,13300,27,500.0,0.0,500,500,0.0005298359306995732,0.001285512125353262,0.010257291902500437,1.7133294942239807e-06,0.2649179653497865,0.2498339857703016,0.7489670623378151,0.06723194024241089,0.0050737453,0.59439695,0.9986581,-0.9957956,5,0.2649179653497865,10000,20,500.0,0.0,500,500,0.002235923920196511,0.001073608650680608,0.00551973315821673,0.000659065082266222,1.1179619600982555,0.4465288437454288,1.8522508310318435,0.47198136454636685,1.1179619600982555,0.4465288437454288,1.8522508310318435,0.47198136454636685,0.0011115697,0.008222693,0.014292935,-0.01120865,5,1.1179619600982555,0.035172319039702415,67.16781006939709,67.34188485052437,0.02573198638856411,0.02622860949486494,32.52262745797634,167.11945529282093,772.9599207798019,3
15800,4.7250956e-05,4.0013252e-05,-8.316004,2.8408585,0.019868305,2.915054,2.7891495,2.8402786,0.020449068,2.919774,2.7877169,2.84131,0.020610843,2.9294646,2.7895036,-5.477293,0.30559206,-4.756077,-6.136364,-0.0008665416,0.010698795,0.019758955,-0.015588354,-0.09666893,0.0033453892,-0.08645217,-0.104439534,0.01829352229833603,-53.911983489990234,15800,32,500.0,0.0,500,500,0.001042919625446369,0.0017721773913397275,0.015286894058046563,2.341277449691148e-10,0.5214598127231846,0.46997587920852796,1.3829086971589415,0.05713814198756567,0.0043269712,0.6000647,0.99833035,-0.99932086,5,0.5214598127231846,12500,25,500.0,0.0,500,500,0.0029641796007301114,0.001518404725342197,0.0075769374151146845,0.0007796018989741638,1.4820898003650556,0.4559020140735091,2.194634571777924,1.0283988828596802,1.4820898003650556,0.4559020140735091,2.194634571777924,1.0283988828596802,-0.00084518775,0.010703045,0.019031424,-0.0150962565,5,1.4820898003650556,0.03525767661631107,67.18456626590341,66.90999601781368,0.025221917778253555,0.026069710962474346,32.21988344658166,166.4009950356558,939.3661485426128,4
18300,2.9251765e-05,2.9281848e-05,-8.244027,2.811071,0.025831364,2.8854973,2.7337365,2.8109145,0.026023176,2.8842735,2.7233896,2.81139,0.024676325,2.888688,2.730988,-5.434066,0.4070282,-4.276668,-6.4482927,-0.0011258968,0.02513257,0.051872894,-0.036923945,-0.074387275,0.0056907954,-0.055581383,-0.089080945,0.006734070368111134,-67.16464233398438,18300,37,500.0,0.0,500,500,0.0004914574542942235,0.0006354682843131906,0.004019888733509044,3.1452399538861586e-06,0.24572872714711202,0.14663575058994735,0.5145337975574155,0.10622000739138826,0.0028181288,0.6075386,0.9994795,-0.99700004,5,0.24572872714711202,15000,30,500.0,0.0,500,500,0.002688338818894328,0.0014725035103124414,0.005526079704044146,0.00013534544785605285,1.344169409447164,0.25098072023178536,1.6138226430190479,0.9592648012853586,1.344169409447164,0.25098072023178536,1.6138226430190479,0.9592648012853586,-0.0015143921,0.024617122,0.049295995,-0.03338941,5,1.344169409447164,0.03505866415798664,67.43060539290309,67.2116469470784,0.0250083701685071,0.02584122959524393,32.16931341774762,166.89747402165085,1106.2687640534714,5
20800,7.5183025e-06,8.882563e-06,-8.113066,2.7835855,0.026011735,2.836769,2.6952648,2.783535,0.025848405,2.8346634,2.6940787,2.7840357,0.02564103,2.8376946,2.6961849,-5.329997,0.65403336,-3.4466074,-7.1107106,-0.0012925479,0.09651472,0.22552186,-0.15876241,-0.027302325,0.012702546,0.016948916,-0.060501322,0.002484208205714822,-79.93740844726562,20800,42,500.0,0.0,500,500,0.0007617890464833157,0.0015316373541745133,0.011617685800493494,1.6324719354088302e-12,0.38089452324165773,0.26822377265592273,0.8362614417190276,0.1280358102765352,-0.0007775172,0.62287337,0.9988103,-0.99916136,5,0.38089452324165773,17500,35,500.0,0.0,500,500,0.0005201951631685569,0.0009623584724892679,0.004690449420883008,5.989195250855062e-12,0.2600975815842784,0.06215000356348119,0.352796550489336,0.1866261650280635,0.2600975815842784,0.06215000356348119,0.352796550489336,0.1866261650280635,-0.002357655,0.07485277,0.20450597,-0.1403458,5,0.2600975815842784,0.03515359666198492,66.4689283054322,66.85256422031671,0.02510682586580515,0.026339272037148476,32.101188908331096,165.50928112864494,1271.7830643448979,6
23300,1.3823915e-05,1.6768017e-05,-7.568083,2.7562218,0.03269401,2.8413267,2.59729,2.7557163,0.033410568,2.8357499,2.592799,2.756246,0.033267565,2.849979,2.597816,-4.8121777,1.1837096,-1.3087441,-7.547029,0.0044556027,0.28295624,0.7206283,-0.7097359,0.041053437,0.042524453,0.17812593,-0.075796664,0.0009260348742827773,-89.47543334960938,23300,47,500.0,0.0,500,500,0.0004874229142920411,0.001554410060398225,0.013564860065668705,2.3965551765314785e-13,0.24371145714602066,0.2347677286074413,0.6870203139709922,0.016740050012952132,0.0033370822,0.6538119,0.9997977,-0.9997258,5,0.24371145714602066,20000,40,500.0,0.0,500,500,0.0001569779152233689,0.0004581316023625602,0.0025245785407495835,1.7942036745210999e-12,0.07848895761168442,0.008698553007852659,0.09042374173721758,0.06502807790372499,0.07848895761168442,0.008698553007852659,0.09042374173721758,0.06502807790372499,-0.0050223265,0.21952797,0.43921912,-0.5330114,5,0.07848895761168442,0.03506708983331919,66.36164729483426,66.34009444527328,0.02519039437174797,0.026103087700903416,32.204981088638306,164.9930834006518,1436.7812962047756,7
25800,3.7028214e-05,0.00012690773,-3.054511,2.6792727,0.24995376,2.822049,1.3023305,2.6825192,0.24494147,2.8224201,1.3367093,2.675135,0.25066626,2.8169668,1.2893534,-0.3721888,5.2601113,17.366251,-8.202217,-0.089878306,0.9864177,2.2894745,-2.6619253,-0.0025361944,0.22622648,0.5519302,-0.8419593,0.00038300969754345715,-65.86227416992188,25800,52,500.0,0.0,500,500,0.0002915284594258969,0.0008056252002321579,0.006324056165923214,3.885780586188048e-15,0.14576422971294842,0.05013522520890226,0.20573759699798083,0.08013069855877854,-0.01865411,0.7046322,0.9999852,-0.9999428,5,0.14576422971294842,22500,45,500.0,0.0,500,500,0.0025454585088243754,0.009689347749518153,0.06923122946409094,7.41073868937292e-15,1.2727292544121875,1.9009953427375428,5.021181990941751,0.04496513579686891,1.2727292544121875,1.9009953427375428,5.021181990941751,0.04496513579686891,-0.050887037,0.55538654,0.9562777,-0.9849573,5,1.2727292544121875,0.035180878825485706,67.90457053110003,66.77474868297577,0.025252845138311386,0.025860220193862915,31.43758121971041,166.20319437794387,1602.989668328315,8
28300,4.9398226e-05,0.00015111623,3.1003761,2.612381,0.30430752,2.7641048,1.3832748,2.6162713,0.30112585,2.7683346,1.370726,2.6082404,0.30576128,2.7641287,1.3490528,5.718424,6.884254,27.165657,-6.59596,0.056785807,1.5152873,3.1095488,-3.1519122,-0.2374794,0.3035845,0.64247024,-1.0672735,0.00023224034521263093,-19.090890884399414,28300,57,500.0,0.0,500,500,0.00013246206128714538,0.000765709158576387,0.009167680467686179,4.163336342344337e-17,0.06623103064357269,0.04213143336472472,0.11842017850285592,0.01537929542067637,-0.056432363,0.7859245,1.0,-1.0,5,0.06623103064357269,25000,50,500.0,0.0,500,500,9.871863819165432e-05,0.0006120720908994394,0.0074251862445807865,2.3592239273284576e-16,0.04935931909582716,0.029798058206888186,0.08059635588501776,0.010986212875653142,0.04935931909582716,0.029798058206888186,0.08059635588501776,0.010986212875653142,-0.06524105,0.71114063,1.0,-1.0,5,0.04935931909582716,0.035595775581896305,67.51802560966462,67.57215433288366,0.02536145318299532,0.026027265936136246,31.354575698263943,166.53174013551325,1769.526551252231,9
