replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.676361,21.667452,-4.700259,0.0024162144,0.0011246003,0.005080254,-0.00044540246,0.0034082492,0.0015954296,0.0076256897,-9.986234e-05,4.620978,0.58761984,6.0813365,2.8576849,-4.698195,0.57747823,-3.038521,-6.148945,-5.7102563e-05,0.001194898,0.0031425543,-0.0026742353,-0.0007455788,0.0014255936,0.0032156603,-0.0033335595,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.002287188532066821,0.0036158340408032736,0.02593080602791889,3.744594099827636e-05,1.143594266033411,0.9569207479711265,2.9637727016221165,0.3362038064130592,-0.009689968,0.6279397,0.9994794,-0.9992298,5,1.143594266033411,2500,5,500.0,0.0,500,500,0.0010499420881152815,0.0003670316052383144,0.0015186794243567808,0.00040415898935758365,0.5249710440576407,0.18254591289035146,0.7199861403476904,0.20367475075513367,0.5249710440576407,0.18254591289035146,0.7199861403476904,0.20367475075513367,-0.0001225162,0.0012315761,0.002359796,-0.0026741207,5,0.5249710440576407,0.03469984047114849,68.18384823389351,68.93070617690682,0.026330862194299698,0.034164504148066044,30.310378695838153,167.520128313452,269.0110603161156,0
8300,0.018023916,0.018447531,-7.62391,2.8569822,0.057201754,3.008327,2.4962668,2.85727,0.062952444,3.0310366,2.4316132,2.8512774,0.12661342,3.3597677,2.6064126,-4.7756243,0.31903943,-3.8849194,-6.289428,-0.0014044413,0.00662358,0.014314362,-0.016528042,-0.11744038,0.0091309305,-0.09580113,-0.14287707,0.36741918325424194,-11.778594017028809,8300,17,500.0,0.0,500,500,0.0011795209225253826,0.0022316541020688816,0.018798591684656363,5.799976219425518e-06,0.5897604612626914,0.3140086330922152,0.9633324057390835,0.2325900273434286,0.0038458535,0.59390247,0.99711066,-0.9977477,5,0.5897604612626914,5000,10,500.0,0.0,500,500,0.0004586650919980815,0.0001251779284195955,0.0007968576994349386,0.00025691774746793017,0.22933254599904082,0.04861528054584402,0.2915042349556505,0.15806150813161457,0.22933254599904082,0.04861528054584402,0.2915042349556505,0.15806150813161457,-0.0015629143,0.006490851,0.011739118,-0.011056179,5,0.22933254599904082,0.03429980203509331,67.13302716612816,67.71799665689468,0.026002096012234688,0.02600424364209175,30.646528754383326,165.5838587190956,434.5998632404953,1
10800,0.0015679538,0.0016132866,-7.4019866,2.6134894,0.0437664,2.67574,2.4277687,2.612338,0.046236724,2.6818237,2.4092078,2.6133938,0.0581656,2.7532172,2.376087,-4.795401,0.33108896,-4.2209334,-7.152114,0.000845858,0.0041114013,0.011847813,-0.01005291,-0.12761448,0.004487782,-0.11308792,-0.14318809,0.13515961170196533,-23.594324111938477,10800,22,500.0,0.0,500,500,0.0007895279428773043,0.0010841527687137046,0.007720899455114422,1.3299966965252263e-07,0.3947639714386525,0.21137894491417508,0.6375535996495727,0.04954434885908848,0.010587732,0.5897321,0.99754,-0.99738514,5,0.3947639714386525,7500,15,500.0,0.0,500,500,0.000945366175768887,0.0006228043309731902,0.002640521318396871,0.00024443862399083083,0.4726830878844434,0.301251784857234,1.0307415930671164,0.15601952721901746,0.4726830878844434,0.301251784857234,1.0307415930671164,0.15601952721901746,0.00071519427,0.003753676,0.009088331,-0.005460342,5,0.4726830878844434,0.034806469455361366,67.44934283196926,67.84145112708211,0.026297093369066715,0.029264298267662525,30.69032232835889,166.07148414850235,600.676201432012,2
13300,0.0005621331,0.00049730303,-7.329907,2.565149,0.03753277,2.6358156,2.390162,2.5644956,0.037164725,2.646966,2.386934,2.568109,0.037224747,2.6999886,2.3879077,-4.7692633,0.34926495,-3.9166908,-5.941463,0.0044016847,0.0040904083,0.023882564,-0.006025468,-0.10779231,0.008720562,-0.09425513,-0.13961491,0.049722690135240555,-35.311256408691406,13300,27,500.0,0.0,500,500,0.0017116635529137766,0.006573404570889844,0.05760456437776994,6.351059987641516e-08,0.8558317764568881,1.4141280362835238,3.6810056231275072,0.07272851172638915,0.006501756,0.59714806,0.99831903,-0.9981757,5,0.8558317764568881,10000,20,500.0,0.0,500,500,0.0015260410348054971,0.0005315699678678182,0.0024836974514756277,0.0006597588225725343,0.7630205174027486,0.26380719794171453,1.2068114253616313,0.3966340845926912,0.7630205174027486,0.26380719794171453,1.2068114253616313,0.3966340845926912,0.0043143085,0.0037968429,0.010422226,-0.0030568433,5,0.7630205174027486,0.03368264716118574,67.37337102647871,67.37272045854479,0.026497945189476013,0.02580019272863865,30.579037001356483,165.41110927145928,766.092126972042,3
15800,0.00017526283,0.00019757592,-7.2812853,2.5403037,0.043144435,2.6095736,2.3260076,2.5406737,0.043524787,2.612286,2.3416557,2.5357256,0.04284686,2.5994725,2.3275893,-4.7433825,0.3667783,-3.851193,-5.5536866,-0.00063497626,0.011297094,0.022552159,-0.034860365,-0.0751523,0.0062177484,-0.057857208,-0.09466539,0.01829851232469082,-46.97278594970703,15800,32,500.0,0.0,500,500,0.0009613405718457635,0.0016794744207142098,0.010348580779288907,2.6013418155668155e-08,0.4806702859228814,0.33955658767804875,0.9931333376177239,0.09046034785336673,-0.002071361,0.6078063,0.9989798,-0.9970705,5,0.4806702859228814,12500,25,500.0,0.0,500,500,0.00116770136091088,0.00039906893417508693,0.0018768015568868812,0.0006881659099746418,0.58385068045544,0.1909276984488427,0.9026659881017802,0.39975293673675005,0.58385068045544,0.1909276984488427,0.9026659881017802,0.39975293673675005,-0.000785444,0.009789475,0.016143413,-0.020925418,5,0.58385068045544,0.03470367658883333,67.33662984147668,68.21408371720463,0.026070812717080116,0.02558145299553871,30.473023331724107,166.11009283270687,932.2070823907852,4
18300,9.236947e-05,7.771563e-05,-7.1576605,2.5065541,0.04185045,2.5678377,2.3147092,2.5077772,0.040955417,2.567665,2.3213594,2.5054693,0.04145899,2.5924866,2.3190238,-4.6527977,0.5229829,-3.0881472,-5.720839,-0.011899167,0.04907855,0.12258102,-0.26836747,-0.031171354,0.017961636,0.011739759,-0.07025745,0.006744189187884331,-58.241615295410156,18300,37,500.0,0.0,500,500,0.0033347751175457807,0.006857125586362604,0.046431504941054136,4.3621181165798273e-07,1.6673875587728904,2.1636709636739027,5.825301569145627,0.06453592238464768,-0.00817171,0.6230272,0.99860114,-0.99835,5,1.6673875587728904,15000,30,500.0,0.0,500,500,0.001300219128869765,0.0018571497144534673,0.007252983638168439,1.012824172935689e-05,0.6501095644348824,0.771217085250094,2.051627571615398,0.07400495008246742,0.6501095644348824,0.771217085250094,2.051627571615398,0.07400495008246742,-0.0146958465,0.03954621,0.07213621,-0.13123286,5,0.6501095644348824,0.034759730100631714,67.20256839133799,67.90002369973809,0.025755204260349274,0.029845917597413063,30.231900014914572,165.42485295794904,1097.6367119858041,5
20800,0.00014584968,0.00013985421,-6.852422,2.4703264,0.056572385,2.5556395,2.2727787,2.4718833,0.055952776,2.5562062,2.2853894,2.470364,0.057526924,2.5794287,2.2708063,-4.382097,1.1363581,-0.0008586645,-6.3333945,-0.028667944,0.25034717,0.8801331,-0.9190667,0.06089658,0.050129782,0.31368476,-0.06419369,0.0025083681102842093,-68.14627838134766,20800,42,500.0,0.0,500,500,0.005220326256869669,0.01276547821063171,0.09546104010910829,1.7368840191100965e-07,2.6101631284348352,3.5154262629230018,9.399902935093523,0.049310502794444516,0.005771542,0.64569235,0.99918354,-0.9994386,5,2.6101631284348352,17500,35,500.0,0.0,500,500,0.00029485866079255175,0.0007850645362359837,0.00719512927563129,2.5770871547869945e-11,0.14742933039627587,0.12751189896230525,0.39550569383179407,0.057760851454707995,0.14742933039627587,0.12751189896230525,0.39550569383179407,0.057760851454707995,-0.016220719,0.17107683,0.66904813,-0.84788173,5,0.14742933039627587,0.03498054947704077,68.04681238066405,67.99901234358549,0.026011011563241482,0.029634008184075356,30.068837760016322,166.20528805349022,1263.8468288527802,6
23300,0.00010461394,9.807795e-05,-4.304423,2.4511814,0.047904152,2.5262008,2.264361,2.450694,0.047993492,2.52475,2.2657816,2.4561558,0.04761864,2.5386367,2.2738333,-1.8506143,3.1936681,7.8491006,-7.776582,-0.14215955,0.81467164,2.283676,-2.4090831,0.043428164,0.16337223,0.3982004,-0.72558916,0.0009947177022695541,-61.17767333984375,23300,47,500.0,0.0,500,500,0.002017616741543283,0.008488022560768646,0.08273433384169027,2.5286231442045448e-11,1.0088083707716418,0.9002560515093544,2.4774044967691804,0.042124693190019186,-0.042455237,0.69011205,0.9998584,-0.99972004,5,1.0088083707716418,20000,40,500.0,0.0,500,500,0.002068848823275083,0.008105618349041189,0.07049274692469727,1.556592355012043e-11,1.0344244116375405,1.1486229081567167,3.040666491132158,0.06741788116077568,1.0344244116375405,1.1486229081567167,3.040666491132158,0.06741788116077568,-0.035427038,0.4518199,0.9899207,-0.99912435,5,1.0344244116375405,0.03452478162944317,68.29517332278192,68.40680237859488,0.026091580279171467,0.02945836540311575,30.005308464169502,166.79735889285803,1430.6490319026634,7
25800,0.00016079325,9.859728e-05,-1.3034757,2.4468355,0.046331197,2.610914,2.2857625,2.4439144,0.04340642,2.559198,2.287838,2.4474893,0.043734826,2.556064,2.284068,1.1461735,5.287379,15.808117,-9.939065,-0.15243115,1.1977482,3.1180701,-2.7258718,-0.053379986,0.2707546,0.71694833,-0.8155625,0.00048137863632291555,-44.712947845458984,25800,52,500.0,0.0,500,500,0.003857467339299636,0.011408324952336847,0.20057603609719346,2.3328561304936102e-14,1.9287336696498187,1.8001477819921063,5.156904453320196,0.366411927641686,-0.03978095,0.72381556,0.999996,-0.9999485,5,1.9287336696498187,22500,45,500.0,0.0,500,500,0.004920207239427075,0.013617741259270554,0.21354344324897595,1.5307199952019346e-14,2.4601036197135397,1.3676326781354071,4.796972687045072,0.790218519773478,2.4601036197135397,1.3676326781354071,4.796972687045072,0.790218519773478,-0.005419969,0.57331896,0.99990445,-0.999879,5,2.4601036197135397,0.03510496765375137,67.36176722869277,67.6699590627104,0.025829180143773556,0.029879087582230568,29.83864434622228,164.9611838730052,1595.615065109916,8
28300,0.00018547368,0.00014421971,1.9417974,2.4223804,0.061002538,2.5075865,2.123925,2.4213471,0.06236676,2.5087757,2.115746,2.4155397,0.06503581,2.5407362,2.0833158,4.3700314,5.4952493,19.569817,-5.697607,-0.23212613,1.487895,3.32494,-3.064127,-0.18605086,0.28540292,0.74936473,-1.045192,0.000297164311632514,-21.357559204101562,28300,57,500.0,0.0,500,500,0.0009046814649239247,0.004958138984584487,0.06667506763413258,4.2771342023684156e-14,0.4523407324619619,0.3877119447092704,1.1196293854272334,0.0464590489541552,-0.05878939,0.76115793,0.9999957,-0.99999785,5,0.4523407324619619,25000,50,500.0,0.0,500,500,0.0003781517267326279,0.0021468575361739163,0.030996327915910504,1.3877787807814457e-17,0.18907586336631368,0.11485141865803461,0.3274077000701805,0.02229348320487494,0.18907586336631368,0.11485141865803461,0.3274077000701805,0.02229348320487494,-0.15224586,0.67563605,0.99999994,-0.99999994,5,0.18907586336631368,0.03387195523828268,66.50741364154965,67.45713492110372,0.02656505722552538,0.030582726001739502,29.567199516110122,163.62276781722903,1759.2426014756784,9
