replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,86.12498,86.02109,-9.432176,0.003946457,0.0018632555,0.008299927,-0.00170252,0.009521141,0.0020513977,0.015874626,0.0056083826,9.252634,0.7659743,11.04253,6.759654,-9.42832,0.8725072,-6.869511,-11.547842,-0.00094487,0.0017313621,0.0039063008,-0.0048391875,-0.00015291276,0.0012775633,0.0029721258,-0.0033618421,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.08924033850932811,0.018378997909043703,0.25,0.054288767774026275,44.62016925466408,5.835600965548239,53.326850399548235,36.3537425288319,0.0043524667,0.6271612,0.99939287,-0.99933404,5,44.62016925466408,2500,5,500.0,0.0,500,500,0.09887108259879653,0.001493316370891571,0.10142504139930184,0.09601731824645322,49.43554129939829,0.7129946772274744,50.35814328062944,48.45740718985984,49.43554129939829,0.7129946772274744,50.35814328062944,48.45740718985984,-0.00078303105,0.0017921589,0.0022744413,-0.0040622884,5,49.43554129939829,0.03876154404133558,140.23025523405522,145.53316249046475,0.027576315216720104,0.03641792293637991,35.208435175940394,321.0746086826548,519.7478951467201,0
8300,0.03797711,0.036551923,-14.986544,5.450599,0.13614316,5.679177,4.9242606,5.449089,0.12942436,5.6460633,4.910483,5.466547,0.19090295,6.2926035,5.0139136,-9.560403,0.43649778,-8.753906,-11.362973,-0.0002849321,0.01001047,0.017988686,-0.03295587,-0.13289948,0.009140393,-0.10694547,-0.16441907,0.36745062470436096,-23.564329147338867,8300,17,500.0,0.0,500,500,0.0940788356757298,0.02605387860320963,0.25,0.055589214559046723,47.03941783786491,7.054270349036657,57.10203840426092,37.56824376283572,-0.0024829276,0.58961535,0.99914706,-0.9985232,5,47.03941783786491,5000,10,500.0,0.0,500,500,0.09522700945342978,0.0033726195149566766,0.1007034547659246,0.08828977910552743,47.61350472671489,1.5798059113171508,49.60110747293288,45.433317669898344,47.61350472671489,1.5798059113171508,49.60110747293288,45.433317669898344,9.169072e-05,0.010344577,0.013681915,-0.026210072,5,47.61350472671489,0.03843969851732254,145.93572175316513,143.6296398891136,0.02745134476572275,0.027154440991580486,35.49568537529558,325.15409250184894,844.9073946429417,1
10800,0.0061610057,0.0054899724,-14.609758,5.022209,0.09474888,5.1995926,4.6615343,5.029625,0.0943371,5.2082524,4.6980844,5.04565,0.10128515,5.317874,4.756471,-9.595106,0.42890787,-8.6079445,-11.919821,-0.00042065515,0.010060468,0.025186772,-0.02888047,-0.13169822,0.006344136,-0.108686075,-0.16268781,0.13516969978809357,-47.19548797607422,10800,22,500.0,0.0,500,500,0.0954643810747909,0.017911797978449624,0.25,0.061620795428143596,47.73219053739547,4.3405672852178165,53.25854758882397,40.034689748266736,0.00021762357,0.59001404,0.9987233,-0.99765044,5,47.73219053739547,7500,15,500.0,0.0,500,500,0.09840714587074577,0.002335010405964826,0.10359747648879589,0.09496169487125926,49.20357293537287,1.108104417253018,51.01551192935404,47.81332460448792,49.20357293537287,1.108104417253018,51.01551192935404,47.81332460448792,-0.0005836226,0.010512989,0.01839356,-0.021367988,5,49.20357293537287,0.038710942491889,143.48677341546863,143.77746404707432,0.027392880991101265,0.03093051817268133,35.81339525338262,323.17466705758125,1168.087233580649,2
13300,0.0010613863,0.0012184326,-14.566662,5.0373282,0.08605462,5.175355,4.7163696,5.0283146,0.0931504,5.1931853,4.63001,5.026255,0.08677885,5.2049165,4.7194667,-9.545041,0.46331483,-8.644206,-11.508641,-0.0031212287,0.019746646,0.07188373,-0.05166468,-0.11259922,0.0076012644,-0.08612178,-0.14287314,0.04972957819700241,-70.6387939453125,13300,27,500.0,0.0,500,500,0.09268457048113264,0.017044645587408324,0.25,0.06316332004879094,46.34228524056631,4.676558655795456,54.82367445651106,42.739112574269825,0.00019220466,0.59595376,0.9986179,-0.9988336,5,46.34228524056631,10000,20,500.0,0.0,500,500,0.10383821758003582,0.004980571625777017,0.11609145844847654,0.09586160751234227,51.91910879001792,1.547720905890829,53.938102782881494,50.53515858846817,51.91910879001792,1.547720905890829,53.938102782881494,50.53515858846817,-0.0030490933,0.021402698,0.054407384,-0.047131076,5,51.91910879001792,0.03822697885334492,143.95930402260274,144.95868672709912,0.027408652007579803,0.02698857244104147,35.10201171133667,324.1126266643405,1492.204865607433,3
15800,0.0009921519,0.0011153554,-14.577418,5.0187464,0.10495587,5.1953063,4.6060853,5.012221,0.10956238,5.2007823,4.54946,5.0179443,0.110006124,5.26463,4.623802,-9.571314,0.54179513,-8.13848,-10.771576,-0.012095892,0.050713018,0.23777997,-0.15983613,-0.09500164,0.010886781,-0.05992098,-0.13363864,0.018303319811820984,-94.27755737304688,15800,32,500.0,0.0,500,500,0.0962005126494684,0.025962768419649514,0.5251683583974441,0.07057513786488526,48.10025632473417,3.6760789064200354,54.21243082958779,43.58237838739168,-0.009342407,0.60262907,0.9985527,-0.9981777,5,48.10025632473417,12500,25,500.0,0.0,500,500,0.097495305221692,0.011508090151648607,0.25,0.0800646360124497,48.74765261084601,1.5855918720709121,50.6172218374239,46.641288205382864,48.74765261084601,1.5855918720709121,50.6172218374239,46.641288205382864,-0.007601545,0.038196143,0.116794735,-0.11552565,5,48.74765261084601,0.03834216948598623,149.8745932104066,146.32721718773246,0.027120518498122692,0.02758487779647112,34.83474510349333,331.129603067413,1823.3394827926531,4
18300,0.0007783716,0.0006450121,-14.309134,5.077202,0.10565925,5.279492,4.7309585,5.073489,0.11017165,5.285764,4.7056065,5.0733595,0.111711204,5.374467,4.709825,-9.23539,0.9504964,-6.5356374,-11.628651,-0.057910826,0.17449036,0.68914914,-0.7565607,-0.04744293,0.020600395,0.017958395,-0.13151413,0.006763305980712175,-116.0666732788086,18300,37,500.0,0.0,500,500,0.08719473419916401,0.02196424691818344,0.25,0.044549971322702664,43.59736709958203,5.953166874300973,49.72970690960757,35.22393278372757,-0.038699653,0.6153108,0.9987711,-0.9992088,5,43.59736709958203,15000,30,500.0,0.0,500,500,0.1242855381663974,0.06513110295096661,0.25,0.060030052598013584,62.1427690831987,15.960088799000955,82.28300756460149,45.22971664499443,62.1427690831987,15.960088799000955,82.28300756460149,45.22971664499443,-0.035146017,0.1128073,0.49216548,-0.4893364,5,62.1427690831987,0.03865660447627306,149.92877274286002,146.08150879479945,0.026857870630919933,0.03157397732138634,34.6020701918751,330.70944018196315,2154.0539306607097,5
20800,0.0012019207,0.0009567954,-12.497545,5.1054835,0.12600425,5.3365593,4.7653427,5.1009464,0.12620401,5.342327,4.7508,5.1016707,0.12935884,5.436449,4.751623,-7.391911,2.4404373,-0.69811547,-13.556595,-0.14852105,0.46756613,1.6847931,-1.7218432,-0.0154761905,0.087805316,0.15888417,-0.5330753,0.0025648113805800676,-127.60151672363281,20800,42,500.0,0.0,500,500,0.07897304503700414,0.06663629738532129,0.25,0.016762109530793712,39.48652251850203,15.742502638555425,69.00517385053232,28.48494426533989,-0.100073844,0.6480502,0.9996284,-0.99987465,5,39.48652251850203,17500,35,500.0,0.0,500,500,0.14046986581046553,0.08746880176812427,0.25,0.025777582213977787,70.23493290523275,12.82098300152848,86.89696688369216,50.76105918583644,70.23493290523275,12.82098300152848,86.89696688369216,50.76105918583644,-0.10955884,0.30120516,0.8892574,-0.9196602,5,70.23493290523275,0.038740833289921284,156.41440676059574,147.6352829504758,0.02710470836609602,0.031103773042559624,34.081337549723685,338.2279765754938,2492.286883879453,6
23300,0.0014736217,0.00063418446,-2.9227467,5.1912127,0.15159078,5.5785785,4.787308,5.1771574,0.14967336,5.563469,4.78052,5.169694,0.14657523,5.6308603,4.788743,2.2804747,7.2297597,21.005081,-11.694398,-0.43095583,1.0910529,2.8144777,-3.1857786,-0.15252958,0.2073164,0.4393267,-0.8485766,0.0011350481072440743,-79.46428680419922,23300,47,500.0,0.0,500,500,0.07137784810043372,0.028305395374722757,0.25,0.03250443951563611,35.68892405021687,4.900845561353974,39.90133468113792,26.922637081106824,-0.06977666,0.6949888,0.99997807,-0.9993679,5,35.68892405021687,20000,40,500.0,0.0,500,500,0.07276577347722464,0.02879773060864897,0.25,0.022097014331991932,36.38288673861233,6.28905436283209,47.88057096323781,30.508186881755474,36.38288673861233,6.28905436283209,47.88057096323781,30.508186881755474,-0.09028747,0.43720415,0.98018366,-0.99130493,5,36.38288673861233,0.03823407366871834,147.55676179006696,149.76966310758144,0.026523285545408726,0.030587426386773586,34.08222181908786,331.50399150233716,2823.7958949720487,7
25800,0.0010354148,0.0012351021,6.1579514,5.1839294,0.19063495,5.604582,4.020405,5.147196,0.19806728,5.5209265,3.8635085,5.1707134,0.2020665,5.5953774,3.8808422,11.342659,9.461855,43.395836,-9.461489,-0.14999175,1.5901012,4.101259,-3.3972602,-0.24819419,0.28792486,0.4709813,-1.2648457,0.0006597882020287216,-19.46052360534668,25800,52,500.0,0.0,500,500,0.0797481595062047,0.04871418441318728,0.5638713877002071,0.009815743039614022,39.874079753102365,8.32118879819464,52.72613319670085,28.974097294441766,0.0011644511,0.71704966,0.9999083,-0.99995244,5,39.874079753102365,22500,45,500.0,0.0,500,500,0.12481122953693743,0.061802499197721565,0.5597768227806768,0.08602042615834458,62.405614768468716,23.510876521940816,108.3331063898292,43.85538694720323,62.405614768468716,23.510876521940816,108.3331063898292,43.85538694720323,-0.13679056,0.5541753,0.99909323,-0.99927235,5,62.405614768468716,0.037542649544775486,152.39936927426606,151.49690095428377,0.02677713893353939,0.03041842021048069,33.969051285646856,337.9600597228855,3161.7608943646774,8
28300,0.0018104207,0.0014690813,6.438591,5.245821,0.23299256,5.699218,3.9585116,5.2301946,0.23160896,5.689165,3.95841,5.234067,0.23968782,5.7130375,3.9503102,11.694347,9.232163,32.655148,-10.941418,-0.2044278,1.5997663,4.0245347,-4.133,-0.26373985,0.27233362,0.60381585,-1.0129316,0.0005112295038998127,-17.473581314086914,28300,57,500.0,0.0,500,500,0.08088926922104328,0.06948734196652614,0.5387890882854316,0.016241328244623765,40.444634610521646,11.166836516298122,60.71662576524517,29.422206231388948,0.033106897,0.72551256,0.9999999,-0.9999867,5,40.444634610521646,25000,50,500.0,0.0,500,500,0.09699876648068169,0.06511079199681581,0.5656634559108292,0.02988210996501403,48.49938324034083,17.540730119705717,72.56165201645986,21.684159875448238,48.49938324034083,17.540730119705717,72.56165201645986,21.684159875448238,0.056142837,0.67640275,0.99914485,-0.99970245,5,48.49938324034083,0.03844102565199137,158.486962354742,150.79080115631223,0.02663402073085308,0.03157518431544304,33.971504430286586,343.3459181720391,3505.1117966566235,9
