replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,87.650475,87.64426,-9.41721,0.0007355879,0.002617682,0.0130276885,-0.006002984,0.0010638747,0.0017356579,0.006028792,-0.0027273973,9.327541,0.81314933,11.58028,6.8180704,-9.417545,0.8316238,-7.279917,-11.107397,-0.0005433639,0.0013012432,0.0038139704,-0.0047855447,0.00041409722,0.0013319758,0.005040095,-0.0031905465,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.08491942336581174,0.011594751212397022,0.11886554149916984,0.05648350961625852,42.459711682905855,4.191074962599545,50.22607705897113,38.19699045580233,0.003197968,0.6265185,0.9988473,-0.9987846,5,42.459711682905855,2500,5,500.0,0.0,500,500,0.09289544667106857,0.022351128318545868,0.5384958854167571,0.08627770991119126,46.447723335534306,2.3724703018229745,49.376314910537026,43.22446283031041,46.447723335534306,2.3724703018229745,49.376314910537026,43.22446283031041,-0.0006093035,0.0011521112,0.0018970564,-0.0023624995,5,46.447723335534306,0.038141041062772274,142.78273431397974,144.11484054476023,0.028317944146692753,0.07482683565467596,34.9043025393039,321.943163218908,524.2126531023532,0
8300,0.025568688,0.02587173,-14.92101,5.4616914,0.09320784,5.672,5.125062,5.4537983,0.0960939,5.624213,5.037668,5.456672,0.14508545,5.9879313,5.1198235,-9.4781685,0.38342908,-8.580418,-10.298277,0.0007606916,0.010227783,0.030600702,-0.028040161,-0.1276274,0.00992344,-0.10360651,-0.1663297,0.3674520254135132,-23.481992721557617,8300,17,500.0,0.0,500,500,0.08934701335525623,0.027127291023893257,0.5509582373544512,0.04921066360983395,44.67350667762812,5.035643675439733,52.910433373124846,39.26870227319453,-1.7058344e-05,0.5897083,0.9981521,-0.99797994,5,44.67350667762812,5000,10,500.0,0.0,500,500,0.08831285573216512,0.01602020748384555,0.5437220830820557,0.08020358515274974,44.15642786608257,1.247413997675123,45.64399098124745,42.054745642278014,44.15642786608257,1.247413997675123,45.64399098124745,42.054745642278014,0.0013990847,0.0096140625,0.022419708,-0.016814003,5,44.15642786608257,0.03805099334567785,142.10401536617428,142.3207579711452,0.02904496155679226,0.027774269692599773,35.40271948929876,319.9223630512133,844.1400258541107,1
10800,0.004711379,0.0044121165,-14.524058,5.0008993,0.08614698,5.1570563,4.6698127,5.003665,0.081699215,5.18704,4.7445626,5.0001235,0.08699381,5.264392,4.7795506,-9.530884,0.3995646,-8.672652,-11.001632,-0.0005051883,0.0099368105,0.030168407,-0.019787822,-0.12270333,0.008767863,-0.1041089,-0.14580256,0.13517147302627563,-47.066749572753906,10800,22,500.0,0.0,500,500,0.08538624390869745,0.012186024551052704,0.25,0.05485692882430457,42.69312195434873,4.032128581163366,46.75563487380234,36.25504739021843,-0.0018158918,0.5897342,0.9976179,-0.99803674,5,42.69312195434873,7500,15,500.0,0.0,500,500,0.08774858066528197,0.005240705506026734,0.0986500910672368,0.076641900424744,43.874290332640975,2.3606647434465233,47.84648518140388,40.53000271975037,43.874290332640975,2.3606647434465233,47.84648518140388,40.53000271975037,-0.00022213395,0.009948478,0.025983952,-0.015895922,5,43.874290332640975,0.037369717843830585,142.55295331589878,142.22788404580206,0.02892797440290451,0.027556084096431732,35.611958384513855,320.48664952255785,1164.6318651940674,2
13300,0.0012657554,0.0012405491,-14.476414,4.9748683,0.10195668,5.166281,4.6916337,4.971875,0.10272207,5.153044,4.6716413,4.9671674,0.10153289,5.168751,4.6682386,-9.511927,0.43121278,-8.356286,-11.346254,0.0033841352,0.015085924,0.04454538,-0.0657686,-0.112274244,0.0068806736,-0.09137232,-0.14219129,0.04972585663199425,-70.54120635986328,13300,27,500.0,0.0,500,500,0.08788270868512199,0.010306559385694613,0.11063216864610315,0.061409822357277474,43.94135434256099,3.133537640919216,48.713271650237026,40.06399354081298,-0.00011501521,0.5954273,0.9996955,-0.9990244,5,43.94135434256099,10000,20,500.0,0.0,500,500,0.08949399453855306,0.0037444099274066057,0.09498627236160719,0.08199016437848264,44.746997269276534,1.655131378344227,46.77849360542578,42.432910103459925,44.746997269276534,1.655131378344227,46.77849360542578,42.432910103459925,0.00419736,0.014479079,0.02930909,-0.024708621,5,44.746997269276534,0.03773377928882837,142.65529204439372,142.67266490776092,0.028645810671150684,0.030966426245868206,35.225676553323865,320.65097952168435,1485.2880971208215,3
15800,0.00032550434,0.00042750395,-14.573341,4.9930935,0.10358358,5.265623,4.725093,4.995682,0.10730524,5.318477,4.7232456,4.994728,0.10334728,5.250875,4.731552,-9.585821,0.5511696,-8.145804,-11.236034,0.013400344,0.04006425,0.16214086,-0.10192225,-0.098937325,0.009051285,-0.07463409,-0.12685072,0.01830030046403408,-94.33949279785156,15800,32,500.0,0.0,500,500,0.07835359517984726,0.01567974044480531,0.11223108452490413,0.040648994498590565,39.1767975899236,3.760626052805099,45.13457339388391,34.23667235471318,0.008750869,0.5991512,0.9974934,-0.99932826,5,39.1767975899236,12500,25,500.0,0.0,500,500,0.1739957316266874,0.17863345985692053,0.5502723516458864,0.07040552542314879,86.99786581334371,89.2835564195838,265.5361474679191,40.22311885822687,86.99786581334371,89.2835564195838,265.5361474679191,40.22311885822687,0.010990035,0.037454307,0.12726317,-0.08127556,5,86.99786581334371,0.03740209713578224,148.87104247976094,144.75538705755025,0.028682232834398746,0.02702621929347515,34.9252936411649,328.64483372773975,1813.938123988919,4
18300,0.0002456082,0.0003144439,-14.394079,5.0757365,0.120183215,5.4305058,4.784504,5.076421,0.122070506,5.458328,4.7880793,5.0720396,0.11877842,5.4305162,4.7910542,-9.32129,0.8292055,-7.009177,-11.176921,0.03197185,0.11701647,0.4603996,-0.5090088,-0.049335215,0.019404132,0.027210265,-0.11024028,0.006748731713742018,-116.54594421386719,18300,37,500.0,0.0,500,500,0.07405225886854525,0.015950733794192904,0.25,0.03623672876067649,37.026129434272626,3.7448014011733353,41.66006737593921,31.25366514719552,0.014930214,0.61387575,0.9994778,-0.9991106,5,37.026129434272626,15000,30,500.0,0.0,500,500,0.06264375360607291,0.014878179053894394,0.09586794866638196,0.03376905103657454,31.321876803036456,2.8708806739533523,33.98657328787565,27.401568542705835,31.321876803036456,2.8708806739533523,33.98657328787565,27.401568542705835,0.023084871,0.08680662,0.31203344,-0.29461655,5,31.321876803036456,0.037890282459557056,143.71407968830317,143.6341677736491,0.02820674516260624,0.026660051196813583,34.92910061310977,322.370105153881,2136.313248977065,5
20800,0.0007986019,0.0012205341,-12.950114,5.106283,0.14179324,5.699873,4.772309,5.106106,0.14447854,5.7005634,4.7449427,5.1027536,0.13755152,5.643256,4.7538385,-7.843233,2.0712113,-1.1885427,-13.082467,0.16344647,0.40019274,1.5631104,-1.2161994,-0.01627233,0.049226895,0.13335122,-0.2658338,0.0025339042767882347,-130.55841064453125,20800,42,500.0,0.0,500,500,0.05436252624228891,0.02367056465794451,0.10117003793485596,0.016242859588835187,27.18126312114446,1.7848766277185137,29.834213567686565,24.326695940169515,0.08575419,0.63806444,0.9997667,-0.9996109,5,27.18126312114446,17500,35,500.0,0.0,500,500,0.06151051506951935,0.01631074636000416,0.09697901267628511,0.026511170501514775,30.755257534759686,2.397654852370975,34.47077998974938,27.4170891000319,30.755257534759686,2.397654852370975,34.47077998974938,27.4170891000319,0.13607988,0.24454397,0.8784777,-0.81474084,5,30.755257534759686,0.03824383020401001,144.39051243197173,143.09603596199304,0.02858162112534046,0.030901088379323483,34.41500646062195,321.9992813942954,2458.3175755944103,6
23300,0.0012148487,0.0007554465,-6.2681065,5.0917807,0.23080581,5.6745567,3.3569713,5.104813,0.23677368,5.678907,3.3102129,5.108962,0.2357897,5.6479115,3.343808,-1.1615818,5.93545,25.280903,-11.864834,0.29658297,0.8960311,2.6693664,-2.3398573,-0.07870484,0.2082574,0.44286188,-0.77049327,0.0010777779389172792,-103.58595275878906,23300,47,500.0,0.0,500,500,0.07105659803033172,0.026450369325105073,0.25,0.008127181592869112,35.52829901516584,7.086379476939266,43.122184672891166,22.69564855553578,0.1565834,0.68040466,0.999978,-0.99980557,5,35.52829901516584,20000,40,500.0,0.0,500,500,0.06014968389637122,0.03398846136388327,0.5357547866228805,0.004881606877319644,30.07484194818561,11.192921171705244,41.37910338109908,9.64342404443868,30.07484194818561,11.192921171705244,41.37910338109908,9.64342404443868,0.18037951,0.51763207,0.9993659,-0.99378794,5,30.07484194818561,0.03714910428971052,148.78492870088667,144.4134325897321,0.027948529459536076,0.02643873728811741,34.53774884250015,327.8276465041563,2786.1503643654287,7
25800,0.0020434894,0.0019642285,1.3008313,5.123458,0.2968037,5.6279316,3.7403178,5.1310163,0.298368,5.644756,3.7274265,5.13124,0.30229864,5.6129007,3.6059463,6.45029,7.5203815,29.123837,-9.770029,0.2966216,1.3639668,3.666584,-4.142616,-0.1984435,0.2653378,0.5818127,-1.0566729,0.0005956765380688012,-56.059547424316406,25800,52,500.0,0.0,500,500,0.04833116873216681,0.027345535754845895,0.10534215760206427,0.009421190013797251,24.165584366083408,3.9837709749371784,28.472739709682774,18.899353602302963,0.20863235,0.7404825,1.0,-0.9999998,5,24.165584366083408,22500,45,500.0,0.0,500,500,0.05199652230176604,0.03423212185129845,0.25,0.008735357667452273,25.998261150883017,6.027641712861036,32.130878043284106,16.45340707171631,25.998261150883017,6.027641712861036,32.130878043284106,16.45340707171631,0.24539794,0.6910736,1.0,-1.0,5,25.998261150883017,0.03708056919276714,143.78643390256912,143.91625697351992,0.028158502653241158,0.031323944218456745,34.09806203749031,321.8973159296438,3108.052573783323,8
28300,0.0013626374,0.0011047799,6.4191318,5.1761093,0.34953085,5.654522,3.4756582,5.158079,0.35034552,5.6636724,3.4670734,5.1693134,0.3573543,5.6653233,3.454388,11.603388,9.7352,45.80415,-7.2637596,0.09151714,1.6059123,4.826478,-5.369265,-0.26173714,0.2659455,0.6464274,-1.34846,0.0004221269045956433,-18.621524810791016,28300,57,500.0,0.0,500,500,0.04758039678735428,0.019230600503422204,0.10259476763436207,0.012030533714936939,23.790198393677137,4.300429412203115,30.623851986973744,17.10107501510978,0.10929799,0.80043197,1.0,-0.99999994,5,23.790198393677137,25000,50,500.0,0.0,500,500,0.06595673023916562,0.018494497803742772,0.10956721956099906,0.03450257634681339,32.978365119582804,6.88618687754067,43.52797390168667,23.84652256795513,32.978365119582804,6.88618687754067,43.52797390168667,23.84652256795513,0.18933254,0.738249,0.99999577,-0.9999954,5,32.978365119582804,0.037364937365055084,152.3644019588828,145.99810308311135,0.02782763633877039,0.02658761292695999,34.162159318104386,332.6164445467293,3440.6740419641137,9
