replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,88.777534,88.54724,-9.400751,-0.011521755,0.0015840606,-0.00852887,-0.016225658,0.0007562358,0.0015319246,0.004331007,-0.003231769,9.378147,0.7823439,11.810777,7.067839,-9.412149,0.8272419,-6.7572436,-12.280923,0.00026751737,0.0017075107,0.0043985974,-0.0035596823,0.000185604,0.0014063076,0.0054247226,-0.0031715564,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.016056389926024178,0.02182306891709367,0.16504776613834612,1.3985023065081018e-05,8.028194963012087,2.5536293525553684,11.479598818045627,4.025719205159143,0.002299483,0.62978554,0.9996145,-0.9990815,5,8.028194963012087,2500,5,500.0,0.0,500,500,0.047233148830378414,0.019444453434129545,0.06692804309697226,0.016142821921281414,23.616574415189202,9.658648956365276,33.32811905521634,9.650091155286939,23.616574415189202,9.658648956365276,33.32811905521634,9.650091155286939,0.00015482449,0.0015061417,0.0023745664,-0.002461661,5,23.616574415189202,0.03770228382200003,158.3315392807126,157.45524101518095,0.02542698848992586,0.04614073131233454,33.257863205857575,349.1539135053754,560.9834683537483,0
8300,0.029507674,0.029574925,-14.841487,5.330288,0.06800644,5.489316,5.097839,5.324094,0.07299886,5.529057,5.101448,5.337165,0.16871387,5.8237205,5.0227947,-9.527,0.49198028,-8.606975,-11.9412565,0.0031536974,0.009791006,0.02511664,-0.017508501,-0.115771964,0.010315842,-0.08345187,-0.1440756,0.3674721121788025,-23.529537200927734,8300,17,500.0,0.0,500,500,0.008115147083283456,0.014164842715880675,0.1267407633391335,0.00011292301927812165,4.057573541641732,1.5298764199470052,5.907753974257858,1.3032149651214744,0.0037857082,0.5913738,0.9984267,-0.99858165,5,4.057573541641732,5000,10,500.0,0.0,500,500,0.06499586801706651,0.029414710788913095,0.10763893791224827,0.022090076853970887,32.49793400853324,13.91902087513043,46.49715448191265,14.525797570097028,32.49793400853324,13.91902087513043,46.49715448191265,14.525797570097028,0.003079367,0.009411723,0.020082027,-0.0143501405,5,32.49793400853324,0.03813944850116968,163.1995483879,154.39311032090336,0.0260178679600358,0.03505114745348692,33.83213733509183,351.5240045078099,912.5125316577032,1
10800,0.0051280283,0.004914922,-14.354064,4.8317595,0.07521452,4.9879203,4.519731,4.831088,0.07566385,4.9923415,4.545945,4.8333216,0.09906307,5.151361,4.580742,-9.533857,0.48757368,-8.404724,-11.056099,-0.00434416,0.015604821,0.026427822,-0.039060134,-0.11844439,0.007650833,-0.09200054,-0.14146824,0.13517959415912628,-47.071266174316406,10800,22,500.0,0.0,500,500,0.01731127731158256,0.02015192834839574,0.10998448404666858,8.441512108325888e-06,8.655638655791273,3.7397509416270673,13.873216243187564,4.582986541748585,-0.002797267,0.59008676,0.9988615,-0.99961716,5,8.655638655791273,7500,15,500.0,0.0,500,500,0.04276107237357028,0.02074387660503078,0.07887689357814498,0.0106968479411594,21.380536186785143,6.05385164156215,28.97759741550801,11.335473129111445,21.380536186785143,6.05385164156215,28.97759741550801,11.335473129111445,-0.004665293,0.016213572,0.024638714,-0.037604235,5,21.380536186785143,0.037069589830935,155.78109194897115,157.24239051155746,0.025832917541265488,0.03472376335412264,33.758645467460155,346.8797541987151,1259.3973964536563,2
13300,0.0011686592,0.001498949,-14.292402,4.7331195,0.10710289,4.924002,4.0429497,4.732827,0.110482,4.9124756,4.0018406,4.7322845,0.10742955,4.94664,4.1039476,-9.568062,0.4251987,-8.411938,-10.442911,-0.0057237647,0.020774258,0.047866423,-0.06828755,-0.11953412,0.007289183,-0.09779213,-0.14608698,0.04973188042640686,-70.70674133300781,13300,27,500.0,0.0,500,500,0.013037961408574052,0.016817410511486438,0.12449489174555192,9.486173303661452e-05,6.518980704287031,3.2014304277031336,11.270863547069306,2.680513679724472,-0.0015157282,0.5947103,0.9995223,-0.9990602,5,6.518980704287031,10000,20,500.0,0.0,500,500,0.05724026968171661,0.0251421478992614,0.1182626552218007,0.00982415270345314,28.620134840858306,9.671962847051141,45.8502246921274,18.2125950872015,28.620134840858306,9.671962847051141,45.8502246921274,18.2125950872015,-0.007967294,0.019448774,0.031904817,-0.057114452,5,28.620134840858306,0.038150048814713955,162.10017677024007,154.54930025245994,0.026644153520464897,0.03581785410642624,34.63028010725975,351.38036918640137,1610.7827469045296,3
15800,0.0006781027,0.0007267479,-14.267894,4.6694384,0.1235462,4.8605723,3.9643095,4.6699505,0.123514056,4.855776,3.9459617,4.6695714,0.13039382,4.8911567,3.9629233,-9.604334,0.63117075,-7.8876147,-14.032284,-0.0133874845,0.046717823,0.14530379,-0.23235025,-0.099537216,0.009390012,-0.06907493,-0.12694742,0.018302857875823975,-94.41020965576172,15800,32,500.0,0.0,500,500,0.0320928996707997,0.034470205971426346,0.17242569542584044,8.60488388509939e-06,16.046449835399855,10.740530828102312,30.87863466842491,2.6341047574249674,-0.01728325,0.59612244,0.9989181,-0.999751,5,16.046449835399855,12500,25,500.0,0.0,500,500,0.03827900946465195,0.03312240108880431,0.1203660743940258,0.00011444169823362123,19.139504732325967,2.6536879830931386,22.483340933487383,14.661450925828953,19.139504732325967,2.6536879830931386,22.483340933487383,14.661450925828953,-0.024105359,0.053247564,0.08082471,-0.19297056,5,19.139504732325967,0.03721031080931425,165.87208490632474,157.48326872847974,0.02672469988465309,0.028479608707129955,35.66337313875556,359.11114139296114,1969.8991832742468,4
18300,0.0005328539,0.0006783088,-13.99739,4.6541166,0.12643094,4.879463,4.1897373,4.657301,0.12658396,4.8897934,4.2273026,4.647753,0.1311921,4.957185,4.1366696,-9.346731,0.6791249,-7.8273683,-11.294953,-0.040701754,0.11369564,0.38436806,-0.49713224,-0.063182235,0.021013867,0.031163983,-0.114054136,0.00675056641921401,-116.66674041748047,18300,37,500.0,0.0,500,500,0.020728753633813338,0.02645509830508621,0.19442164685102403,4.445004636890089e-05,10.364376816906672,5.02456758756685,19.807991827384612,4.8249483297589455,-0.017074848,0.6119842,0.9989553,-0.99890304,5,10.364376816906672,15000,30,500.0,0.0,500,500,0.05352948220906856,0.04682127872780426,0.16674573992446384,0.00046963156018301844,26.764741104534295,4.980590603853101,34.55685675055676,21.399148546071604,26.764741104534295,4.980590603853101,34.55685675055676,21.399148546071604,-0.027945274,0.070073836,0.2306035,-0.34800476,5,26.764741104534295,0.038562359288334846,170.4984415154904,159.30909184738994,0.02634710818529129,0.03507163282483816,34.81777026038617,364.725284723565,2334.629741000943,5
20800,0.000553043,0.000772555,-12.250171,4.5826483,0.20779505,4.8947797,3.8136241,4.579872,0.20564185,4.870532,3.8585172,4.581765,0.2132748,4.9533796,3.7033286,-7.6706038,2.448808,1.2303884,-12.200806,-0.07704679,0.4033967,1.4644856,-2.187108,0.018752748,0.05174464,0.24714483,-0.14009856,0.0025232324842363596,-129.61744689941406,20800,42,500.0,0.0,500,500,0.00912404888891519,0.018384244236872627,0.11094403277829852,1.6953917899205823e-10,4.562024444457592,3.781268936113295,10.958581207378597,1.0555731020830545,-0.059258156,0.6555673,0.99987054,-0.99998033,5,4.562024444457592,17500,35,500.0,0.0,500,500,0.004459557202042538,0.009386005564123029,0.09178273051309127,4.921899499077398e-09,2.2297786010212697,1.0069570029743204,3.6522284828229625,1.042910483730237,2.2297786010212697,1.0069570029743204,3.6522284828229625,1.042910483730237,-0.106081866,0.28544176,0.723238,-0.946045,5,2.2297786010212697,0.03685145266354084,161.07445885799825,154.441620872356,0.025368445552885532,0.02792404592037201,33.859256559982896,349.46548023447394,2684.100377533585,6
23300,0.0006049088,0.0012869176,-8.107273,4.561948,0.20820346,4.8949933,3.8525577,4.589113,0.2090923,4.9231095,3.7645898,4.570168,0.20765007,4.946104,3.8367212,-3.535914,4.33259,12.908894,-13.2081,-0.13934524,0.82496744,2.9377584,-2.4013126,-0.035038915,0.15260807,0.6963419,-0.6317866,0.0010523630771785975,-120.22544860839844,23300,47,500.0,0.0,500,500,0.003101727126336486,0.00986934335539673,0.08827849314662381,4.01682391052797e-12,1.5508635631682428,1.197383382173948,3.92988421869191,0.7771257098773436,0.056338973,0.694303,0.99995077,-0.99979633,5,1.5508635631682428,20000,40,500.0,0.0,500,500,0.002367589368601831,0.011086225332028993,0.09546553118854197,2.700361786030688e-10,1.1837946843009157,0.5782527435331337,2.06626589488652,0.5607583484833107,1.1837946843009157,0.5782527435331337,2.06626589488652,0.5607583484833107,0.101828106,0.5469932,0.99521184,-0.9976152,5,1.1837946843009157,0.03748480696231127,158.2489865794778,154.28450759220868,0.025180784985423088,0.02784887980669737,33.490361761301756,346.11437040474266,3030.219717256725,7
25800,0.0010903713,0.0007443427,4.015114,4.4805765,0.2781205,4.927635,2.8191848,4.456165,0.28244418,4.94089,2.8897114,4.468548,0.28580925,4.9737053,2.802671,8.49843,9.086845,41.479385,-9.0075245,-0.21365952,1.4513857,3.82309,-3.4026964,-0.2116467,0.23756978,0.70799094,-1.1724298,0.0005694644059985876,-41.0989875793457,25800,52,500.0,0.0,500,500,0.0024803953140442457,0.010022235073560568,0.14123100425291982,2.4130251500646216e-10,1.2401976570221227,0.2677110429395917,1.5372937693980409,0.899822395038036,-0.006687503,0.73186177,0.99999964,-0.99998283,5,1.2401976570221227,22500,45,500.0,0.0,500,500,0.0026420113957958996,0.009678882939334749,0.09768768598515311,4.139367367391363e-10,1.3210056978979503,0.3271538373420671,1.7221864609779982,0.8683733683651436,1.3210056978979503,0.3271538373420671,1.7221864609779982,0.8683733683651436,0.044358984,0.71134764,0.9999813,-0.99984074,5,1.3210056978979503,0.036919391714036465,156.56655473913997,159.13278728164732,0.0251778457313776,0.03398953936994076,33.354256574995816,349.14968537259847,3379.374430754222,8
28300,0.0016122496,0.0021497072,7.3345904,4.488365,0.29696912,4.94759,2.8661404,4.4737835,0.2979616,4.9326663,2.87529,4.495775,0.31141645,5.031676,2.857034,11.8249,8.826605,34.73843,-9.936882,-0.08567025,1.6346202,4.559919,-4.732906,-0.30878943,0.22068067,0.8084349,-0.9322314,0.0004238916444592178,-16.891708374023438,28300,57,500.0,0.0,500,500,0.004321134581963145,0.013876638158241639,0.1146909604448735,3.808064974464287e-14,2.1605672909815694,0.7813495356742788,3.6472245494959656,1.349855930239099,0.15469608,0.7801407,0.99999994,-0.99999964,5,2.1605672909815694,25000,50,500.0,0.0,500,500,0.004783291533787623,0.018891055418817707,0.1581145811023069,1.6786572132332367e-13,2.3916457668938094,1.1441201487030503,3.965590717926437,0.8649627062618893,2.3916457668938094,1.1441201487030503,3.965590717926437,0.8649627062618893,0.011927157,0.6951497,0.9999953,-0.99993384,5,2.3916457668938094,0.03781076334416866,156.3003752110526,154.15292133390903,0.02519576344639063,0.03392213303595781,33.393637890927494,343.94386309571564,3723.3231805227697,9
