replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,87.54946,87.703674,-9.351769,-0.00046825607,0.002041654,0.004263908,-0.0054963315,-0.008748024,0.0017808226,-0.0040735616,-0.014596556,9.324779,0.7675019,11.236703,7.1620593,-9.360693,0.8355531,-6.86672,-11.332768,-0.00050793565,0.0012669981,0.0025472124,-0.0039846227,-0.00044478668,0.001379312,0.0044613024,-0.0031844948,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.020729035385569302,0.026194828321162506,0.16913270544252268,2.401077043597451e-05,10.36451769278465,5.031878355707492,15.227607105648525,1.4606631529174399,0.0020191872,0.6268983,0.99964184,-0.9995545,5,10.36451769278465,2500,5,500.0,0.0,500,500,0.03418337759416501,0.027756963422689386,0.07466752839444335,0.0018367450005423538,17.091688797082515,13.85977808286038,35.39468100637551,0.9441708167353946,17.091688797082515,13.85977808286038,35.39468100637551,0.9441708167353946,-0.0006906638,0.0012362191,0.0013884432,-0.0031094344,5,17.091688797082515,0.036969599314033985,148.7810314670205,152.77309021074325,0.02453408297151327,0.039711322635412216,31.844401605427265,333.499738288112,547.1220443779603,0
8300,0.020394562,0.02118406,-14.962989,5.3892307,0.08202321,5.577203,5.1345263,5.3900185,0.07948708,5.5605955,5.1437817,5.4228754,0.13427441,5.8480783,5.1214647,-9.589266,0.4237021,-8.678659,-10.958081,0.0014936922,0.011872677,0.02985637,-0.029026162,-0.135169,0.01003385,-0.09871642,-0.15923695,0.3674345314502716,-23.594226837158203,8300,17,500.0,0.0,500,500,0.015270681012154199,0.0261925641499178,0.1926217769616653,0.00013643211778113784,7.635340506077104,4.772541355451738,14.565256362360433,2.2165257673599466,0.003974045,0.58947927,0.9992203,-0.99816126,5,7.635340506077104,5000,10,500.0,0.0,500,500,0.017466941351005773,0.011889556573909138,0.047840850423022,0.0015381162905385715,8.733470675502888,4.876458493810777,15.909967844556212,1.685561403000313,8.733470675502888,4.876458493810777,15.909967844556212,1.685561403000313,0.001531185,0.011968288,0.027409203,-0.018161833,5,8.733470675502888,0.0364506971091032,148.94189897738397,150.21701502799988,0.02458520606160164,0.027161607518792152,32.55183475743979,331.79894627351314,878.9259456284344,1
10800,0.00582624,0.005792629,-14.389873,4.9131308,0.084773816,5.1178184,4.640926,4.9138474,0.08896818,5.105741,4.536846,4.9188476,0.09997569,5.2466927,4.564094,-9.48358,0.43683264,-8.374279,-11.616615,0.0010657058,0.012235567,0.02447648,-0.02545717,-0.12611105,0.0074366303,-0.10857305,-0.1520063,0.1351616084575653,-46.97384262084961,10800,22,500.0,0.0,500,500,0.01766722570488618,0.0256666420006751,0.22791491012029813,0.00011568673914993018,8.833612852443094,7.763484828077656,21.55131757916349,0.41123910590125295,-0.001840828,0.5896245,0.9991453,-0.9982776,5,8.833612852443094,7500,15,500.0,0.0,500,500,0.006589444230188199,0.0062654962603314445,0.028421221954018396,0.0008702936748871866,3.294722115094101,2.6913504627155738,8.389294269500498,0.9622878676460278,3.294722115094101,2.6913504627155738,8.389294269500498,0.9622878676460278,0.0011327198,0.012227438,0.022886122,-0.022470629,5,3.294722115094101,0.03631621412932873,149.14042975287884,151.46730737946928,0.02465067896991968,0.030608028173446655,32.10936798527837,332.8086800388992,1211.7394969165325,2
13300,0.001562668,0.0016912206,-14.326315,4.824773,0.083698794,4.967912,4.5826693,4.8244114,0.08467206,4.969078,4.574662,4.830745,0.08879612,5.0659885,4.6255054,-9.510395,0.398575,-8.196266,-10.482789,0.0013595165,0.01573769,0.04131336,-0.032246128,-0.11665474,0.005805576,-0.09968403,-0.13536774,0.04972551017999649,-70.53675079345703,13300,27,500.0,0.0,500,500,0.017787102393824666,0.021882013054005747,0.15150995565847591,0.00011855567528397855,8.893551196912338,5.771310379092519,17.03907701729946,3.0707173991894976,0.0047602844,0.5953291,0.9990672,-0.99877524,5,8.893551196912338,10000,20,500.0,0.0,500,500,0.005975368021465535,0.0073369093694676795,0.03554902275223715,0.00023502679337387514,2.9876840107327682,2.2624156887059357,6.459717838512275,0.26682691455495855,2.9876840107327682,2.2624156887059357,6.459717838512275,0.26682691455495855,0.0011609242,0.015894447,0.034572873,-0.028311605,5,2.9876840107327682,0.036195497028529644,151.04979156330228,151.0780841866508,0.0244916845113039,0.03110414743423462,31.913277967832983,334.13294504676014,1545.8772506061941,3
15800,0.00068655174,0.000716865,-14.278881,4.791113,0.08961145,4.954726,4.5209417,4.7898083,0.091119274,4.9664936,4.4980903,4.7809196,0.09404606,5.0237207,4.4572372,-9.492959,0.53839386,-8.386861,-11.798839,-0.0023011887,0.023197312,0.04566384,-0.05581265,-0.10009426,0.006247533,-0.07614151,-0.12303603,0.018295999616384506,-93.97354125976562,15800,32,500.0,0.0,500,500,0.014749580092120499,0.017355776658768158,0.10456966488914024,9.006706661688716e-06,7.374790046060251,1.4964467144955793,9.444509263375975,5.399092459986383,-0.0035499665,0.59840596,0.99830395,-0.99958456,5,7.374790046060251,12500,25,500.0,0.0,500,500,0.012116119848169089,0.021328051179312975,0.07437178680080792,0.00016151900782029882,6.0580599240845485,10.326281602836323,26.691364401305187,0.16717308280180207,6.0580599240845485,10.326281602836323,26.691364401305187,0.16717308280180207,-0.004232253,0.024961863,0.038657084,-0.049089782,5,6.0580599240845485,0.036698286421597004,153.97728022001684,151.6261426731944,0.024793745949864388,0.030283913016319275,31.763287969864905,337.45848680846393,1883.3405935838819,4
18300,0.00051747856,0.0005037823,-14.173644,4.721756,0.13766244,4.9802814,4.23612,4.7178254,0.13846128,4.961515,4.22844,4.7176905,0.14073907,5.0788794,4.251144,-9.458064,0.74592495,-7.6224446,-11.30204,-0.018269781,0.08862631,0.25676355,-0.3438268,-0.061622493,0.014258536,-0.020156205,-0.10587686,0.006741359829902649,-117.25507354736328,18300,37,500.0,0.0,500,500,0.01939257664289446,0.03034518074382031,0.19316993174411817,0.00024386664148695614,9.696288321447232,6.894443490963479,20.56527169004207,0.9112287928665699,-0.013585431,0.6117769,0.9991371,-0.99908996,5,9.696288321447232,15000,30,500.0,0.0,500,500,0.007366300761413621,0.011206483109776979,0.07996056056169573,0.0002014815580313652,3.683150380706805,3.7448449579863503,8.695517260160484,0.20826107735337518,3.683150380706805,3.7448449579863503,8.695517260160484,0.20826107735337518,-0.012592058,0.05395929,0.17449728,-0.29970637,5,3.683150380706805,0.0366633590310812,158.53513432200998,153.1376915462315,0.024126789532601833,0.030944863334298134,31.62680160999298,343.39136249013245,2226.7367031220347,5
20800,0.0005015651,0.00056963577,-12.875431,4.665106,0.16032323,4.92656,4.154273,4.669549,0.15857467,4.93335,4.206567,4.6705713,0.16293131,4.9612775,4.1653,-8.205248,1.996132,-2.1124487,-13.07872,-0.06797577,0.35852537,1.0314252,-1.3315823,-0.022112977,0.048042398,0.12438138,-0.25938523,0.0025152333546429873,-132.88577270507812,20800,42,500.0,0.0,500,500,0.011662606510901894,0.023313366093980565,0.19192412267072811,4.1108481433719624e-10,5.831303255450943,3.2649377278301897,11.817652021151735,2.1964498525646934,-0.009793659,0.6424656,0.99980146,-0.9997633,5,5.831303255450943,17500,35,500.0,0.0,500,500,0.05335268049677193,0.08496602407378606,0.44012118545000406,0.0,26.676340248385962,29.20110621740111,82.32106000412361,4.7106796466934435,26.676340248385962,29.20110621740111,82.32106000412361,4.7106796466934435,-0.011917706,0.2086636,0.7608944,-0.9301608,5,26.676340248385962,0.03696626052260399,163.202271040529,154.30500620789826,0.024266096763312817,0.026131550781428814,32.26015964988619,349.8548008063808,2576.596172680147,6
23300,0.002042171,0.0019690574,-5.897331,4.590232,0.2848146,4.989601,3.4478958,4.5902305,0.2884577,4.995112,3.4418676,4.5919447,0.27560028,5.053417,3.540316,-1.295706,4.7640295,12.375788,-11.572995,-0.13344921,0.935804,2.7523696,-2.3880756,-0.08072462,0.17605726,0.5462286,-0.71572846,0.0010375105775892735,-105.08419036865234,23300,47,500.0,0.0,500,500,0.005930908103658,0.020828158792437004,0.32192153253485817,1.7623382753129135e-09,2.965454051828998,2.032028696449292,5.986709513289716,1.1167090372639625,0.09723889,0.69745153,0.9999734,-0.99988985,5,2.965454051828998,20000,40,500.0,0.0,500,500,0.004039294208842584,0.010588418863906093,0.09261703633301557,0.0,2.019647104421291,1.4388564677291027,4.310407125164266,0.4144218833316353,2.019647104421291,1.4388564677291027,4.310407125164266,0.4144218833316353,0.09110439,0.53763264,0.99677455,-0.99991226,5,2.019647104421291,0.036101807840168476,155.1946833608672,153.92936982493848,0.024473304860293865,0.031386720947921276,31.45456222165376,340.6705772411078,2917.271409075707,7
25800,0.0010482669,0.0007799227,2.2974238,4.5177574,0.31044558,5.053499,3.2447145,4.5061703,0.3089349,5.0395756,3.2023392,4.505239,0.3110884,5.09608,3.2055504,6.8228283,8.863901,33.61446,-8.292582,-0.25595546,1.3839037,4.0650487,-4.653338,-0.1487374,0.275559,0.7038502,-1.1250451,0.0005364242242649198,-54.04473876953125,25800,52,500.0,0.0,500,500,0.006793031014331036,0.021224391182073178,0.22920085588206607,3.1078843202673545e-13,3.3965155071655224,1.965004331847148,6.748949800767272,1.1514195879188271,0.0725993,0.7602536,0.9999997,-0.99999684,5,3.3965155071655224,22500,45,500.0,0.0,500,500,0.014740303861593333,0.02533102602530458,0.17941505844152172,0.0,7.370151930796666,4.430018097148564,14.269774365713147,1.502833203572797,7.370151930796666,4.430018097148564,14.269774365713147,1.502833203572797,0.0045765163,0.6178473,0.99933225,-0.9992067,5,7.370151930796666,0.037287856452167034,159.30407841410488,155.88881455827504,0.023737015202641487,0.030421885661780834,31.38754105102271,346.6718807807192,3263.948036116548,8
28300,0.0036192737,0.0038820663,10.619056,4.4535174,0.43607104,5.0374894,2.7916021,4.460168,0.4322456,5.0632725,2.864265,4.458462,0.45011964,5.1535125,2.682218,15.090166,9.978259,55.412148,-10.666435,-0.40482333,1.6892735,4.820393,-5.050314,-0.33151552,0.24459697,0.54583055,-1.2381561,0.00038938067154958844,8.558874130249023,28300,57,500.0,0.0,500,500,0.043237924499021585,0.07187666679953802,0.22368503693688174,6.476300976980079e-16,21.618962249510783,22.822999044731812,53.411648161844,0.588540341121244,-0.0013930734,0.80348206,1.0,-1.0,5,21.618962249510783,25000,50,500.0,0.0,500,500,0.031100316146625465,0.060909488020249855,0.2118713252818003,1.4432899320127035e-15,15.550158073312735,20.88021106846381,56.743584368434824,1.4257133820584234,15.550158073312735,20.88021106846381,56.743584368434824,1.4257133820584234,0.06183496,0.7995804,0.99999994,-1.0,5,15.550158073312735,0.036098466254770756,150.74392469692975,156.32068105693907,0.024505943059921265,0.029857749119400978,31.350870120339096,338.505938032642,3602.4586274120957,9
