replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,71.13104,71.28838,-8.048423,0.0025638686,0.0019257193,0.006423521,-0.0045942385,-0.0068289833,0.0015576918,-0.0033807238,-0.011646652,8.40061,0.7767944,10.39779,6.772879,-8.055389,0.7024312,-6.204858,-9.727081,0.0009619074,0.0011290014,0.0044450406,-0.0025392491,-0.0002783731,0.0013664637,0.00436012,-0.0043945136,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.47384140669063074,0.0895047162761212,0.6875840927522296,0.22777108617795344,236.9207033453153,11.58369792865788,249.55429494844358,222.49347662600528,0.0049862503,0.6281941,0.99972486,-0.99908537,5,236.9207033453153,2500,5,500.0,0.0,500,500,0.5148827207736723,0.006187478702264836,0.5278416868557465,0.5075659321013294,257.4413603868362,2.715708202571886,260.91180466053095,254.66981025435163,257.4413603868362,2.715708202571886,260.91180466053095,254.66981025435163,0.000833951,0.00078550103,0.002231034,-0.000980529,5,257.4413603868362,0.034859792329370975,99.32256309688091,102.59958601742983,0.02696123719215393,0.04145378991961479,31.939313305541873,233.96473723929375,373.7962991213426,0
8300,0.04922803,0.05295728,-13.488866,5.2845,0.14278015,5.69223,4.796856,5.282563,0.14902146,5.6977854,4.7325773,5.3114767,0.2184579,6.906356,4.9877315,-8.220681,0.45729437,-6.9146338,-9.670347,-0.0027821597,0.01130122,0.036784142,-0.030347886,-0.119274534,0.012975082,-0.07887554,-0.16408786,0.36743518710136414,-20.22488784790039,8300,17,500.0,0.0,500,500,0.4992175072206939,0.07317005370796915,0.682770496943428,0.28288071051399744,249.60875361034692,14.185092217691743,267.17086534031085,225.58597577438766,-0.0054550185,0.5929908,0.9987133,-0.99837196,5,249.60875361034692,5000,10,500.0,0.0,500,500,0.5525502100770507,0.021877824074041208,0.5844347417052052,0.4959591491538664,276.27510503852545,6.3011796066534655,283.46085701319953,266.1727743494057,276.27510503852545,6.3011796066534655,283.46085701319953,266.1727743494057,-0.0039635706,0.011101325,0.025211174,-0.021632705,5,276.27510503852545,0.03509775083512068,100.71806064900011,99.72219653055072,0.027175973169505596,0.026594391092658043,32.3475281894207,232.8766534840688,606.6779531119391,1
10800,0.006025175,0.0067090504,-13.474035,5.2438736,0.15035966,5.6330805,4.7110653,5.2540846,0.15367597,5.5960226,4.73775,5.224801,0.16174899,5.5392923,4.7452874,-8.241484,0.43235296,-7.4599357,-10.194332,-0.0035286173,0.011015949,0.025473218,-0.03719218,-0.12712525,0.0063987435,-0.10430295,-0.14242941,0.13515377044677734,-40.489891052246094,10800,22,500.0,0.0,500,500,0.4678166503846367,0.08614433335234947,0.6740379875057771,0.25655122541786674,233.9083251923184,14.457993669873625,254.56770936477008,215.00924487080573,0.0041928026,0.58872044,0.9973917,-0.99937826,5,233.9083251923184,7500,15,500.0,0.0,500,500,0.5061422532770965,0.014332814030140471,0.557259066024375,0.47620590082894565,253.07112663854832,2.387292200164316,255.8331926737874,249.68784359781242,253.07112663854832,2.387292200164316,255.8331926737874,249.68784359781242,-0.0035063068,0.010934833,0.021173352,-0.032215144,5,253.07112663854832,0.034730520099401474,97.38414145261049,99.72112556640059,0.0272739352658391,0.031429472379386425,31.80857746861875,229.00727841537446,835.6901808651164,2
13300,0.0026692622,0.0029897876,-13.641984,5.5417986,0.20480716,6.010506,4.909638,5.543906,0.20904453,6.0733347,4.9305663,5.5360518,0.2212376,6.0247846,4.939691,-8.114161,0.425265,-7.0423303,-9.473672,-0.002606406,0.026384115,0.070714034,-0.10008426,-0.11150683,0.0075989356,-0.08686015,-0.14654022,0.04972575977444649,-60.347164154052734,13300,27,500.0,0.0,500,500,0.545412555440568,0.07797115246799985,0.7189578790744002,0.31299811715643394,272.706277720284,10.88147525465889,290.40351747007406,260.7802510913597,0.00024034423,0.59143174,0.99943197,-0.99806607,5,272.706277720284,10000,20,500.0,0.0,500,500,0.54383002205995,0.07526444185627157,0.7011449445601947,0.41265709148282465,271.915011029975,29.48128089767516,315.5409705528499,243.59566390180441,271.915011029975,29.48128089767516,315.5409705528499,243.59566390180441,-0.0038062374,0.021111768,0.044459183,-0.048304114,5,271.915011029975,0.035250408574938774,102.32919073011726,100.20009295362979,0.026924924924969673,0.03134449291974306,31.75412163697183,234.37692514713854,1070.072047945112,3
15800,0.002622396,0.003699832,-13.9166155,5.913845,0.26624587,6.5603614,5.308628,5.933812,0.2707035,6.5871644,5.357516,5.8988895,0.27371553,6.5798063,5.2953825,-7.997834,0.86111236,-5.6110024,-10.3296,0.0179527,0.15630078,0.60431224,-0.4618976,-0.07721769,0.019549841,-0.015055085,-0.14032096,0.018324999138712883,-79.96127319335938,15800,32,500.0,0.0,500,500,0.46678596772266173,0.08472779537697196,0.7365601941994341,0.22556303929905144,233.39298386133086,18.87462027579757,260.8214346580092,201.86664583913014,0.01238052,0.6059474,0.99920726,-0.99835867,5,233.39298386133086,12500,25,500.0,0.0,500,500,0.6179994396559657,0.080239283717058,0.7199719470017284,0.39568931027440124,308.99971982798303,22.10378128991909,330.0886459500059,267.98902619176215,308.99971982798303,22.10378128991909,330.0886459500059,267.98902619176215,0.02172898,0.110451855,0.42411968,-0.2671342,5,308.99971982798303,0.03480655048042536,108.44171358831227,101.99790769442916,0.027006864547729492,0.026778114959597588,31.94505947548896,242.47327228821814,1312.5502170333639,4
18300,0.0061353683,0.0062053427,-12.868492,6.279442,0.4203074,7.086329,4.3029633,6.273529,0.40528494,7.0747347,4.5010304,6.2656455,0.43730503,7.065773,4.503319,-6.5739365,2.0652514,-1.535142,-11.733159,-0.05348887,0.4848884,1.5793462,-1.4603003,-0.053190906,0.07388548,0.20750946,-0.40764928,0.006926665082573891,-92.33924865722656,18300,37,500.0,0.0,500,500,0.35826980117321766,0.14936210916539736,0.7374790716185139,0.07595069592382891,179.1349005866088,20.72665389320498,208.49443289392872,155.2385780923484,-0.031181568,0.63779676,0.99971366,-0.9996133,5,179.1349005866088,15000,30,500.0,0.0,500,500,0.5749929785979555,0.16519244002114697,0.7278070144737665,0.0582130073877183,287.49648929897785,55.41822884258237,332.1313969592833,191.82593898811763,287.49648929897785,55.41822884258237,332.1313969592833,191.82593898811763,-0.08041165,0.25513586,0.84300643,-0.8957806,5,287.49648929897785,0.03480634558945894,107.16482452116907,102.30101174395531,0.027157052420079708,0.03132568672299385,31.348354074172676,240.9074794240296,1553.4625479318202,5
20800,0.006353641,0.0060506486,-6.4975996,6.625784,0.5868724,7.835842,4.4921165,6.631567,0.58853304,7.87104,4.4602537,6.596102,0.58415765,7.766762,4.507662,0.17916507,4.43487,15.371641,-9.006037,0.06592077,1.0563637,2.6672568,-2.756285,-0.1427272,0.18051243,0.5271992,-0.70261633,0.0031252517364919186,-68.17784118652344,20800,42,500.0,0.0,500,500,0.440677328143395,0.08912022449533885,0.7309953951846311,0.21674633392357198,220.33866407169745,11.239985545324954,235.62436754761978,201.1940736317946,0.054188974,0.68036234,0.9997124,-0.999918,5,220.33866407169745,17500,35,500.0,0.0,500,500,0.44913021025812816,0.09895021105428645,0.7414676843671103,0.23903123837190632,224.56510512906397,12.577160700806301,246.2614135569574,207.33589724895316,224.56510512906397,12.577160700806301,246.2614135569574,207.33589724895316,0.06331891,0.53511226,0.9982003,-0.99341863,5,224.56510512906397,0.03476378973573446,103.5105154113844,101.50051215849817,0.02693241834640503,0.03138734772801399,31.09544409159571,236.19955521728843,1789.667029445991,6
23300,0.008154039,0.007893934,0.87824106,7.148199,0.64264196,8.2531185,4.329602,7.1480885,0.6436956,8.247415,4.3368692,7.140521,0.6366475,8.24244,4.27698,8.095314,6.8370447,30.831348,-6.6473885,-0.010367867,1.5006051,3.046773,-3.2841246,-0.26966587,0.25143337,0.7747483,-0.9288682,0.0019756248220801353,-24.31304168701172,23300,47,500.0,0.0,500,500,0.4638435281464529,0.10500957065161796,0.6968949795210065,0.08976211494419806,231.9217640732264,20.729341871424207,254.6139828109048,203.1080216634754,-0.020062802,0.72200805,0.99955297,-0.999971,5,231.9217640732264,20000,40,500.0,0.0,500,500,0.4695770599146598,0.10070273742837439,0.6876968540094092,0.15168461530184704,234.78852995732987,22.104884175957437,271.81498644095615,205.33205539187702,234.78852995732987,22.104884175957437,271.81498644095615,205.33205539187702,0.015740443,0.660873,0.99981946,-0.99959415,5,234.78852995732987,0.034979261457920074,106.62998172268271,105.91174301784486,0.027302537113428116,0.028100070543587208,31.211575884371996,243.8436824940145,2033.5155990179628,7
25800,0.0091139125,0.010659037,3.613834,7.336216,0.7837692,8.800151,4.7597613,7.3252006,0.78213626,8.861608,4.7447915,7.3676624,0.7914183,8.853622,4.6982117,11.031696,8.0022745,30.960413,-8.149502,-0.03384307,1.6542908,3.8332212,-3.6235604,-0.32304844,0.2233827,0.396641,-1.0368372,0.001715565682388842,-6.166217803955078,25800,52,500.0,0.0,500,500,0.3801808221455971,0.12370445051424646,0.7393824895844965,0.10860238039646303,190.0904110727985,16.891277829604302,213.413053522756,168.62345249511867,-0.04147973,0.72551507,0.99991333,-0.99999195,5,190.0904110727985,22500,45,500.0,0.0,500,500,0.49547325451093605,0.12797885909757173,0.739435980510415,0.0758042417305918,247.73662725546782,40.255958776966146,287.6966379029165,188.41710638338824,247.73662725546782,40.255958776966146,287.6966379029165,188.41710638338824,0.007233219,0.6649274,0.9985808,-0.99955064,5,247.73662725546782,0.03492238838225603,105.17527688574046,102.53621770814061,0.02733775321394205,0.03115058597177267,31.13317114301026,238.9380764644593,2272.4585710801184,8
28300,0.008348158,0.007747118,4.042131,7.8493366,0.8715687,9.631753,4.5983634,7.8686466,0.87327236,9.685672,4.564256,7.85136,0.88527113,9.63345,4.5254874,12.00474,8.414391,32.890793,-7.2712765,-0.019976016,1.6979359,3.0811486,-4.352751,-0.3207837,0.2522662,0.5962613,-0.93034166,0.0017685294151306152,0.030041396617889404,28300,57,500.0,0.0,500,500,0.4346500352786216,0.10044564981041806,0.72778273947142,0.12447478317824812,217.32501763931072,8.855201441912945,233.55711106565207,207.00003584352098,-0.04184505,0.71220416,0.99995726,-0.9999585,5,217.32501763931072,25000,50,500.0,0.0,500,500,0.41020585595587117,0.11553221190324667,0.7283056104715013,0.125374485796065,205.10292797793554,15.838316712604916,222.75036827645508,183.1720884996595,205.10292797793554,15.838316712604916,222.75036827645508,183.1720884996595,-0.023509806,0.5711455,0.9963128,-0.99889946,5,205.10292797793554,0.0343098035082221,103.44054473098367,103.52178543340415,0.02724262047559023,0.031489492394030094,31.13958407845348,238.19495615921915,2510.658451787196,9
