replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,71.50215,71.335335,-7.9920325,-0.0057841707,0.0018447442,-0.0017598884,-0.011154954,0.00414248,0.0019387003,0.00961223,-0.0005323298,8.414752,0.77253044,10.511946,6.4504128,-7.9978185,0.88958603,-6.127825,-10.487074,-0.00039904247,0.0018105032,0.007549255,-0.006267925,-0.00015399746,0.0013895659,0.00412025,-0.0066829943,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.5058065859869799,0.0701762257882137,0.7170967803471459,0.2982346957300776,252.90329299349006,15.149659891800006,276.20447478952326,235.5020756623774,-0.0040118564,0.6290514,0.9994986,-0.9993061,5,252.90329299349006,2500,5,500.0,0.0,500,500,0.47220769795880896,0.010562474647418883,0.4900301212020546,0.45574034423275434,236.10384897940443,5.245929277087204,242.8773977096786,228.0506341825004,236.10384897940443,5.245929277087204,242.8773977096786,228.0506341825004,-0.00033877225,0.0016536707,0.0033183196,-0.0016616875,5,236.10384897940443,0.03595162369310856,102.26456925459206,104.11306399665773,0.025099456310272217,0.04200258385390043,30.676101048476994,237.15678796358407,386.54667172953486,0
8300,0.036962226,0.03974516,-13.544863,5.3044786,0.14257425,5.610474,4.4368973,5.3161993,0.14222634,5.5763173,4.5040774,5.276363,0.19847801,5.9635277,4.8840213,-8.253801,0.45754704,-7.3241906,-9.96743,0.005125366,0.008423258,0.026511654,-0.018560803,-0.12681793,0.014227952,-0.09765534,-0.18698382,0.3674173355102539,-20.259010314941406,8300,17,500.0,0.0,500,500,0.45963808924277927,0.091441568752412,0.6831584695912941,0.24009644897291982,229.81904462138954,27.82799464968575,282.9001929837187,203.17740904910733,0.0025646708,0.59395117,0.9978186,-0.9987456,5,229.81904462138954,5000,10,500.0,0.0,500,500,0.5561597263617144,0.030116399879963278,0.6131080920280322,0.4700228251276567,278.07986318085716,6.769841987026223,289.95176178696204,268.96864199791185,278.07986318085716,6.769841987026223,289.95176178696204,268.96864199791185,0.005433914,0.007891003,0.022024414,-0.007576928,5,278.07986318085716,0.03486519120633602,101.0857903668657,102.6188124269247,0.02545445878058672,0.03059844858944416,31.134624749422073,234.93014564178884,621.4815896647051,1
10800,0.007450053,0.0068802913,-13.358943,5.1967325,0.18919514,5.5544868,4.59329,5.194906,0.18535176,5.534647,4.6048183,5.2045345,0.18092714,5.8252506,4.7184277,-8.176654,0.48814788,-7.0733757,-10.254448,0.008923478,0.016042428,0.046016574,-0.023111388,-0.1299591,0.007855765,-0.10454941,-0.15613425,0.1351649910211563,-40.358551025390625,10800,22,500.0,0.0,500,500,0.5139181539232128,0.07711661997124414,0.7006027007922826,0.259309917696634,256.9590769616061,23.739703968607067,281.21303365821694,220.92559126750328,0.002791071,0.5900074,0.99776906,-0.9982122,5,256.9590769616061,7500,15,500.0,0.0,500,500,0.6389765086035321,0.05357252468957257,0.6878293131671432,0.4408143991510963,319.4882543017658,3.878083601789619,324.815263990228,313.32609050916,319.4882543017658,3.878083601789619,324.815263990228,313.32609050916,0.008961065,0.016231785,0.043950174,-0.016000906,5,319.4882543017658,0.03593368176370859,105.95193189848214,102.29629414342344,0.025938148610293865,0.030596458353102207,31.607385896146297,239.94808022677898,861.434444394894,2
13300,0.0033490222,0.0029279147,-13.71948,5.5569167,0.19904923,6.094243,5.069573,5.5587397,0.19572486,6.046968,5.069043,5.5630198,0.19797425,5.9917684,5.0996346,-8.169401,0.44895682,-7.0800724,-9.523886,0.01134608,0.038589265,0.1465943,-0.0813008,-0.11030946,0.0080023,-0.08717319,-0.13669008,0.04973027855157852,-60.51105499267578,13300,27,500.0,0.0,500,500,0.4983648323610052,0.08329390740049784,0.6856950580467256,0.27418934542196477,249.18241618050266,18.89389858100458,279.951612532654,224.60069818617833,0.0031895207,0.5962663,0.9994856,-0.9990308,5,249.18241618050266,10000,20,500.0,0.0,500,500,0.5731508087688334,0.06130802428461179,0.6940318943149388,0.4569492730997962,286.57540438441663,8.177487258276031,298.5068299512815,278.66609979931513,286.57540438441663,8.177487258276031,298.5068299512815,278.66609979931513,0.010309323,0.03828774,0.12266226,-0.06631353,5,286.57540438441663,0.03497087210416794,109.22930939588696,102.11025568656623,0.025659660808742046,0.030925968661904335,31.197029385715723,242.62815096974373,1104.0675228349864,3
15800,0.0082538575,0.0046595247,-14.040065,5.9802656,0.2784537,6.654343,5.29385,5.976207,0.26715407,6.5725274,5.301058,5.9516926,0.26258722,6.5857725,5.2252183,-8.068278,0.6828422,-5.7925725,-9.307933,0.02403485,0.16688265,0.6164831,-0.5105499,-0.08709166,0.020959001,-0.020539338,-0.14541158,0.018344787880778313,-80.2212905883789,15800,32,500.0,0.0,500,500,0.4926911454303985,0.09178423635266905,0.9187073863591682,0.2855378662908911,246.34557271519924,16.00393335392464,275.1425655271923,231.5116746221401,0.009403034,0.6099515,0.99891907,-0.9986499,5,246.34557271519924,12500,25,500.0,0.0,500,500,0.6856184857740667,0.0778002386765396,0.9446905208520744,0.4815092223453741,342.8092428870333,29.156476197739302,359.28789484656215,284.54004973519733,342.8092428870333,29.156476197739302,359.28789484656215,284.54004973519733,0.018911194,0.1613676,0.51103455,-0.44120225,5,342.8092428870333,0.03561780042946339,112.58735175058246,104.49090798012912,0.024969521909952164,0.02998898085206747,31.03121382277459,248.20004985667765,1352.2722698496655,4
18300,0.0041209245,0.005066191,-13.185014,6.3004637,0.36792687,7.032432,4.896235,6.312912,0.37113345,7.096467,4.9929204,6.3104744,0.37869614,7.1059737,4.7822504,-6.8707995,2.2019448,-0.3189386,-10.084083,0.07001094,0.447763,1.4698778,-1.443872,-0.058243413,0.07423875,0.1317698,-0.4029543,0.006955177988857031,-93.73751831054688,18300,37,500.0,0.0,500,500,0.5411542463602522,0.14707902211898544,0.9508573421828799,0.23327897722095103,270.577123180126,57.75645481387746,360.737857249041,206.06737265225897,0.009752062,0.632107,0.9996329,-0.999639,5,270.577123180126,15000,30,500.0,0.0,500,500,0.5212786734231712,0.07975094414997817,0.7012811572095021,0.29992441700445915,260.6393367115856,13.736211580418116,277.9790861560076,235.7550941276989,260.6393367115856,13.736211580418116,277.9790861560076,235.7550941276989,-0.017226975,0.25068676,0.8509953,-0.91727275,5,260.6393367115856,0.0349586084485054,115.63772874232382,109.0551712717861,0.02525557391345501,0.030878843739628792,30.97414213232696,255.75813517253846,1608.0350704751909,5
20800,0.006833943,0.006582546,-6.9799747,6.7176576,0.47302938,7.8653593,5.387545,6.735183,0.4775337,7.8594155,5.311047,6.7424116,0.49052233,7.9174666,5.2573566,-0.22389357,4.9733815,16.441935,-9.978308,0.011776648,1.0589772,3.226618,-2.7282414,-0.14269933,0.20150062,0.830553,-0.87489283,0.0030992692336440086,-70.6039047241211,20800,42,500.0,0.0,500,500,0.4361333025130485,0.09713544125122757,0.9297541634865315,0.1614319543026177,218.06665125652438,12.474106716801083,234.42884333456726,200.57694566018674,-0.08830835,0.703531,0.99999964,-0.99999994,5,218.06665125652438,17500,35,500.0,0.0,500,500,0.43316809767146014,0.18505813387526932,0.9244993893170946,0.037056521894439406,216.58404883573002,61.68987206506377,291.6896984919204,145.32317303903588,216.58404883573002,61.68987206506377,291.6896984919204,145.32317303903588,-0.13631651,0.63403064,0.99029845,-0.99776715,5,216.58404883573002,0.03519541770219803,107.70877110771835,105.06866156496108,0.025251569226384163,0.03133644536137581,30.98093594890088,243.85015205387026,1851.8898990154266,6
23300,0.008046767,0.0075897197,2.7240243,7.168174,0.6355116,8.548794,4.8001738,7.161482,0.6411744,8.520082,4.664508,7.138239,0.65492666,8.489534,4.442317,9.95816,7.9926286,34.892223,-5.614728,0.2980538,1.5592964,3.6117089,-3.5488853,-0.30335048,0.25046307,0.36769357,-0.97124195,0.0018582753837108612,-12.839061737060547,23300,47,500.0,0.0,500,500,0.30107863753354136,0.09874076330339487,0.699459108791956,0.06226804697870336,150.5393187667707,9.712342373715678,165.53249927945095,138.0243924144602,0.067070216,0.7892214,0.99979806,-0.999995,5,150.5393187667707,20000,40,500.0,0.0,500,500,0.2778930369804292,0.13009992413113625,0.7003989680257002,0.045220933548307314,138.9465184902146,16.96315689533616,157.17885418197045,107.79479709732216,138.9465184902146,16.96315689533616,157.17885418197045,107.79479709732216,0.094943136,0.73477423,0.9980946,-0.998657,5,138.9465184902146,0.03499919269233942,103.01268154382706,102.6589760845527,0.02564840205013752,0.026855009607970715,30.960826095193624,236.71998632792383,2088.61465830449,7
25800,0.013341958,0.011415544,2.7756581,7.5097785,0.9606826,9.104902,3.5835094,7.4684343,0.9741057,9.119106,3.4355116,7.4413157,0.9573577,9.151311,3.421958,10.338704,8.55348,32.1194,-10.111655,0.17769103,1.6342881,3.4200914,-3.9677656,-0.3431746,0.23392299,0.419364,-0.9940035,0.0017100926488637924,-10.584413528442383,25800,52,500.0,0.0,500,500,0.42178100606872304,0.133377227482044,0.9418983110208601,0.11867883720257665,210.89050303436156,25.972601274811133,235.41731435393604,163.6340144474023,0.05394497,0.71541345,0.9999631,-0.9998708,5,210.89050303436156,22500,45,500.0,0.0,500,500,0.40477751354604335,0.15247849999596308,0.938643852806273,0.06752189771521214,202.38875677302173,37.71144315904823,247.88810637155902,148.72579776121228,202.38875677302173,37.71144315904823,247.88810637155902,148.72579776121228,0.043190613,0.727664,0.9994695,-0.9987906,5,202.38875677302173,0.034853190183639526,105.58433094900101,105.09497898537666,0.025555327534675598,0.03070323821157217,31.241598973982036,242.0120206642896,2330.6313669150695,8
28300,0.01416524,0.012994867,3.8244061,7.727434,1.1736143,9.674266,3.9431257,7.749324,1.1763109,9.706359,3.8314025,7.7538095,1.1860299,9.780628,3.9406857,11.663053,7.954684,36.62771,-4.615452,0.16345309,1.6721764,4.807463,-3.6724799,-0.35549164,0.21673824,0.8887058,-0.9572612,0.0018236656906083226,-2.1251473426818848,28300,57,500.0,0.0,500,500,0.40449122871663507,0.11103566326637722,0.9279004511876692,0.10933833553291837,202.2456143583175,19.585400386478206,225.17906069122552,174.11250910728228,0.07320557,0.73064923,0.9997658,-0.999905,5,202.2456143583175,25000,50,500.0,0.0,500,500,0.39687596936174097,0.13173947927291804,0.9264133233657816,0.11966911059539707,198.43798468087053,25.53329151921739,231.68167191675226,162.08586857528658,198.43798468087053,25.53329151921739,231.68167191675226,162.08586857528658,0.008463564,0.66579205,0.99926686,-0.99937856,5,198.43798468087053,0.034609850496053696,106.44124077726156,105.05768115445971,0.02563734445720911,0.03115755133330822,31.578001596964896,243.16832827497274,2573.8043734887615,9
30800,0.021653963,0.035689518,4.20573,8.360062,1.1627398,10.722199,4.65689,8.371993,1.179198,10.804309,4.62801,8.288517,1.146797,10.716578,4.6778245,12.690118,8.007148,33.275875,-7.7071514,0.36780676,1.6632563,3.7297342,-3.833741,-0.39936152,0.22362389,0.5225623,-1.1657066,0.0018865689635276794,4.329153537750244,30800,62,500.0,0.0,500,500,0.5027393917732679,0.12499247814044728,0.7392366922115537,0.20541320088840642,251.36969588663388,30.665525144519375,303.1319632410774,220.54037534753365,0.08116737,0.71057975,0.99999964,-0.9999782,5,251.36969588663388,27500,55,500.0,0.0,500,500,0.36833635302093465,0.14951034180489503,0.9596282332033372,0.10283278750551753,184.16817651046728,15.745846194836549,215.3279019171896,172.7895834950684,184.16817651046728,15.745846194836549,215.3279019171896,172.7895834950684,0.07328571,0.6477054,0.999706,-0.99981683,5,184.16817651046728,0.035516586154699326,104.10964353289455,106.81119696982205,0.025461900047957897,0.02640925534069538,30.79104427807033,241.79927252233028,2815.608434829861,10
33300,0.0138552245,0.012213258,2.9382238,8.473858,1.3363925,11.132373,4.223616,8.500346,1.3368903,11.145577,4.231468,8.469288,1.3421277,11.164209,4.280163,11.512916,7.7286367,36.929955,-3.9683027,0.17980881,1.6366374,4.243844,-3.838501,-0.3777598,0.19099338,0.3067258,-0.9247036,0.0019488614052534103,-3.039658546447754,33300,67,500.0,0.0,500,500,0.4253527318544893,0.10236320015258289,0.9234381490191966,0.1658605112490832,212.67636592724472,9.96735671117876,221.88846916472156,193.53145186151636,0.06254709,0.7017228,0.9999963,-0.9998659,5,212.67636592724472,30000,60,500.0,0.0,500,500,0.472377428368686,0.08945004719613257,0.7218510998615179,0.14066819416767376,236.18871418434287,12.618303023187151,251.91754329698452,214.97456452744842,236.18871418434287,12.618303023187151,251.91754329698452,214.97456452744842,0.041600056,0.6214207,0.9998874,-0.9997019,5,236.18871418434287,0.03461202885955572,107.89347900915891,104.8339042533189,0.02542958129197359,0.026278936304152012,30.857571782544255,243.67127559147775,3059.284388064407,11
35800,0.01909512,0.018294655,1.9168217,9.035703,1.3555142,11.59025,5.038151,9.044472,1.3544469,11.604789,5.1028986,9.091472,1.3819454,11.5773115,5.1431375,11.054602,7.4554286,35.137486,-7.526883,0.16903579,1.6516259,3.8846385,-4.044964,-0.37478065,0.18095617,0.29982013,-0.9103744,0.001996256411075592,-5.877195358276367,35800,72,500.0,0.0,500,500,0.46006964467103073,0.0949697240885558,0.7121933123757108,0.21248975875396098,230.03482233551532,11.720846459106701,244.19377141883368,214.54567480141336,0.067194,0.68396133,0.9999875,-0.999987,5,230.03482233551532,32500,65,500.0,0.0,500,500,0.45876710622662503,0.11571069041341174,0.7277868682486761,0.10650063762960418,229.38355311331253,23.225635800325364,267.6117269107038,201.5858070562386,229.38355311331253,23.225635800325364,267.6117269107038,201.5858070562386,0.019274026,0.61519283,0.99984366,-0.99999166,5,229.38355311331253,0.03570715803653002,104.60339560173452,103.47699046973139,0.025665481574833393,0.030157328583300114,31.46966156642884,239.6415776060894,3298.9306504158303,12
38300,0.015146736,0.017420754,0.77756333,9.657023,1.568032,12.167285,4.645484,9.655979,1.5651455,12.236265,4.9072328,9.6354685,1.5865703,12.121522,4.356534,10.532579,7.575297,27.488667,-6.3510227,0.14037137,1.6263773,4.0637603,-3.944667,-0.40954256,0.17194124,0.22206627,-0.8935901,0.002065725391730666,-9.072067260742188,38300,77,500.0,0.0,500,500,0.47630176006819136,0.11286108039566836,0.7117997993291216,0.1354262513063509,238.15088003409568,14.692033691731414,259.3280053375718,214.48437786600832,0.05223126,0.65508395,1.0,-1.0,5,238.15088003409568,35000,70,500.0,0.0,500,500,0.5116946018637171,0.08710647009639036,0.7078675720604815,0.1749945619621739,255.84730093185848,16.034870414846253,276.268620311296,229.86566627877508,255.84730093185848,16.034870414846253,276.268620311296,229.86566627877508,0.03775677,0.5345077,0.99999034,-0.99997944,5,255.84730093185848,0.03492335323244333,107.05241443868726,106.59319759346545,0.025410774163901806,0.030846793204545975,30.806843493133783,244.5436364458874,3543.479069719091,13
40800,0.019973738,0.02180708,0.8999981,9.932334,1.5840608,12.687834,4.9791102,9.978794,1.590989,12.676386,5.0311356,9.953864,1.5788076,12.7727785,4.9886794,10.959367,8.021305,27.654646,-6.1420546,0.15351678,1.6482437,4.166716,-3.6943011,-0.4174981,0.16958755,0.13491029,-0.9184078,0.0020188188645988703,-6.45758056640625,40800,82,500.0,0.0,500,500,0.5598302162356855,0.12773249593320554,0.9546276573740388,0.17553741980086604,279.91510811784275,41.27924014063077,356.3713496981939,238.79483820215376,0.054953985,0.6809561,0.9999995,-0.99999875,5,279.91510811784275,37500,75,500.0,0.0,500,500,0.6095011940953251,0.1614777322079321,0.9607509684896343,0.2287388109642028,304.75059704766255,54.11350790966602,379.07847002130586,243.3299326501755,304.75059704766255,54.11350790966602,379.07847002130586,243.3299326501755,0.023053018,0.6173075,0.9998441,-0.99936825,5,304.75059704766255,0.03488690685480833,110.26091673504561,107.15295019652694,0.025389608927071095,0.026123260147869587,30.779107709415257,248.27937441691756,3791.763111995533,14
43300,0.028814068,0.024811346,1.9023694,10.531411,1.5482172,13.165751,6.1801386,10.577364,1.5702602,13.198885,6.176462,10.539921,1.5619233,13.235763,6.0635653,12.592154,7.481698,29.69476,-5.8428135,0.19175732,1.7094005,3.5999455,-4.240406,-0.43769422,0.17481782,0.20086583,-0.92260695,0.002050317358225584,3.665673017501831,43300,87,500.0,0.0,500,500,0.555280579884692,0.12645488914163136,0.9675524788825437,0.2646602473892001,277.64028994234604,30.761826092787288,330.85033842810924,244.7559418478897,0.07239596,0.68664557,0.9999888,-1.0,5,277.64028994234604,40000,80,500.0,0.0,500,500,0.5050719489218481,0.1090275743040464,0.7214738321883853,0.18447697739172053,252.53597446092408,12.281784064369198,268.25402739445605,234.63923811247514,252.53597446092408,12.281784064369198,268.25402739445605,234.63923811247514,0.08268005,0.63706523,0.99985397,-0.9999994,5,252.53597446092408,0.03478214517235756,105.0469141760841,106.45499480888247,0.025286175310611725,0.030107904225587845,30.822266710922122,242.41435192059726,4034.1821401529014,15
45800,0.026934128,0.027640617,0.34204465,10.775755,1.6320577,13.887621,6.601233,10.7816925,1.6210344,13.842813,6.7382474,10.817446,1.6313375,14.079733,6.7041926,11.244066,7.742923,30.620857,-5.350761,0.10079727,1.6622196,4.2138186,-5.0875974,-0.4054416,0.1629398,0.17179842,-0.90266407,0.0021394595969468355,-4.6464948654174805,45800,92,500.0,0.0,500,500,0.5417024691964283,0.10220244127217978,0.970489073018094,0.2541008102703416,270.85123459821426,9.56015339815166,284.22080136088425,256.63104842902544,0.008490979,0.6784354,1.0,-0.99999964,5,270.85123459821426,42500,85,500.0,0.0,500,500,0.5058250042254808,0.08768501829329403,0.922207563542706,0.22360354215624254,252.9125021127404,16.619255090274255,274.39679231468625,228.8818793776094,252.9125021127404,16.619255090274255,274.39679231468625,228.8818793776094,0.028939169,0.5927706,0.9999993,-0.999987,5,252.9125021127404,0.03496508952230215,108.16286108549684,108.6356407282874,0.025334034115076065,0.02586448285728693,31.4622547570616,248.3469201773405,4282.533720948733,16
