replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,71.29508,71.448204,-8.049144,0.0021173856,0.0016317837,0.0059640063,-0.001688414,-0.0069818133,0.0019322555,-0.002743095,-0.013685597,8.409581,0.780846,10.346062,6.616552,-8.056253,0.70241535,-6.2011876,-9.723913,0.001019424,0.0012066449,0.005353907,-0.0033241478,-0.00038856213,0.0015328414,0.004452533,-0.004413829,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.4642895864753479,0.09566708674479185,0.6615718677229682,0.18295793874058827,232.14479323767392,26.462890050208866,256.6218311680385,184.61128305137015,0.0050232983,0.6281767,0.999724,-0.9990774,5,232.14479323767392,2500,5,500.0,0.0,500,500,0.42566336532252624,0.006831221521320844,0.43497511262970234,0.40980873783257343,212.83168266126307,3.031439296644798,216.7167335451199,208.74760003085296,212.83168266126307,3.031439296644798,216.7167335451199,208.74760003085296,0.00091813155,0.0009852343,0.0030135782,-0.00048636002,5,212.83168266126307,0.03782452829182148,108.19924131408334,110.71835103817284,0.024890216998755932,0.03624509368091822,33.2888334011659,252.30538559239358,403.8831625254825,0
8300,0.050694134,0.04662218,-13.462208,5.257164,0.16018222,5.5696106,4.6524954,5.253878,0.14865704,5.552815,4.717339,5.2717934,0.22456054,6.6672006,4.8974285,-8.2279,0.44810373,-7.191934,-9.677777,-0.003260793,0.010740005,0.03431867,-0.024876978,-0.12306181,0.013140612,-0.08830477,-0.16028422,0.3674343228340149,-20.23215103149414,8300,17,500.0,0.0,500,500,0.4646909823163438,0.07615848257503886,0.6377864099574442,0.2775594186048404,232.3454911581718,20.253310242298014,252.7347015819196,193.94073973150148,-0.005878786,0.59189886,0.99856,-0.99830097,5,232.3454911581718,5000,10,500.0,0.0,500,500,0.543536424987186,0.05158283752519261,0.6066783415362782,0.4028081489500469,271.7682124935929,4.624790989682329,278.0832174867617,266.68955327989613,271.7682124935929,4.624790989682329,278.0832174867617,266.68955327989613,-0.004094258,0.0110899275,0.025211839,-0.019708842,5,271.7682124935929,0.036579142324626446,108.6525689959526,109.60403160192072,0.025165672414004803,0.027669386938214302,33.60103365313262,251.9470484526828,655.8351410357282,1
10800,0.008572433,0.009262142,-13.417821,5.186451,0.16901217,5.66909,4.7412696,5.19101,0.16919965,5.674862,4.777302,5.1714606,0.17166413,5.8929615,4.724107,-8.247904,0.4269949,-7.372861,-10.219487,-0.0025369783,0.01568611,0.024885274,-0.036970556,-0.13173681,0.00576357,-0.10500695,-0.15233804,0.1351524293422699,-40.50293731689453,10800,22,500.0,0.0,500,500,0.47606112735734724,0.09671920617069689,0.7247963557390819,0.2221614406466156,238.03056367867353,14.0120515480826,259.388898362389,216.0277274767374,0.0048152343,0.58725137,0.99722254,-0.999366,5,238.03056367867353,7500,15,500.0,0.0,500,500,0.468296292997751,0.028466791817005805,0.5185156349314576,0.3974294371078395,234.14814649887535,5.536238254908831,242.88909489144277,226.07976514478693,234.14814649887535,5.536238254908831,242.88909489144277,226.07976514478693,-0.0025673884,0.016786166,0.022550778,-0.034654766,5,234.14814649887535,0.038020760752260685,108.35671050753444,109.76793336682022,0.024918884970247746,0.026957117952406406,33.534732912667096,251.74927355069667,907.5892721768469,2
13300,0.0027021756,0.0026214095,-13.57573,5.468567,0.2539057,6.112282,4.8492637,5.4645677,0.24872175,6.070186,4.9088383,5.4662514,0.24808392,6.091733,4.8951907,-8.121853,0.41008204,-7.0793467,-9.46806,-0.00039219693,0.036133435,0.090384565,-0.11639033,-0.120508574,0.007195031,-0.09363775,-0.15568879,0.04972541704773903,-60.37037658691406,13300,27,500.0,0.0,500,500,0.525781274212771,0.08357355895111396,0.7142344256026009,0.2947491090264337,262.8906371063855,17.596822994125024,295.3500506558449,242.32677023509797,0.0017774116,0.5886225,0.9993763,-0.9980015,5,262.8906371063855,10000,20,500.0,0.0,500,500,0.5245774887460674,0.05196730671697719,0.6236667548429953,0.4065958791625723,262.2887443730338,2.820405102341519,265.6399743034989,257.3119880122347,262.2887443730338,2.820405102341519,265.6399743034989,257.3119880122347,-0.0006287081,0.035428144,0.07650697,-0.09801868,5,262.2887443730338,0.03674518968909979,110.43513603322208,109.90736547484994,0.02512884046882391,0.02732684835791588,33.452488930895925,253.88419131748378,1161.47827833239,3
15800,0.0032428172,0.0030546049,-13.767256,5.8562236,0.3254001,6.545084,4.59398,5.8554754,0.31883466,6.532999,4.6612606,5.856388,0.31539175,6.5544877,4.7049437,-7.9197063,0.8254527,-5.6503587,-9.96623,0.0096979495,0.1586145,0.59856594,-0.66043496,-0.09648442,0.018982038,-0.016641261,-0.16087317,0.01832929067313671,-79.64421844482422,15800,32,500.0,0.0,500,500,0.49894210298798836,0.0831177793946084,0.6985941519193251,0.28885115029245617,249.47105149399417,10.136704287556233,260.2088223436685,233.9949981616084,0.011258548,0.60080683,0.9991177,-0.9981056,5,249.47105149399417,12500,25,500.0,0.0,500,500,0.5503929086360235,0.10043554620503777,0.6783670249169398,0.17847208809949594,275.1964543180118,30.64236652582091,292.49767902931126,214.07902544466506,275.1964543180118,30.64236652582091,292.49767902931126,214.07902544466506,0.015834073,0.12715256,0.42906255,-0.48754084,5,275.1964543180118,0.0361437713727355,112.1307722358033,110.26170856598765,0.0249596843495965,0.027486328035593033,33.27673005312681,255.7578006386757,1417.2409203527495,4
18300,0.0036553408,0.0042946693,-12.481402,6.208785,0.50811464,7.2811985,4.952278,6.2174077,0.5084677,7.298826,4.91433,6.225785,0.51507014,7.3587275,4.9711137,-6.2482553,2.3946886,1.463142,-11.159966,-0.012233134,0.4739466,1.586219,-1.7098167,-0.08555622,0.07493401,0.09268898,-0.45143655,0.006916436832398176,-90.74727630615234,18300,37,500.0,0.0,500,500,0.45274829025941216,0.10547244941128363,0.7050688261492022,0.18334791330624672,226.37414512970616,14.65194513716796,246.52928995371173,202.734320112823,0.0103825005,0.6183706,0.99950755,-0.9990387,5,226.37414512970616,15000,30,500.0,0.0,500,500,0.4960139069233065,0.09201680284001293,0.6734833520167669,0.24153448846903436,248.0069534616532,6.135846121314814,257.7837109225813,239.2162325526222,248.0069534616532,6.135846121314814,257.7837109225813,239.2162325526222,-0.023822237,0.20408116,0.8674933,-0.9099769,5,248.0069534616532,0.03647210355848074,113.76940399128944,111.98278736695647,0.024738035164773464,0.026861454360187054,33.020713358186185,258.86097630951554,1676.1067425748333,5
20800,0.009872303,0.0055664736,-6.5914917,6.579461,0.560474,7.6315556,4.9013376,6.5844145,0.57972443,7.650067,4.733991,6.574528,0.5999928,7.6669693,4.7585044,0.031134427,5.809607,19.683195,-12.169846,0.07862011,1.0396844,2.8698316,-2.7922301,-0.16008888,0.16992253,0.3784273,-0.8765158,0.002989250235259533,-69.56321716308594,20800,42,500.0,0.0,500,500,0.49047027889519096,0.09896171926554821,0.7047709758804763,0.18500978808337273,245.23513944759551,17.753089772269448,260.0989793373311,211.04882085713905,0.03457702,0.6509525,0.9995519,-0.9998749,5,245.23513944759551,17500,35,500.0,0.0,500,500,0.5419248285805471,0.07930142325566238,0.6948398789997964,0.35171343346217326,270.9624142902736,5.109789736919796,279.03654907413016,263.6790975093244,270.9624142902736,5.109789736919796,279.03654907413016,263.6790975093244,0.0118463505,0.35244912,0.96057105,-0.98370326,5,270.9624142902736,0.036646757274866104,115.16861242149025,113.03104401100427,0.02532209362834692,0.027252580039203167,33.25268978159875,261.5415676450357,1937.6531497845426,6
23300,0.007022012,0.006138852,-1.1027994,6.992407,0.69252676,8.492954,4.7228866,6.95673,0.68987626,8.45225,4.7134137,6.9536304,0.6862109,8.50853,4.743073,5.9345403,7.356299,27.189049,-9.413168,0.13499437,1.411175,3.670239,-3.427062,-0.27802467,0.21506394,0.44960016,-0.955766,0.001761206309311092,-38.46323776245117,23300,47,500.0,0.0,500,500,0.5007314727443116,0.09038661186386561,0.6988641705736395,0.20827529203117645,250.36573637215588,9.409648705680764,265.19683180255225,237.33615356998905,0.036049936,0.64487284,0.9997382,-0.99995166,5,250.36573637215588,20000,40,500.0,0.0,500,500,0.4392716973382878,0.10333609396475016,0.6816737296659163,0.13292014060286303,219.63584866914394,13.701188840254598,231.94057375322623,194.0215307992979,219.63584866914394,13.701188840254598,231.94057375322623,194.0215307992979,-0.0028251428,0.49821073,0.99871933,-0.9991143,5,219.63584866914394,0.03605932369828224,111.38994803559035,110.5836573028937,0.02478684578090906,0.026978546753525734,32.86085741221905,254.9222874669358,2192.580419637263,7
25800,0.008983361,0.010929091,4.788842,7.2786317,0.87248254,8.887386,4.5129175,7.2654076,0.8539426,8.871549,4.7719297,7.2369585,0.8975636,8.918774,4.424062,12.163172,10.112239,44.778706,-9.691663,0.079942204,1.7171458,4.501479,-4.35853,-0.35852167,0.231152,0.59659696,-1.035628,0.0014897610526531935,1.0621159076690674,25800,52,500.0,0.0,500,500,0.3999014357332191,0.1182081109990747,0.7067235551498791,0.08759503987487374,199.95071786660955,11.135235852978148,213.38198753892243,182.06184003341272,0.022750836,0.67889994,0.999946,-0.9999988,5,199.95071786660955,22500,45,500.0,0.0,500,500,0.3602822831441836,0.1139022969715309,0.6543693023377884,0.13405919000428865,180.14114157209173,13.948595132808839,207.67488705063468,169.9712641682048,180.14114157209173,13.948595132808839,207.67488705063468,169.9712641682048,0.024206582,0.5663035,0.9999993,-0.9999999,5,180.14114157209173,0.03644013870507479,111.32234943471849,112.47888919524848,0.025150788016617298,0.027232619002461433,33.009612432681024,256.89967460837215,2449.484914311208,8
28300,0.010807536,0.009810966,6.2311883,7.724595,1.0616512,9.856317,4.067436,7.670092,1.0602229,9.753652,3.972309,7.693198,1.0874456,9.748106,3.8288236,14.029232,8.488138,35.479317,-6.643543,0.40150198,1.738952,3.6132941,-4.181599,-0.37981978,0.23198572,0.8369588,-1.0433825,0.0015828544273972511,13.086298942565918,28300,57,500.0,0.0,500,500,0.3567492728077389,0.12974940991674225,0.7174551804544396,0.06855376665693778,178.37463640386937,8.333129793958598,186.75074976183907,167.70311404013833,0.15112256,0.7066444,0.9999908,-0.9999967,5,178.37463640386937,25000,50,500.0,0.0,500,500,0.34039704092731804,0.159248630164415,0.9219219121813069,0.05121132355089641,170.19852046365904,19.104361167228983,202.0518185588065,144.77662892293233,170.19852046365904,19.104361167228983,202.0518185588065,144.77662892293233,0.1794628,0.67668486,0.9999961,-1.0,5,170.19852046365904,0.03581930510699749,110.57116691116244,110.84553915541619,0.02555759809911251,0.027559606358408928,33.068136654794216,254.57377923093736,2704.063556332141,9
