replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.255798,22.277996,-4.6845293,0.0004908735,0.0011091162,0.002864619,-0.0024830936,-0.0018755903,0.0007070158,-0.00018620118,-0.0037350492,4.690275,0.5116216,5.893142,3.5496643,-4.6865344,0.6021676,-2.9621534,-6.247241,0.00017408156,0.0014114253,0.0029013294,-0.0029394757,-0.0011875776,0.0013948225,0.001290655,-0.0037622347,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,-0.006048581103803879,0.0704158030793834,0.03766263075773513,-0.3277613897082924,-3.0242905519019514,15.183037421226032,5.5192855848187286,-33.35305712133187,0.00065863476,0.6306905,0.99975824,-0.999498,5,-3.0242905519019514,2500,5,500.0,0.0,500,500,0.010335864433174805,0.0027381943176504058,0.015661461896374698,0.006398119692997818,5.1679322165874035,1.3594525233525692,7.402081362141051,3.3425242710679446,5.1679322165874035,1.3594525233525692,7.402081362141051,3.3425242710679446,0.00021279702,0.0013659747,0.002217595,-0.002200624,5,5.1679322165874035,0.038734832778573036,84.76925493683666,84.40613889321685,0.02415507845580578,0.04836008511483669,44.28359494265169,213.5702387690544,330.24616631958634,0
8300,0.008792091,0.0088752145,-7.4307847,2.6470118,0.031800527,2.7083452,2.5277455,2.6446104,0.033573046,2.711325,2.5274837,2.6460924,0.09329803,3.004094,2.387305,-4.789303,0.22757584,-4.246163,-5.724621,0.0040113176,0.008702773,0.020395616,-0.015346698,-0.14798094,0.007248448,-0.13506234,-0.16718201,0.3674425482749939,-11.791524887084961,8300,17,500.0,0.0,500,500,-0.002108368842022225,0.062437872609419694,0.05161131817484178,-0.3277613897082924,-1.0541844210111155,13.344820503343337,7.456938429426146,-27.640268650784357,0.007933919,0.5834206,0.9981088,-0.99824834,5,-1.0541844210111155,5000,10,500.0,0.0,500,500,0.01910313950080205,0.005055328909892523,0.03234247965984883,0.010605034668565296,9.551569750401022,1.3565658295187533,11.304490763667852,7.284463256796717,9.551569750401022,1.3565658295187533,11.304490763667852,7.284463256796717,0.0038308175,0.0084251715,0.0186293,-0.013787022,5,9.551569750401022,0.040583341382443905,82.73979169968516,82.82820894848555,0.024208457209169865,0.0395555580034852,45.30955196823925,210.98189997300506,541.2328580906615,1
10800,0.008291438,0.00835943,-7.2048607,2.4058251,0.050084196,2.494257,2.2378871,2.4145596,0.052617896,2.5089102,2.2183213,2.397294,0.10694171,2.6125925,1.9180636,-4.803559,0.32575023,-4.0981812,-6.6864805,0.007682249,0.00674055,0.018966097,-0.0013894269,-0.13178654,0.00496255,-0.12108464,-0.14327337,0.13517379760742188,-23.609397888183594,10800,22,500.0,0.0,500,500,-0.083479282502194,0.15565282893035082,0.06278385112002749,-0.3277613897082924,-41.739641251096785,50.070124575899904,15.831638475760938,-121.72986676455648,0.012729165,0.5907969,0.99706966,-0.999169,5,-41.739641251096785,7500,15,500.0,0.0,500,500,0.011922672287055746,0.0017891992571020783,0.015941872226750437,0.009191884404106001,5.961336143527873,0.7702039468261788,7.458217158358039,5.345276580650814,5.961336143527873,0.7702039468261788,7.458217158358039,5.345276580650814,0.0075412607,0.0065908893,0.018208204,-0.00095936743,5,5.961336143527873,0.038242094218730927,82.79795078933239,82.85055894684047,0.024475885555148125,0.03925007674843073,45.29952679667622,211.05000458937138,752.2875401414931,2
13300,0.004102934,0.0026471731,-7.076339,2.333096,0.12154051,2.5324535,1.8765775,2.3266044,0.12401942,2.5072591,1.8669875,2.3182576,0.15375483,2.536769,1.7701766,-4.755146,0.25657833,-3.9864168,-5.3186026,0.012805338,0.019205287,0.039491676,-0.025992876,-0.13774055,0.00506917,-0.12991004,-0.14918828,0.04972648248076439,-35.26799392700195,13300,27,500.0,0.0,500,500,0.003647812195198151,0.027048629731876835,0.02500743573068757,-0.3277613897082924,1.823906097599075,2.5862215459108584,4.809235368502658,-2.610693417525626,0.0078035216,0.5862986,0.9975262,-0.9984869,5,1.823906097599075,10000,20,500.0,0.0,500,500,0.015871391870008057,0.007672734638100718,0.03489186674276917,0.002943313108838156,7.935695935004027,2.9127871875929006,10.864790729992366,4.287141786777477,7.935695935004027,2.9127871875929006,10.864790729992366,4.287141786777477,0.01320545,0.018673042,0.036510035,-0.023367811,5,7.935695935004027,0.03893443942070007,82.05977621488273,82.74253256153315,0.024188172072172165,0.03932825196534395,45.24639025982469,210.1511498996988,962.4433611324057,3
15800,0.0019509353,0.0036083707,-7.0454063,2.306024,0.17741925,2.576744,1.4146652,2.308898,0.18736334,2.72554,1.4279356,2.293582,0.18205906,2.4768775,1.4127103,-4.7527065,0.37302813,-3.7791007,-5.839737,0.026518764,0.06875523,0.284656,-0.20713283,-0.12585957,0.008595244,-0.10783717,-0.16572188,0.018304044380784035,-47.006534576416016,15800,32,500.0,0.0,500,500,0.00027361602868816417,0.05218306738160404,0.06051233956570376,-0.3277613897082924,0.13680801434408138,8.80695031739999,11.330329831493055,-15.462707180562234,0.015472228,0.58765215,0.9984104,-0.9973029,5,0.13680801434408138,12500,25,500.0,0.0,500,500,-0.00823282799758239,0.0618513657586078,0.013542929969705733,-0.3277613897082924,-4.116413998791201,12.283661715382411,3.1303496439178695,-28.62780181316624,-4.116413998791201,12.283661715382411,3.1303496439178695,-28.62780181316624,0.020513784,0.045495577,0.14208128,-0.06693235,5,-4.116413998791201,0.03791437763720751,81.25475291255862,81.26292196288705,0.023594122380018234,0.039115493185818195,45.23561401106417,207.85391287971288,1170.3020273521543,4
18300,0.013159939,0.0078674825,-6.5907965,2.221758,0.27937818,2.5284908,0.6742499,2.2452927,0.30892003,2.5237606,0.025152046,2.2240598,0.34379834,2.5244818,-0.29065847,-4.373086,1.1582412,0.5147009,-8.133803,0.11251917,0.27808997,2.2146335,-1.0464135,-0.14558162,0.04840525,-0.045512732,-0.6353955,0.0068046534433960915,-56.74225616455078,18300,37,500.0,0.0,500,500,-0.10260742552761708,0.15422321145081103,0.02087406402400617,-0.3277613897082924,-51.30371276380856,16.95752804411259,-21.500930479847213,-71.91086216921502,0.10536411,0.6314746,0.9990478,-0.99883926,5,-51.30371276380856,15000,30,500.0,0.0,500,500,-0.20281856173722848,0.16015605073315012,0.013321978071358313,-0.3277613897082924,-101.40928086861356,13.067024618877577,-83.90061829058837,-112.79892958087574,-101.40928086861356,13.067024618877577,-83.90061829058837,-112.79892958087574,0.17422001,0.5793517,0.9843683,-0.8249385,5,-101.40928086861356,0.03866000287234783,79.56358620151877,79.95868271403015,0.02470477484166622,0.03935030661523342,44.902987932786345,204.5279719326645,1374.83462506067,5
20800,0.0025363173,0.0021117977,-4.816361,1.9904039,0.79798394,2.7045355,-0.46300828,1.9772162,0.7836977,2.6539063,-0.45242712,1.9882389,0.79850966,2.6199398,-0.46368247,-2.8347487,2.803234,8.417164,-7.268898,0.19466808,0.60147065,2.2567983,-2.0579937,-0.18913688,0.120311804,-0.064085305,-0.760893,0.0026546011213213205,-58.32544708251953,20800,42,500.0,0.0,500,500,-0.23388209395797907,0.14923649960052582,0.024159712718302473,-0.3277613897082924,-116.94104697898854,4.673891533660864,-110.36097814114713,-121.3635883292622,0.026890907,0.6197659,0.99875015,-0.9980878,5,-116.94104697898854,17500,35,500.0,0.0,500,500,-0.24764673537506118,0.141333587025359,0.01375667804546506,-0.3277613897082924,-123.82336768752945,4.224880170849794,-118.37848822415259,-128.3429970414723,-123.82336768752945,4.224880170849794,-118.37848822415259,-128.3429970414723,0.012445945,0.33689854,0.9626031,-0.9575826,5,-123.82336768752945,0.03945624269545078,77.69661711342633,77.89838274102658,0.024140937253832817,0.03925531078130007,44.79714023601264,200.49499258119613,1575.334381327033,6
23300,0.0027083172,0.0016439228,-2.392521,1.6764677,1.131382,2.66165,-0.7252852,1.6611619,1.134593,2.812641,-0.7308453,1.6606184,1.1452444,2.6818907,-0.72328866,-0.7210722,3.4947023,12.713588,-6.5175505,0.073001266,0.90882295,2.5241344,-2.483419,-0.26468888,0.15251835,-0.01043869,-0.7460253,0.0011599886929616332,-52.18327331542969,23300,47,500.0,0.0,500,500,-0.2634791378854623,0.1313893665521569,0.018952492148548536,-0.3277613897082924,-131.73956894272985,4.594818307759236,-123.41379748335733,-136.345934480102,-0.015029267,0.6618927,0.9988865,-0.99860203,5,-131.73956894272985,20000,40,500.0,0.0,500,500,-0.27507843426530104,0.12127293931944147,0.016431314109935237,-0.3277613897082924,-137.53921713264913,5.8387635300728675,-129.56010372002805,-144.1230578716206,-137.53921713264913,5.8387635300728675,-129.56010372002805,-144.1230578716206,-0.016610246,0.5698626,0.9695025,-0.93652934,5,-137.53921713264913,0.04007954802364111,78.58282808493823,78.33825967926532,0.024691499769687653,0.03904362674802542,44.784979186952114,201.80988162569702,1777.1489612329751,7
25800,0.0021633278,0.0017720616,2.479625,1.3109112,1.449716,2.9728494,-1.031331,1.3411288,1.4554855,3.0404904,-1.010849,1.3227575,1.444181,2.9475062,-1.0101017,3.8095431,5.2675242,28.035366,-4.8062744,0.10760437,1.3487772,3.4656572,-3.578287,-0.4199794,0.22551373,0.010775231,-1.0817714,0.0005890197353437543,-23.725963592529297,25800,52,500.0,0.0,500,500,-0.25773908812760954,0.1351805604490778,0.016591629946765784,-0.3277613897082924,-128.86954406380352,13.65067616885557,-107.63913136228622,-143.3927207810362,-0.04409087,0.6963167,0.9994718,-0.9991882,5,-128.86954406380352,22500,45,500.0,0.0,500,500,-0.21561024151340158,0.15599278712782727,0.019981153122048373,-0.3277613897082924,-107.80512075669999,19.730487145078857,-91.18175004066171,-133.50627276967975,-107.80512075669999,19.730487145078857,-91.18175004066171,-133.50627276967975,-0.089544274,0.5673329,0.99749154,-0.9914064,5,-107.80512075669999,0.039316912181675434,80.92455391492695,77.8413491435349,0.023902769200503826,0.03923406917601824,44.58575606811792,203.45411287713796,1980.607837593183,8
28300,0.004722831,0.0024990996,7.3729105,1.162387,1.4467698,2.9116294,-1.2616208,1.1657755,1.4521198,2.8029702,-1.2697611,1.1634482,1.462791,2.5752025,-1.2679527,8.559078,5.998101,25.327147,-3.339141,0.15904714,1.7822891,4.446295,-3.3738291,-0.54453635,0.26098058,0.26404566,-1.2523334,0.00044256559340283275,12.04023551940918,28300,57,500.0,0.0,500,500,-0.28519544772514066,0.11132093440404754,0.017742197240761894,-0.3277613897082924,-142.59772386256878,1.9415116556934737,-140.50633487551863,-146.0741290565899,-0.0601003,0.7578314,0.9999899,-0.99996185,5,-142.59772386256878,25000,50,500.0,0.0,500,500,-0.28614843722508004,0.10980927583643724,0.014888615386501238,-0.3277613897082924,-143.07421861253852,0.36574109381789854,-142.41397067943572,-143.39996180136015,-143.07421861253852,0.36574109381789854,-142.41397067943572,-143.39996180136015,-0.080500394,0.685264,0.9998241,-0.99949974,5,-143.07421861253852,0.03796923626214266,82.5930434698239,78.97123579401523,0.02426689676940441,0.038889361545443535,44.56812753621489,206.233532294631,2186.8459350308403,9
