replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,21.980886,22.010216,-4.6815853,0.002682101,0.0015727078,0.008944622,-0.00024110603,-0.0005029487,0.0011796029,0.0016936735,-0.0032786177,4.6504498,0.6156413,5.746769,2.7501783,-4.682122,0.5877187,-3.0034769,-5.981696,-0.00064576697,0.0035233384,0.00377662,-0.009558646,0.00072896807,0.0024940325,0.0052576764,-0.0047431206,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.006932822746585546,0.004141645204150102,0.02988109295810822,0.0012415717175992516,3.466411373292773,1.011303417743536,4.702491454877212,2.3743831733568315,-2.5577654e-05,0.6278605,0.999653,-0.9988332,5,3.466411373292773,2500,5,500.0,0.0,500,500,0.005269926415534745,0.002472096305531519,0.00954600643526199,0.0020832129051170756,2.6349632077673713,1.2045840936551115,4.352311613995424,1.1857853717672968,2.6349632077673713,1.2045840936551115,4.352311613995424,1.1857853717672968,-0.00063688285,0.0034525287,0.003264316,-0.008879123,5,2.6349632077673713,0.05924820527434349,126.97908812016249,128.90465737041086,0.02542265225201845,0.05303184129297733,63.24218908697367,319.26363727636635,492.8108189543709,0
8300,0.010507845,0.01070044,-7.444015,2.6316183,0.016860178,2.7096255,2.5931056,2.6350465,0.01558181,2.6934412,2.598718,2.63924,0.10181939,3.0413043,2.451458,-4.8145924,0.2697026,-4.196743,-5.5634108,-0.004601154,0.010065675,0.009508168,-0.023076963,-0.13575852,0.0063695125,-0.1251101,-0.14488953,0.36740168929100037,-11.818127632141113,8300,17,500.0,0.0,500,500,0.003605125355388808,0.004147053898413614,0.031810062878007805,0.00010616754330961686,1.8025626776944037,1.0019872447824356,3.700059092914604,0.7642881847754219,-0.010545315,0.5871884,0.996852,-0.99758905,5,1.8025626776944037,5000,10,500.0,0.0,500,500,0.004254736538205816,0.002032180957109607,0.00962325120571612,0.0013164070904360908,2.1273682691029077,0.6132396641123015,2.8066203473181335,1.3039312650030794,2.1273682691029077,0.6132396641123015,2.8066203473181335,1.3039312650030794,-0.004588214,0.009910057,0.008241422,-0.021795528,5,2.1273682691029077,0.048532712273299694,123.63683317508548,125.12658788077533,0.02520988043397665,0.045061047188937664,64.75139606930315,313.6336207650602,806.4492814326659,1
10800,0.0019447876,0.0019018141,-7.1492443,2.3752894,0.014255968,2.4203663,2.3315678,2.3842802,0.0144524425,2.4259543,2.3445325,2.3818994,0.045229852,2.6178572,2.2804904,-4.7738895,0.27919635,-4.2270865,-5.893387,-0.0023322925,0.0069408123,0.008990374,-0.015865965,-0.14372897,0.007121262,-0.13093746,-0.15338644,0.13514943420886993,-23.552188873291016,10800,22,500.0,0.0,500,500,0.006221583073500367,0.005260474680780401,0.02942951380546425,0.00047588311691571346,3.1107915367501846,2.2327022597617536,7.298144552835665,1.3636473405172456,0.0024155364,0.5833976,0.998552,-0.9986897,5,3.1107915367501846,7500,15,500.0,0.0,500,500,0.010150259107719991,0.0011120203695765176,0.012611266126046142,0.008057141445156098,5.0751295538599965,0.529146266215036,5.8591837741492485,4.212784585688721,5.0751295538599965,0.529146266215036,5.8591837741492485,4.212784585688721,-0.0023904159,0.007002526,0.00797327,-0.01561291,5,5.0751295538599965,0.04814113210886717,123.410245670937,125.49118720833212,0.025271810591220856,0.04490929655730724,64.49054990522563,313.51030502375215,1119.964304735884,2
13300,0.00027865657,0.0003029484,-7.1627703,2.3373973,0.014063807,2.3706408,2.300273,2.3394208,0.013886328,2.37841,2.302496,2.3393655,0.022229739,2.4121702,2.2908368,-4.825968,0.31924236,-4.06577,-6.4868803,0.00066922576,0.003821591,0.009516435,-0.005602699,-0.12509911,0.006606945,-0.11296609,-0.1360614,0.04971689358353615,-35.482749938964844,13300,27,500.0,0.0,500,500,0.00477221355439097,0.0040277258731935585,0.01920960578764009,0.00021015015059282888,2.3861067771954847,1.6562857455174456,5.2777570932583915,0.3952239304478734,0.0027027233,0.58977145,0.996998,-0.99944526,5,2.3861067771954847,10000,20,500.0,0.0,500,500,0.003709467310236887,0.0021943272572000523,0.00884561800928597,0.0015355084278840462,1.8547336551184426,1.080395731524291,3.9183930478347473,0.9252928322762985,1.8547336551184426,1.080395731524291,3.9183930478347473,0.9252928322762985,0.0007022206,0.0037097707,0.0074116746,-0.004487844,5,1.8547336551184426,0.0553308529779315,124.52741660084575,126.13093504589051,0.02514472045004368,0.0448222728446126,64.54260169435292,315.3262511873618,1435.2952232724056,3
15800,3.707382e-05,4.205008e-05,-7.1293187,2.3201356,0.017819513,2.3606813,2.2791722,2.3197522,0.017531114,2.3551702,2.2788134,2.3181849,0.017979294,2.3546352,2.2731283,-4.810858,0.32930735,-4.226396,-6.2674294,-0.0020404526,0.012875579,0.02826003,-0.02308515,-0.13775763,0.0045262976,-0.12711367,-0.14749415,0.018290093168616295,-47.24810791015625,15800,32,500.0,0.0,500,500,0.004226742295502739,0.0032977450952900405,0.018939405749665652,0.0002180548714476626,2.1133711477513684,1.1193241683031776,3.375087578851697,0.6123001594481328,-0.0044549117,0.5899141,0.99783105,-0.9975728,5,2.1133711477513684,12500,25,500.0,0.0,500,500,0.0051929605672746786,0.002541410125006735,0.011291154717881433,0.0017832627168088656,2.59648028363734,1.2018649947790145,4.584655064328532,0.9782317672725991,2.59648028363734,1.2018649947790145,4.584655064328532,0.9782317672725991,-0.0021080258,0.012740753,0.019349406,-0.02113136,5,2.59648028363734,0.04885347932577133,123.70041070878506,126.38108797650784,0.025061973370611668,0.044820887967944145,64.32011772878468,314.5203527547419,1749.82030943688,4
18300,2.9237042e-05,7.31227e-05,-7.0795794,2.3061986,0.018997887,2.3498864,2.2649186,2.309533,0.018793691,2.349952,2.2683704,2.3017626,0.018911459,2.345063,2.2620888,-4.7736044,0.29368177,-4.147055,-6.0099106,-0.0061584073,0.024029598,0.034155313,-0.044165738,-0.13303734,0.002483785,-0.12795568,-0.13990057,0.006729078944772482,-58.871761322021484,18300,37,500.0,0.0,500,500,0.004930177351354496,0.0037860157878059375,0.015700390356214025,7.650828703280556e-06,2.465088675677248,1.5461148059891052,4.450290737479914,0.6668510412887078,-0.008615932,0.586968,0.9984048,-0.99741185,5,2.465088675677248,15000,30,500.0,0.0,500,500,0.0039136805572495366,0.0017618445256541572,0.009000325996839528,0.0010971288696716367,1.9568402786247685,0.3873137528277598,2.363843894633541,1.4200287065837207,1.9568402786247685,0.3873137528277598,2.363843894633541,1.4200287065837207,-0.0063536344,0.023812931,0.028052924,-0.043698978,5,1.9568402786247685,0.055541574023664,123.65810563415289,125.71615735068917,0.025090728886425495,0.04471130482852459,63.89097946602851,313.3905860586092,2063.2156666368246,5
20800,1.2932326e-05,1.1955722e-05,-7.067537,2.2824154,0.021351825,2.3351047,2.2365072,2.2789488,0.021156443,2.33325,2.2237732,2.280095,0.021275494,2.334792,2.2326467,-4.7888613,0.35947248,-3.7123675,-6.0649815,-0.024344074,0.05957347,0.049091592,-0.118436664,-0.13337623,0.004576484,-0.12279882,-0.14331073,0.002476358786225319,-70.7327880859375,20800,42,500.0,0.0,500,500,0.00546512156620849,0.007263226050491274,0.05155338603709896,0.00010014399411415333,2.7325607831042453,1.6101268830403617,5.680673031355047,1.0147568169403223,-0.013355274,0.5900519,0.99853325,-0.9992883,5,2.7325607831042453,17500,35,500.0,0.0,500,500,0.0027493069886263414,0.002778718971429225,0.008838410227672068,1.551908663291025e-05,1.3746534943131716,0.21432015905266444,1.672189710365588,1.1110707298796736,1.3746534943131716,0.21432015905266444,1.672189710365588,1.1110707298796736,-0.024001505,0.05639099,0.04842645,-0.11469006,5,1.3746534943131716,0.048143595457077026,122.8570698890835,127.21045442298055,0.025253500789403915,0.04917479772120714,63.3387591894716,313.52885539550334,2376.749254351482,6
23300,0.0002865702,3.7585698e-05,-6.998905,2.2451355,0.020681303,2.2989,2.203144,2.2600467,0.020665906,2.3106124,2.225228,2.2612615,0.02171446,2.3169389,2.2230396,-4.7537565,0.5753434,-3.2045522,-6.8119864,-0.074886836,0.12560073,0.13717848,-0.3067814,-0.13056889,0.009886797,-0.11515256,-0.15716028,0.0009136555599980056,-82.24173736572266,23300,47,500.0,0.0,500,500,0.002880255103475556,0.005378753072606029,0.03075304165327779,1.8900199267438137e-06,1.4401275517377772,1.188428144002156,3.757648114341647,0.5588580916381236,-0.0398893,0.58971786,0.9974099,-0.9978327,5,1.4401275517377772,20000,40,500.0,0.0,500,500,0.0014027870297400897,0.002638207534638387,0.011442334561751873,5.082826691063291e-07,0.7013935148700453,0.09990249371106098,0.865657952043806,0.5559496169196757,0.7013935148700453,0.09990249371106098,0.865657952043806,0.5559496169196757,-0.06364996,0.10245712,0.117469005,-0.26446837,5,0.7013935148700453,0.048301247879862785,122.38163815718144,123.52981250360608,0.025388766080141068,0.04878548998385668,63.30496252048761,309.338888685219,2686.0928487358615,7
25800,0.0057261446,0.0020830056,-6.1750393,2.2455754,0.04042235,2.3240755,2.056057,2.242128,0.064735025,2.3232539,1.860651,2.2250328,0.10258246,2.3129041,1.5671111,-3.9355159,1.3334068,-0.27855843,-8.258142,-0.15472412,0.38633358,0.9857899,-0.989172,-0.13860548,0.04289975,-0.055231337,-0.32804143,0.0003459810104686767,-87.1360855102539,25800,52,500.0,0.0,500,500,-0.12526993824422897,0.1415738972536415,0.017353633333237754,-0.28161081385525205,-62.63496912211451,3.5714354026931723,-58.509362823612236,-68.64031074458266,-0.06897601,0.6173565,0.9976985,-0.9992457,5,-62.63496912211451,22500,45,500.0,0.0,500,500,-0.16749405440724988,0.13920483236124404,0.01463902564131797,-0.28161081385525205,-83.74702720362498,1.7074133232897886,-81.70132425243997,-85.80374453105563,-83.74702720362498,1.7074133232897886,-81.70132425243997,-85.80374453105563,-0.112302125,0.32880172,0.6147603,-0.6122587,5,-83.74702720362498,0.04826031532138586,122.71481150202453,125.67724577430636,0.024927864782512188,0.05052043590694666,62.848755481652915,311.36452137399465,2997.46208226867,8
28300,0.0061101713,0.0044310936,-0.88363254,2.1615078,0.23513861,2.299803,1.1320354,2.15766,0.23582847,2.2974463,1.1255667,2.134414,0.25738978,2.2937799,1.114169,1.2789578,4.3007255,17.864765,-5.6135607,-0.44914845,1.057994,2.9095979,-2.7996259,-0.28729942,0.23954956,0.15677077,-1.2056184,0.000178351896465756,-49.3788948059082,28300,57,500.0,0.0,500,500,-0.2024617622646219,0.12731623516726756,0.017801399587632646,-0.28161081385525205,-101.230881132311,5.036267724696343,-95.38111263045394,-109.82139749762143,-0.3615621,0.681878,0.99699897,-0.9996361,5,-101.230881132311,25000,50,500.0,0.0,500,500,-0.22050757413196725,0.11670309166994346,0.01706924610310434,-0.28161081385525205,-110.25378706598367,2.654343908723554,-107.27396123737317,-113.87316021013136,-110.25378706598367,2.654343908723554,-107.27396123737317,-113.87316021013136,-0.43767843,0.62498033,0.9834041,-0.9982813,5,-110.25378706598367,0.05281406454741955,118.05157908517867,120.67507334519178,0.025485774502158165,0.04929651878774166,63.789735722355545,302.6439845105633,3300.1107383528724,9
