replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,15.557959,15.53671,-3.9898417,-0.0039213984,0.0015507193,-0.0004663911,-0.0077549964,-0.0011914528,0.0014214219,0.0028046826,-0.00478218,3.9091482,0.49590692,4.90518,2.361631,-3.9938416,0.49205267,-2.7655864,-5.062399,-0.00022788481,0.0016917055,0.0036299182,-0.0031462766,-0.0007531733,0.0014377501,0.0017993771,-0.0043647587,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,-0.03545567021823713,0.10757615986143003,0.02398968952752878,-0.3277613897082924,-17.72783510911858,10.484138799997941,-1.8072489837526045,-31.42495664526976,0.00061332795,0.6281411,0.9991077,-0.99916536,5,-17.72783510911858,2500,5,500.0,0.0,500,500,0.00879026997674502,0.0031676023679151287,0.012627950669928814,0.0029825935513252853,4.395134988372513,1.579732060801822,6.052737020689687,1.503612218948801,4.395134988372513,1.579732060801822,6.052737020689687,1.503612218948801,-0.0003285154,0.0016765953,0.0027695415,-0.0022458725,5,4.395134988372513,0.04528460744768381,92.17240318842232,91.52271211426705,0.024914375506341457,0.04348874092102051,47.04332956299186,230.85213258955628,358.01274095196277,0
8300,0.020347234,0.020604912,-6.371976,2.2489595,0.07610059,2.3879282,2.058508,2.255871,0.07640705,2.4035583,2.0762994,2.2609,0.16921891,2.7927532,1.8332999,-4.1242385,0.30932596,-3.5576131,-5.5943885,-0.004686813,0.0072496356,0.012008676,-0.019656532,-0.13163991,0.006941995,-0.11400985,-0.15550233,0.3674331307411194,-10.126399993896484,8300,17,500.0,0.0,500,500,-0.02637218435301275,0.10127823390230714,0.03269551099575019,-0.3277613897082924,-13.186092176506387,10.070001643073487,-0.5736151665508615,-31.115016835678933,-0.0010794449,0.58895713,0.9990707,-0.9965908,5,-13.186092176506387,5000,10,500.0,0.0,500,500,0.009519581851884479,0.0014063612434182613,0.012195825370406548,0.006739772917246837,4.759790925942239,0.5860087889211809,5.295450418718177,3.921490559945001,4.759790925942239,0.5860087889211809,5.295450418718177,3.921490559945001,-0.005103861,0.0073625753,0.0054487996,-0.015763449,5,4.759790925942239,0.04145179223269224,90.78862449061126,90.86353953555226,0.024637922644615173,0.034830160439014435,48.21788350865245,229.9709674101323,587.9887376269326,1
10800,0.009958824,0.010192124,-6.1212926,2.0321014,0.13049611,2.3289006,1.6509277,2.0396597,0.12734748,2.3191612,1.6757858,2.010032,0.16559139,2.194905,1.5466932,-4.093688,0.3086581,-3.3908148,-5.6934867,-0.010824062,0.017179195,0.015016533,-0.048364803,-0.14143464,0.009119691,-0.11767537,-0.1631777,0.13517804443836212,-20.189014434814453,10800,22,500.0,0.0,500,500,-0.00823337877888287,0.06702698001453873,0.01802650564724654,-0.3277613897082924,-4.116689389441439,6.629751829690729,5.517073379054575,-10.053287148352606,0.001358592,0.58613294,0.9988808,-0.997203,5,-4.116689389441439,7500,15,500.0,0.0,500,500,0.008693188787184735,0.001808368498838799,0.013930207557982358,0.0054915894519687435,4.346594393592367,0.6430345885657772,5.289894743738894,3.269460891777122,4.346594393592367,0.6430345885657772,5.289894743738894,3.269460891777122,-0.009223047,0.013786451,0.009417798,-0.030342659,5,4.346594393592367,0.04498365614563227,90.82672227174044,90.40070862323046,0.02515279594808817,0.03510607127100229,48.3348135035485,229.66748692188412,817.6609068783,2
13300,0.007869429,0.0078242915,-5.986871,1.9352815,0.1951738,2.2141128,1.228503,1.9402891,0.1906152,2.2269394,1.386744,1.9388838,0.21459357,2.204412,1.3397537,-4.0593543,0.4333951,-2.705911,-5.3912115,-0.05447453,0.106424525,0.06940899,-0.45069996,-0.13632858,0.019929826,-0.09669916,-0.20463523,0.049784064292907715,-30.168651580810547,13300,27,500.0,0.0,500,500,-0.04636927039860411,0.12958746425152703,0.07244874474949542,-0.3277613897082924,-23.184635199302015,31.65857496206993,12.64936410360578,-81.5983711764902,-0.03163432,0.59010804,0.99707085,-0.9987117,5,-23.184635199302015,10000,20,500.0,0.0,500,500,-0.044553053307578964,0.1281124921734675,0.024806047834974268,-0.3277613897082924,-22.27652665378948,30.07319727500426,9.4484677206585,-70.47106821922023,-22.27652665378948,30.07319727500426,9.4484677206585,-70.47106821922023,-0.060369663,0.08652564,0.061627083,-0.3716386,5,-22.27652665378948,0.044411190785467625,90.27806149795651,91.05058072786778,0.024967084638774395,0.03463818226009607,48.127177426591516,229.55983611010015,1047.2254851423204,3
15800,0.014954613,0.010448334,-5.5469584,1.8341812,0.30436373,2.173587,0.8302793,1.8055415,0.3143274,2.1959684,0.8703641,1.8132844,0.3254145,2.1479642,0.8844248,-3.7361264,0.89873356,-0.3587737,-6.867528,-0.08765987,0.27911654,0.74074006,-1.178112,-0.14342698,0.052893884,-0.054016657,-0.4256829,0.0185516569763422,-38.81040573120117,15800,32,500.0,0.0,500,500,-0.11299316295922594,0.38693376098532917,9.923124949917172,-0.3277613897082924,-56.49658147961283,33.98325048791372,-1.2186048842537556,-97.80449530820017,-0.10314198,0.5951809,0.99689245,-0.9991471,5,-56.49658147961283,12500,25,500.0,0.0,500,500,-0.1562569974122933,0.27279095143918664,3.3629316872398594,-0.3277613897082924,-78.12849870614642,16.08296982788723,-53.81972974328742,-98.33664602657224,-78.12849870614642,16.08296982788723,-53.81972974328742,-98.33664602657224,-0.13598432,0.2022019,0.5887975,-0.79946893,5,-78.12849870614642,0.04112872947007418,97.94828761834651,91.40417386498302,0.024831457063555717,0.03453689720481634,47.26686883252114,236.71982739958912,1283.9500891938806,4
18300,0.09250782,0.10622658,-2.4790037,1.8349794,0.47982973,3.0365515,0.71799505,1.8439753,0.4963996,3.419118,0.7198502,1.7369916,0.39637026,2.4106925,0.69769156,-0.6127449,4.0021453,17.030512,-7.6109147,-0.14759202,0.93562037,2.5164807,-3.913568,-0.27033177,0.14242344,-0.02609509,-1.1124097,0.0074540358036756516,-32.390647888183594,18300,37,500.0,0.0,500,500,-0.17295806219282142,0.16836076502662065,0.08919694123915266,-0.3277613897082924,-86.47903109641034,29.46025102096991,-57.02734894165855,-136.7560794639,-0.09536872,0.76147693,0.9998967,-0.9999863,5,-86.47903109641034,15000,30,500.0,0.0,500,500,-0.2422722718237059,0.1466882536902731,0.026552373199695684,-0.3277613897082924,-121.13613591185174,45.34603187666119,-32.599170988524705,-152.53166263703585,-121.13613591185174,45.34603187666119,-32.599170988524705,-152.53166263703585,-0.07402091,0.69458175,0.99937236,-0.99998,5,-121.13613591185174,0.04166155122220516,90.24475468788296,91.42501144111156,0.024675319902598858,0.03474347107112408,46.72133122663945,228.4921776978299,1512.4469889309257,5
20800,0.12609813,0.046618257,-1.424577,1.8686547,0.5953848,4.2915716,0.49794716,1.8390598,0.48795652,3.404895,0.45427066,1.7549102,0.42232713,2.5879552,0.4113494,0.44124675,3.6049156,15.658016,-6.293341,-0.14250924,1.0808371,3.3786242,-3.7954962,-0.31920877,0.1525174,0.1999233,-0.8788531,0.0034697228111326694,-31.479297637939453,20800,42,500.0,0.0,500,500,-0.25852985065102285,0.13872514253556015,0.095573718377724,-0.3277613897082924,-129.2649253255102,13.76872326025706,-113.5334821516361,-146.2943631436961,-0.06286399,0.7665231,0.99997914,-0.9998601,5,-129.2649253255102,17500,35,500.0,0.0,500,500,-0.2772445291445486,0.11975006757667099,0.03975395131376056,-0.3277613897082924,-138.62226457227285,11.406815748418095,-121.8768940711417,-152.00712538874188,-138.62226457227285,11.406815748418095,-121.8768940711417,-152.00712538874188,0.04705554,0.74857277,0.9999911,-0.9996108,5,-138.62226457227285,0.04213458579033613,87.9285313570872,90.59942451864481,0.02481250651180744,0.03481271397322416,46.65538149792701,225.28509717993438,1737.7367781363428,6
23300,0.07110357,0.056613173,4.0417843,1.9573756,0.8286551,5.495197,0.38141128,1.9550366,0.78885114,5.335171,0.3729104,1.856957,0.7115389,4.3986797,0.36164996,6.064383,5.192249,18.270418,-6.2277207,-0.23741953,1.6653166,4.1906085,-3.634912,-0.47271097,0.22238909,0.10598794,-1.1477238,0.002267054282128811,0.3920412063598633,23300,47,500.0,0.0,500,500,-0.24190083836185314,0.1515455419954806,1.7261388416356203,-0.3277613897082924,-120.9504191809255,25.393346544363162,-85.7068218762048,-153.59584662655155,-0.27749088,0.7890365,0.99999994,-0.99992883,5,-120.9504191809255,20000,40,500.0,0.0,500,500,-0.2603272549098503,0.15170856426900042,1.7356805924736034,-0.3277613897082924,-130.16362745492387,14.941216043464621,-114.7596116805537,-152.86172591464603,-130.16362745492387,14.941216043464621,-114.7596116805537,-152.86172591464603,-0.32481068,0.8175029,0.9999996,-0.99998844,5,-130.16362745492387,0.04244512878358364,88.48133042640984,89.89921865612268,0.024379292502999306,0.036495083943009377,46.69340852089226,225.17727710865438,1962.9187908666208,7
25800,0.021828536,0.03718745,4.49675,1.6141577,0.6856996,4.1173286,-0.3020743,1.6234839,0.71166,4.116074,-0.23253605,1.5516636,0.6891948,4.052313,-0.28536114,6.179794,4.887016,18.09701,-4.2630873,-0.17643856,1.6445551,3.9655187,-3.4261804,-0.5035151,0.20282835,0.06095493,-1.3004808,0.0019289690535515547,1.12384831905365,25800,52,500.0,0.0,500,500,-0.26605431192120615,0.1303778944131276,0.049351621027851844,-0.3277613897082924,-133.02715596060176,11.521367808949972,-117.14458904049,-151.05146953216243,-0.100519404,0.80714595,0.9999635,-0.9998804,5,-133.02715596060176,22500,45,500.0,0.0,500,500,-0.22413653519152932,0.5296735065034078,14.840110718134637,-0.3277613897082924,-112.06826759576354,44.59111079490984,-24.9411471859541,-141.15313047622965,-112.06826759576354,44.59111079490984,-24.9411471859541,-141.15313047622965,-0.015521761,0.7851541,0.99907464,-0.99960726,5,-112.06826759576354,0.04302555229514837,94.2945619346574,96.57950594928116,0.024199766106903553,0.036317395977675915,46.181363655254245,237.15897425357252,2200.082427185029,8
28300,2.2869818,2.224347,4.3548164,1.4965491,0.8076287,3.5940855,-0.5490097,1.5191965,0.8063059,3.6355598,-0.63331985,1.6343484,1.6898258,18.24724,-0.66604376,5.9083424,5.3993955,24.125755,-4.168839,-0.10440529,1.6429594,4.1493893,-4.879104,-0.47440138,0.19274797,0.16364391,-0.9249259,0.0021254161838442087,-0.5640482902526855,28300,57,500.0,0.0,500,500,-0.20960641476407377,0.44952878679486036,18.123758854091506,-0.3277613897082924,-104.80320738203613,13.059313819023263,-87.66841597620464,-124.94250342745943,-0.09978578,0.7636118,0.9999802,-0.9999609,5,-104.80320738203613,25000,50,500.0,0.0,500,500,-0.2706975381102603,0.15718900805129732,3.3900603216425895,-0.3277613897082924,-135.34876905512877,6.191958620177271,-126.62378382999798,-140.52333640402048,-135.34876905512877,6.191958620177271,-126.62378382999798,-140.52333640402048,-0.11600254,0.7356426,0.99999875,-0.99990934,5,-135.34876905512877,0.04257333464920521,89.52634305227548,91.34267039597034,0.024188647978007793,0.03672213573008776,46.20829861424863,227.18079618085176,2427.2679046634585,9
